Quarter	Delivery Time (CET)	Spot Price (€/MWh)	Pred Imbalance (€/MWh)	Pred Spread (€/MWh)	Quantiles (q10-q90)	P(Up) / P(Dn)	Recommended Action	Volume (MW)	Status
Q65	2026-09-19 16:00	€-0.09	€-0.32	-0.23 €/MWh	€-1.2 - €0.3	0% Up / 1% Dn	HOLD	0.0 MW	Batch 9 Dispatched
Q66	2026-09-19 16:15	€-0.02	€-0.25	-0.23 €/MWh	€-1.1 - €0.4	0% Up / 1% Dn	HOLD	0.0 MW	Batch 9 Dispatched
Q67	2026-09-19 16:30	€0.11	€-0.41	-0.52 €/MWh	€-1.0 - €0.5	0% Up / 1% Dn	HOLD	0.0 MW	Batch 9 Dispatched
Q68	2026-09-19 16:45	€0.12	€-0.41	-0.53 €/MWh	€-1.0 - €0.5	0% Up / 1% Dn	HOLD	0.0 MW	Batch 9 Dispatched
Q69	2026-09-19 17:00	€0.10	€-0.42	-0.52 €/MWh	€-1.0 - €0.5	0% Up / 1% Dn	HOLD	0.0 MW	Batch 9 Dispatched
Q70	2026-09-19 17:15	€0.72	€0.26	-0.46 €/MWh	€-0.4 - €1.1	0% Up / 1% Dn	HOLD	0.0 MW	Batch 9 Dispatched
Q71	2026-09-19 17:30	€6.70	€6.62	-0.08 €/MWh	€5.6 - €7.1	0% Up / 1% Dn	HOLD	0.0 MW	Batch 9 Dispatched
Q72	2026-09-19 17:45	€19.90	€20.12	+0.22 €/MWh	€18.8 - €20.3	0% Up / 1% Dn	HOLD	0.0 MW	Batch 9 Dispatched
