Quarter	Delivery Time (CET)	Spot Price (€/MWh)	Pred Imbalance (€/MWh)	Pred Spread (€/MWh)	Quantiles (q10-q90)	P(Up) / P(Dn)	Recommended Action	Volume (MW)	Status
Q73	2026-09-17 18:00	€179.72	€179.52	-0.20 €/MWh	€179.0 - €180.1	0% Up / 0% Dn	HOLD	0.0 MW	Batch 10 Dispatched
Q74	2026-09-17 18:15	€172.96	€172.82	-0.14 €/MWh	€172.3 - €173.3	0% Up / 0% Dn	HOLD	0.0 MW	Batch 10 Dispatched
Q75	2026-09-17 18:30	€178.11	€177.90	-0.21 €/MWh	€177.4 - €178.5	0% Up / 0% Dn	HOLD	0.0 MW	Batch 10 Dispatched
Q76	2026-09-17 18:45	€173.93	€173.81	-0.12 €/MWh	€173.2 - €174.3	0% Up / 0% Dn	HOLD	0.0 MW	Batch 10 Dispatched
Q77	2026-09-17 19:00	€201.85	€202.44	+0.59 €/MWh	€201.2 - €229.9	99% Up / 0% Dn	HOLD	0.0 MW	Batch 10 Dispatched
Q78	2026-09-17 19:15	€198.96	€198.85	-0.11 €/MWh	€198.3 - €199.3	0% Up / 0% Dn	HOLD	0.0 MW	Batch 10 Dispatched
Q79	2026-09-17 19:30	€196.86	€196.77	-0.09 €/MWh	€196.2 - €197.2	0% Up / 0% Dn	HOLD	0.0 MW	Batch 10 Dispatched
Q80	2026-09-17 19:45	€192.02	€192.04	+0.02 €/MWh	€191.3 - €192.4	0% Up / 0% Dn	HOLD	0.0 MW	Batch 10 Dispatched
