Quarter	Delivery Time (CET)	Spot Price (€/MWh)	Pred Imbalance (€/MWh)	Pred Spread (€/MWh)	Quantiles (q10-q90)	P(Up) / P(Dn)	Recommended Action	Volume (MW)	Status
Q81	2026-09-17 20:00	€205.84	€207.77	+1.93 €/MWh	€204.7 - €223.9	99% Up / 0% Dn	BUY Spot	3.1 MW	Batch 11 Dispatched
Q82	2026-09-17 20:15	€202.82	€203.51	+0.69 €/MWh	€201.7 - €227.2	99% Up / 0% Dn	HOLD	0.0 MW	Batch 11 Dispatched
Q83	2026-09-17 20:30	€196.02	€196.59	+0.57 €/MWh	€194.9 - €220.1	99% Up / 0% Dn	HOLD	0.0 MW	Batch 11 Dispatched
Q84	2026-09-17 20:45	€190.28	€190.66	+0.38 €/MWh	€189.2 - €190.7	0% Up / 1% Dn	HOLD	0.0 MW	Batch 11 Dispatched
Q85	2026-09-17 21:00	€191.88	€192.38	+0.50 €/MWh	€190.8 - €192.3	0% Up / 1% Dn	HOLD	0.0 MW	Batch 11 Dispatched
Q86	2026-09-17 21:15	€189.31	€189.73	+0.42 €/MWh	€188.2 - €189.7	0% Up / 1% Dn	HOLD	0.0 MW	Batch 11 Dispatched
Q87	2026-09-17 21:30	€188.42	€188.92	+0.50 €/MWh	€187.3 - €188.8	0% Up / 1% Dn	HOLD	0.0 MW	Batch 11 Dispatched
Q88	2026-09-17 21:45	€186.67	€187.12	+0.45 €/MWh	€185.5 - €187.0	0% Up / 1% Dn	HOLD	0.0 MW	Batch 11 Dispatched
