Quarter	Delivery Time (CET)	Spot Price (€/MWh)	Pred Imbalance (€/MWh)	Pred Spread (€/MWh)	Quantiles (q10-q90)	P(Up) / P(Dn)	Recommended Action	Volume (MW)	Status
Q49	2026-09-20 12:00	€0.51	€-1.93	-2.44 €/MWh	€-0.2 - €0.9	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 7 Dispatched
Q50	2026-09-20 12:15	€0.52	€-1.76	-2.28 €/MWh	€-0.2 - €0.9	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 7 Dispatched
Q51	2026-09-20 12:30	€0.51	€-1.74	-2.25 €/MWh	€-0.2 - €0.9	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 7 Dispatched
Q52	2026-09-20 12:45	€0.49	€-1.73	-2.22 €/MWh	€-0.2 - €0.9	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 7 Dispatched
Q53	2026-09-20 13:00	€0.46	€-1.73	-2.19 €/MWh	€-0.2 - €0.8	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 7 Dispatched
Q54	2026-09-20 13:15	€0.49	€-1.66	-2.15 €/MWh	€-0.2 - €0.9	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 7 Dispatched
Q55	2026-09-20 13:30	€0.61	€-1.49	-2.10 €/MWh	€-0.1 - €1.0	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 7 Dispatched
Q56	2026-09-20 13:45	€1.29	€-0.63	-1.92 €/MWh	€0.6 - €1.7	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 7 Dispatched
