Quarter	Delivery Time (CET)	Spot Price (€/MWh)	Pred Imbalance (€/MWh)	Pred Spread (€/MWh)	Quantiles (q10-q90)	P(Up) / P(Dn)	Recommended Action	Volume (MW)	Status
Q57	2026-09-18 14:00	€4.95	€5.04	+0.09 €/MWh	€4.3 - €5.3	0% Up / 0% Dn	HOLD	0.0 MW	Batch 8 Dispatched
Q58	2026-09-18 14:15	€4.94	€5.04	+0.10 €/MWh	€4.3 - €5.3	0% Up / 0% Dn	HOLD	0.0 MW	Batch 8 Dispatched
Q59	2026-09-18 14:30	€4.93	€5.05	+0.12 €/MWh	€4.2 - €5.3	0% Up / 0% Dn	HOLD	0.0 MW	Batch 8 Dispatched
Q60	2026-09-18 14:45	€4.94	€5.06	+0.12 €/MWh	€4.3 - €5.4	0% Up / 0% Dn	HOLD	0.0 MW	Batch 8 Dispatched
Q61	2026-09-18 15:00	€3.99	€4.13	+0.14 €/MWh	€3.3 - €4.4	0% Up / 0% Dn	HOLD	0.0 MW	Batch 8 Dispatched
Q62	2026-09-18 15:15	€4.91	€5.03	+0.12 €/MWh	€4.2 - €5.4	0% Up / 0% Dn	HOLD	0.0 MW	Batch 8 Dispatched
Q63	2026-09-18 15:30	€4.94	€5.07	+0.13 €/MWh	€4.3 - €5.4	0% Up / 0% Dn	HOLD	0.0 MW	Batch 8 Dispatched
Q64	2026-09-18 15:45	€7.62	€7.72	+0.10 €/MWh	€6.9 - €8.1	0% Up / 0% Dn	HOLD	0.0 MW	Batch 8 Dispatched
