Quarter	Delivery Time (CET)	Spot Price (€/MWh)	Pred Imbalance (€/MWh)	Pred Spread (€/MWh)	Quantiles (q10-q90)	P(Up) / P(Dn)	Recommended Action	Volume (MW)	Status
Q1	2026-09-13 00:00	€191.99	€192.00	+0.01 €/MWh	€191.2 - €192.2	0.3% Up / 0.5% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q2	2026-09-13 00:15	€180.01	€179.97	-0.04 €/MWh	€179.2 - €180.3	0.3% Up / 0.5% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q3	2026-09-13 00:30	€173.30	€173.22	-0.08 €/MWh	€172.5 - €173.6	0.3% Up / 0.5% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q4	2026-09-13 00:45	€166.01	€166.04	+0.03 €/MWh	€165.2 - €166.3	0.3% Up / 0.5% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q5	2026-09-13 01:00	€176.40	€176.07	-0.33 €/MWh	€175.6 - €176.7	0.3% Up / 0.5% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q6	2026-09-13 01:15	€165.98	€166.01	+0.03 €/MWh	€165.2 - €166.2	0.3% Up / 0.5% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q7	2026-09-13 01:30	€164.26	€164.29	+0.03 €/MWh	€163.5 - €164.5	0.3% Up / 0.5% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q8	2026-09-13 01:45	€163.74	€163.66	-0.08 €/MWh	€162.9 - €164.0	0.3% Up / 0.5% Dn	HOLD	0.0 MW	Batch 1 Dispatched
