Quarter	Delivery Time (CET)	Spot Price (€/MWh)	Pred Imbalance (€/MWh)	Pred Spread (€/MWh)	Quantiles (q10-q90)	P(Up) / P(Dn)	Recommended Action	Volume (MW)	Status
Q41	2026-09-21 10:00	€31.99	€32.11	+0.12 €/MWh	€30.9 - €32.4	0% Up / 1% Dn	HOLD	0.0 MW	Batch 6 Dispatched
Q42	2026-09-21 10:15	€8.26	€5.42	-2.84 €/MWh	€7.1 - €8.6	0% Up / 1% Dn	SELL Spot	0.5 MW	Batch 6 Dispatched
Q43	2026-09-21 10:30	€4.31	€4.15	-0.16 €/MWh	€3.2 - €4.7	0% Up / 1% Dn	HOLD	0.0 MW	Batch 6 Dispatched
Q44	2026-09-21 10:45	€1.02	€0.95	-0.07 €/MWh	€-0.1 - €1.4	0% Up / 1% Dn	HOLD	0.0 MW	Batch 6 Dispatched
Q45	2026-09-21 11:00	€4.31	€4.52	+0.21 €/MWh	€3.2 - €4.7	0% Up / 1% Dn	HOLD	0.0 MW	Batch 6 Dispatched
Q46	2026-09-21 11:15	€2.01	€2.13	+0.12 €/MWh	€0.9 - €2.4	0% Up / 1% Dn	HOLD	0.0 MW	Batch 6 Dispatched
Q47	2026-09-21 11:30	€1.38	€1.58	+0.20 €/MWh	€0.3 - €1.8	0% Up / 1% Dn	HOLD	0.0 MW	Batch 6 Dispatched
Q48	2026-09-21 11:45	€1.38	€1.63	+0.25 €/MWh	€0.3 - €1.8	0% Up / 1% Dn	HOLD	0.0 MW	Batch 6 Dispatched
