Quarter	Delivery Time (CET)	Spot Price (€/MWh)	Pred Imbalance (€/MWh)	Pred Spread (€/MWh)	Quantiles (q10-q90)	P(Up) / P(Dn)	Recommended Action	Volume (MW)	Status
Q33	2026-09-20 08:00	€7.73	€4.87	-2.86 €/MWh	€7.0 - €8.1	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 5 Dispatched
Q34	2026-09-20 08:15	€10.00	€7.65	-2.35 €/MWh	€9.3 - €10.4	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 5 Dispatched
Q35	2026-09-20 08:30	€7.67	€4.07	-3.60 €/MWh	€7.0 - €8.0	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 5 Dispatched
Q36	2026-09-20 08:45	€5.55	€1.96	-3.59 €/MWh	€4.9 - €5.9	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 5 Dispatched
Q37	2026-09-20 09:00	€7.36	€4.95	-2.41 €/MWh	€6.7 - €7.7	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 5 Dispatched
Q38	2026-09-20 09:15	€4.54	€0.87	-3.67 €/MWh	€3.9 - €4.9	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 5 Dispatched
Q39	2026-09-20 09:30	€1.81	€-1.82	-3.63 €/MWh	€1.1 - €2.2	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 5 Dispatched
Q40	2026-09-20 09:45	€1.05	€-1.92	-2.97 €/MWh	€0.4 - €1.5	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 5 Dispatched
