Quarter	Delivery Time (CET)	Spot Price (€/MWh)	Pred Imbalance (€/MWh)	Pred Spread (€/MWh)	Quantiles (q10-q90)	P(Up) / P(Dn)	Recommended Action	Volume (MW)	Status
Q49	2026-09-14 12:00	€195.95	€198.71	+2.76 €/MWh	€195.3 - €224.6	99% Up / 0% Dn	BUY Spot	6.1 MW	Batch 7 Dispatched
Q50	2026-09-14 12:15	€182.20	€182.29	+0.09 €/MWh	€181.5 - €211.0	99% Up / 0% Dn	HOLD	0.0 MW	Batch 7 Dispatched
Q51	2026-09-14 12:30	€178.13	€178.91	+0.78 €/MWh	€177.4 - €207.3	99% Up / 0% Dn	HOLD	0.0 MW	Batch 7 Dispatched
Q52	2026-09-14 12:45	€170.61	€171.20	+0.59 €/MWh	€169.9 - €199.2	99% Up / 0% Dn	HOLD	0.0 MW	Batch 7 Dispatched
Q53	2026-09-14 13:00	€175.39	€176.12	+0.73 €/MWh	€174.7 - €175.8	0% Up / 0% Dn	HOLD	0.0 MW	Batch 7 Dispatched
Q54	2026-09-14 13:15	€168.90	€168.91	+0.01 €/MWh	€168.2 - €169.3	0% Up / 0% Dn	HOLD	0.0 MW	Batch 7 Dispatched
Q55	2026-09-14 13:30	€165.74	€165.88	+0.14 €/MWh	€165.1 - €166.1	0% Up / 0% Dn	HOLD	0.0 MW	Batch 7 Dispatched
Q56	2026-09-14 13:45	€157.63	€157.60	-0.03 €/MWh	€156.9 - €158.0	0% Up / 0% Dn	HOLD	0.0 MW	Batch 7 Dispatched
