Quarter	Delivery Time (CET)	Spot Price (€/MWh)	Pred Imbalance (€/MWh)	Pred Spread (€/MWh)	Quantiles (q10-q90)	P(Up) / P(Dn)	Recommended Action	Volume (MW)	Status
Q17	2026-09-20 04:00	€5.26	€1.28	-3.98 €/MWh	€4.6 - €5.6	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 3 Dispatched
Q18	2026-09-20 04:15	€5.06	€1.05	-4.01 €/MWh	€4.4 - €5.4	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 3 Dispatched
Q19	2026-09-20 04:30	€5.20	€1.30	-3.90 €/MWh	€4.5 - €5.6	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 3 Dispatched
Q20	2026-09-20 04:45	€5.27	€1.37	-3.90 €/MWh	€4.6 - €5.6	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 3 Dispatched
Q21	2026-09-20 05:00	€4.99	€1.00	-3.99 €/MWh	€4.3 - €5.4	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 3 Dispatched
Q22	2026-09-20 05:15	€4.99	€1.11	-3.88 €/MWh	€4.3 - €5.4	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 3 Dispatched
Q23	2026-09-20 05:30	€4.99	€1.14	-3.85 €/MWh	€4.3 - €5.4	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 3 Dispatched
Q24	2026-09-20 05:45	€5.09	€1.31	-3.78 €/MWh	€4.4 - €5.5	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 3 Dispatched
