Quarter	Delivery Time (CET)	Spot Price (€/MWh)	Pred Imbalance (€/MWh)	Pred Spread (€/MWh)	Quantiles (q10-q90)	P(Up) / P(Dn)	Recommended Action	Volume (MW)	Status
Q65	2026-09-18 16:00	€3.56	€4.69	+1.13 €/MWh	€2.4 - €3.9	0% Up / 1% Dn	HOLD	0.0 MW	Batch 9 Dispatched
Q66	2026-09-18 16:15	€9.10	€10.72	+1.62 €/MWh	€8.0 - €9.5	0% Up / 1% Dn	BUY Spot	0.5 MW	Batch 9 Dispatched
Q67	2026-09-18 16:30	€46.63	€50.88	+4.25 €/MWh	€43.0 - €47.0	0% Up / 1% Dn	BUY Spot	0.5 MW	Batch 9 Dispatched
Q68	2026-09-18 16:45	€59.09	€60.90	+1.81 €/MWh	€58.0 - €59.5	0% Up / 1% Dn	BUY Spot	0.5 MW	Batch 9 Dispatched
Q69	2026-09-18 17:00	€30.15	€29.71	-0.44 €/MWh	€29.0 - €30.5	0% Up / 1% Dn	HOLD	0.0 MW	Batch 9 Dispatched
Q70	2026-09-18 17:15	€65.69	€70.17	+4.48 €/MWh	€62.1 - €66.1	0% Up / 1% Dn	BUY Spot	0.5 MW	Batch 9 Dispatched
Q71	2026-09-18 17:30	€120.27	€125.82	+5.55 €/MWh	€116.6 - €120.6	0% Up / 1% Dn	BUY Spot	0.5 MW	Batch 9 Dispatched
Q72	2026-09-18 17:45	€131.80	€132.91	+1.11 €/MWh	€130.7 - €132.2	0% Up / 1% Dn	HOLD	0.0 MW	Batch 9 Dispatched
