Quarter	Delivery Time (CET)	Spot Price (€/MWh)	Pred Imbalance (€/MWh)	Pred Spread (€/MWh)	Quantiles (q10-q90)	P(Up) / P(Dn)	Recommended Action	Volume (MW)	Status
Q9	2026-09-21 02:00	€8.54	€8.61	+0.07 €/MWh	€7.9 - €8.9	0% Up / 0% Dn	HOLD	0.0 MW	Batch 2 Dispatched
Q10	2026-09-21 02:15	€7.73	€7.81	+0.08 €/MWh	€7.0 - €8.1	0% Up / 0% Dn	HOLD	0.0 MW	Batch 2 Dispatched
Q11	2026-09-21 02:30	€9.99	€10.13	+0.14 €/MWh	€9.3 - €10.4	0% Up / 0% Dn	HOLD	0.0 MW	Batch 2 Dispatched
Q12	2026-09-21 02:45	€10.00	€10.10	+0.10 €/MWh	€9.3 - €10.4	0% Up / 0% Dn	HOLD	0.0 MW	Batch 2 Dispatched
Q13	2026-09-21 03:00	€9.79	€9.88	+0.09 €/MWh	€9.1 - €10.2	0% Up / 0% Dn	HOLD	0.0 MW	Batch 2 Dispatched
Q14	2026-09-21 03:15	€10.00	€10.09	+0.09 €/MWh	€9.3 - €10.4	0% Up / 0% Dn	HOLD	0.0 MW	Batch 2 Dispatched
Q15	2026-09-21 03:30	€10.40	€10.49	+0.09 €/MWh	€9.7 - €10.8	0% Up / 0% Dn	HOLD	0.0 MW	Batch 2 Dispatched
Q16	2026-09-21 03:45	€10.82	€10.92	+0.10 €/MWh	€10.1 - €11.2	0% Up / 0% Dn	HOLD	0.0 MW	Batch 2 Dispatched
