Quarter	Delivery Time (CET)	Spot Price (€/MWh)	Pred Imbalance (€/MWh)	Pred Spread (€/MWh)	Quantiles (q10-q90)	P(Up) / P(Dn)	Recommended Action	Volume (MW)	Status
Q1	2026-09-14 00:00	€222.20	€222.96	+0.76 €/MWh	€221.5 - €250.0	99% Up / 0% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q2	2026-09-14 00:15	€205.81	€205.70	-0.11 €/MWh	€205.1 - €206.2	0% Up / 0% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q3	2026-09-14 00:30	€196.02	€196.10	+0.08 €/MWh	€195.3 - €196.4	0% Up / 0% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q4	2026-09-14 00:45	€186.87	€186.96	+0.09 €/MWh	€186.2 - €187.2	0% Up / 0% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q5	2026-09-14 01:00	€192.12	€193.55	+1.43 €/MWh	€191.4 - €192.5	0% Up / 0% Dn	BUY Spot	0.5 MW	Batch 1 Dispatched
Q6	2026-09-14 01:15	€187.52	€187.89	+0.37 €/MWh	€186.8 - €187.9	0% Up / 0% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q7	2026-09-14 01:30	€189.40	€190.36	+0.96 €/MWh	€188.7 - €189.8	0% Up / 0% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q8	2026-09-14 01:45	€182.61	€182.78	+0.17 €/MWh	€181.9 - €183.0	0% Up / 0% Dn	HOLD	0.0 MW	Batch 1 Dispatched
