Quarter	Delivery Time (CET)	Spot Price (€/MWh)	Pred Imbalance (€/MWh)	Pred Spread (€/MWh)	Quantiles (q10-q90)	P(Up) / P(Dn)	Recommended Action	Volume (MW)	Status
Q1	2026-09-17 00:00	€181.70	€182.20	+0.50 €/MWh	€180.6 - €182.1	0% Up / 1% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q2	2026-09-17 00:15	€168.21	€168.46	+0.25 €/MWh	€167.1 - €168.6	0% Up / 1% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q3	2026-09-17 00:30	€166.94	€167.37	+0.43 €/MWh	€165.8 - €167.3	0% Up / 1% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q4	2026-09-17 00:45	€165.56	€165.99	+0.43 €/MWh	€164.4 - €165.9	0% Up / 1% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q5	2026-09-17 01:00	€164.75	€165.18	+0.43 €/MWh	€163.6 - €165.1	0% Up / 1% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q6	2026-09-17 01:15	€164.14	€164.63	+0.49 €/MWh	€163.0 - €164.5	0% Up / 1% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q7	2026-09-17 01:30	€163.85	€164.34	+0.49 €/MWh	€162.7 - €164.2	0% Up / 1% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q8	2026-09-17 01:45	€163.22	€163.70	+0.48 €/MWh	€162.1 - €163.6	0% Up / 1% Dn	HOLD	0.0 MW	Batch 1 Dispatched
