Quarter	Delivery Time (CET)	Spot Price (€/MWh)	Pred Imbalance (€/MWh)	Pred Spread (€/MWh)	Quantiles (q10-q90)	P(Up) / P(Dn)	Recommended Action	Volume (MW)	Status
Q1	2026-09-21 00:00	€11.39	€11.61	+0.22 €/MWh	€10.3 - €11.8	0% Up / 1% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q2	2026-09-21 00:15	€13.14	€13.42	+0.28 €/MWh	€12.0 - €13.5	0% Up / 1% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q3	2026-09-21 00:30	€10.46	€10.54	+0.08 €/MWh	€9.3 - €10.8	0% Up / 1% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q4	2026-09-21 00:45	€8.88	€9.00	+0.12 €/MWh	€7.8 - €9.3	0% Up / 1% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q5	2026-09-21 01:00	€10.12	€10.34	+0.22 €/MWh	€9.0 - €10.5	0% Up / 1% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q6	2026-09-21 01:15	€9.71	€9.84	+0.13 €/MWh	€8.6 - €10.1	0% Up / 1% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q7	2026-09-21 01:30	€10.01	€10.18	+0.17 €/MWh	€8.9 - €10.4	0% Up / 1% Dn	HOLD	0.0 MW	Batch 1 Dispatched
Q8	2026-09-21 01:45	€9.70	€9.84	+0.14 €/MWh	€8.6 - €10.1	0% Up / 1% Dn	HOLD	0.0 MW	Batch 1 Dispatched
