Quarter	Delivery Time (CET)	Spot Price (€/MWh)	Pred Imbalance (€/MWh)	Pred Spread (€/MWh)	Quantiles (q10-q90)	P(Up) / P(Dn)	Recommended Action	Volume (MW)	Status
Q49	2026-09-15 12:00	€58.17	€58.25	+0.08 €/MWh	€57.5 - €58.5	0% Up / 0% Dn	HOLD	0.0 MW	Batch 7 Dispatched
Q50	2026-09-15 12:15	€43.45	€43.51	+0.06 €/MWh	€42.8 - €43.8	0% Up / 0% Dn	HOLD	0.0 MW	Batch 7 Dispatched
Q51	2026-09-15 12:30	€36.46	€36.44	-0.02 €/MWh	€35.8 - €36.8	0% Up / 0% Dn	HOLD	0.0 MW	Batch 7 Dispatched
Q52	2026-09-15 12:45	€37.40	€37.32	-0.08 €/MWh	€36.7 - €37.8	0% Up / 0% Dn	HOLD	0.0 MW	Batch 7 Dispatched
Q53	2026-09-15 13:00	€37.28	€37.20	-0.08 €/MWh	€36.6 - €37.7	0% Up / 0% Dn	HOLD	0.0 MW	Batch 7 Dispatched
Q54	2026-09-15 13:15	€34.85	€34.78	-0.07 €/MWh	€34.2 - €35.2	0% Up / 0% Dn	HOLD	0.0 MW	Batch 7 Dispatched
Q55	2026-09-15 13:30	€33.95	€33.87	-0.08 €/MWh	€33.3 - €34.3	0% Up / 0% Dn	HOLD	0.0 MW	Batch 7 Dispatched
Q56	2026-09-15 13:45	€31.00	€30.93	-0.07 €/MWh	€30.3 - €31.4	0% Up / 0% Dn	HOLD	0.0 MW	Batch 7 Dispatched
