Quarter	Delivery Time (CET)	Spot Price (€/MWh)	Pred Imbalance (€/MWh)	Pred Spread (€/MWh)	Quantiles (q10-q90)	P(Up) / P(Dn)	Recommended Action	Volume (MW)	Status
Q41	2026-09-20 10:00	€0.02	€-1.61	-1.63 €/MWh	€-1.1 - €0.4	0% Up / 1% Dn	SELL Spot	0.5 MW	Batch 6 Dispatched
Q42	2026-09-20 10:15	€0.01	€-1.55	-1.56 €/MWh	€-1.1 - €0.4	0% Up / 1% Dn	SELL Spot	0.5 MW	Batch 6 Dispatched
Q43	2026-09-20 10:30	€0.00	€-1.48	-1.48 €/MWh	€-1.1 - €0.4	0% Up / 1% Dn	SELL Spot	0.5 MW	Batch 6 Dispatched
Q44	2026-09-20 10:45	€-0.03	€-0.98	-0.95 €/MWh	€-1.2 - €0.3	0% Up / 1% Dn	HOLD	0.0 MW	Batch 6 Dispatched
Q45	2026-09-20 11:00	€-0.01	€-0.94	-0.93 €/MWh	€-1.1 - €0.4	0% Up / 1% Dn	HOLD	0.0 MW	Batch 6 Dispatched
Q46	2026-09-20 11:15	€-0.06	€-0.98	-0.92 €/MWh	€-1.2 - €0.3	0% Up / 1% Dn	HOLD	0.0 MW	Batch 6 Dispatched
Q47	2026-09-20 11:30	€-0.08	€-0.98	-0.90 €/MWh	€-1.2 - €0.3	0% Up / 1% Dn	HOLD	0.0 MW	Batch 6 Dispatched
Q48	2026-09-20 11:45	€-0.13	€-1.02	-0.89 €/MWh	€-1.3 - €0.2	0% Up / 1% Dn	HOLD	0.0 MW	Batch 6 Dispatched
