Quarter	Delivery Time (CET)	Spot Price (€/MWh)	Pred Imbalance (€/MWh)	Pred Spread (€/MWh)	Quantiles (q10-q90)	P(Up) / P(Dn)	Recommended Action	Volume (MW)	Status
Q57	2026-09-17 14:00	€6.82	€6.93	+0.11 €/MWh	€6.1 - €7.2	0% Up / 0% Dn	HOLD	0.0 MW	Batch 8 Dispatched
Q58	2026-09-17 14:15	€7.96	€8.00	+0.04 €/MWh	€7.3 - €8.3	0% Up / 0% Dn	HOLD	0.0 MW	Batch 8 Dispatched
Q59	2026-09-17 14:30	€17.23	€17.17	-0.06 €/MWh	€16.5 - €17.6	0% Up / 0% Dn	HOLD	0.0 MW	Batch 8 Dispatched
Q60	2026-09-17 14:45	€26.20	€26.13	-0.07 €/MWh	€25.5 - €26.7	0% Up / 0% Dn	HOLD	0.0 MW	Batch 8 Dispatched
Q61	2026-09-17 15:00	€10.60	€10.81	+0.21 €/MWh	€9.9 - €11.0	0% Up / 0% Dn	HOLD	0.0 MW	Batch 8 Dispatched
Q62	2026-09-17 15:15	€23.82	€23.72	-0.10 €/MWh	€23.1 - €24.3	0% Up / 0% Dn	HOLD	0.0 MW	Batch 8 Dispatched
Q63	2026-09-17 15:30	€42.99	€42.90	-0.09 €/MWh	€42.3 - €43.4	0% Up / 0% Dn	HOLD	0.0 MW	Batch 8 Dispatched
Q64	2026-09-17 15:45	€49.01	€48.92	-0.09 €/MWh	€48.3 - €49.4	0% Up / 0% Dn	HOLD	0.0 MW	Batch 8 Dispatched
