Quarter	Delivery Time (CET)	Spot Price (€/MWh)	Pred Imbalance (€/MWh)	Pred Spread (€/MWh)	Quantiles (q10-q90)	P(Up) / P(Dn)	Recommended Action	Volume (MW)	Status
Q49	2026-09-18 12:00	€17.90	€17.93	+0.03 €/MWh	€17.2 - €18.3	0% Up / 0% Dn	HOLD	0.0 MW	Batch 7 Dispatched
Q50	2026-09-18 12:15	€5.90	€6.11	+0.21 €/MWh	€5.2 - €6.3	0% Up / 0% Dn	HOLD	0.0 MW	Batch 7 Dispatched
Q51	2026-09-18 12:30	€4.91	€5.01	+0.10 €/MWh	€4.2 - €5.3	0% Up / 0% Dn	HOLD	0.0 MW	Batch 7 Dispatched
Q52	2026-09-18 12:45	€4.91	€4.98	+0.07 €/MWh	€4.2 - €5.3	0% Up / 0% Dn	HOLD	0.0 MW	Batch 7 Dispatched
Q53	2026-09-18 13:00	€4.92	€4.99	+0.07 €/MWh	€4.2 - €5.3	0% Up / 0% Dn	HOLD	0.0 MW	Batch 7 Dispatched
Q54	2026-09-18 13:15	€4.93	€5.00	+0.07 €/MWh	€4.2 - €5.3	0% Up / 0% Dn	HOLD	0.0 MW	Batch 7 Dispatched
Q55	2026-09-18 13:30	€4.93	€5.01	+0.08 €/MWh	€4.2 - €5.3	0% Up / 0% Dn	HOLD	0.0 MW	Batch 7 Dispatched
Q56	2026-09-18 13:45	€4.92	€5.00	+0.08 €/MWh	€4.2 - €5.3	0% Up / 0% Dn	HOLD	0.0 MW	Batch 7 Dispatched
