Quarter	Delivery Time (CET)	Spot Price (€/MWh)	Pred Imbalance (€/MWh)	Pred Spread (€/MWh)	Quantiles (q10-q90)	P(Up) / P(Dn)	Recommended Action	Volume (MW)	Status
Q49	2026-09-19 12:00	€-0.01	€-1.60	-1.59 €/MWh	€-0.7 - €0.4	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 7 Dispatched
Q50	2026-09-19 12:15	€-0.01	€-1.51	-1.50 €/MWh	€-0.7 - €0.4	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 7 Dispatched
Q51	2026-09-19 12:30	€-0.09	€-1.59	-1.50 €/MWh	€-0.8 - €0.3	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 7 Dispatched
Q52	2026-09-19 12:45	€-0.21	€-1.69	-1.48 €/MWh	€-0.9 - €0.2	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 7 Dispatched
Q53	2026-09-19 13:00	€-0.07	€-1.47	-1.40 €/MWh	€-0.8 - €0.3	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 7 Dispatched
Q54	2026-09-19 13:15	€-0.09	€-1.50	-1.41 €/MWh	€-0.8 - €0.3	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 7 Dispatched
Q55	2026-09-19 13:30	€-0.09	€-1.48	-1.39 €/MWh	€-0.8 - €0.3	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 7 Dispatched
Q56	2026-09-19 13:45	€-0.10	€-1.48	-1.38 €/MWh	€-0.8 - €0.3	0% Up / 0% Dn	SELL Spot	0.5 MW	Batch 7 Dispatched
