Quarter	Delivery Time (CET)	Spot Price (€/MWh)	Pred Imbalance (€/MWh)	Pred Spread (€/MWh)	Quantiles (q10-q90)	P(Up) / P(Dn)	Recommended Action	Volume (MW)	Status
Q89	2026-09-13 22:00	€232.43	€233.70	+1.27 €/MWh	€231.6 - €232.7	0.3% Up / 0.5% Dn	BUY Spot	1.0 MW	Batch 12 Dispatched
Q90	2026-09-13 22:15	€227.50	€229.03	+1.53 €/MWh	€226.7 - €227.8	0.3% Up / 0.5% Dn	BUY Spot	1.0 MW	Batch 12 Dispatched
Q91	2026-09-13 22:30	€227.50	€229.16	+1.66 €/MWh	€226.7 - €227.8	0.3% Up / 0.5% Dn	BUY Spot	1.0 MW	Batch 12 Dispatched
Q92	2026-09-13 22:45	€222.41	€224.14	+1.73 €/MWh	€221.6 - €222.7	0.3% Up / 0.5% Dn	BUY Spot	1.0 MW	Batch 12 Dispatched
Q93	2026-09-13 23:00	€220.53	€222.33	+1.80 €/MWh	€219.7 - €220.8	0.3% Up / 0.5% Dn	BUY Spot	1.0 MW	Batch 12 Dispatched
Q94	2026-09-13 23:15	€208.58	€210.24	+1.66 €/MWh	€207.8 - €208.8	0.3% Up / 0.5% Dn	BUY Spot	1.0 MW	Batch 12 Dispatched
Q95	2026-09-13 23:30	€207.24	€208.88	+1.64 €/MWh	€206.4 - €207.5	0.3% Up / 0.5% Dn	BUY Spot	1.0 MW	Batch 12 Dispatched
Q96	2026-09-13 23:45	€206.00	€206.14	+0.14 €/MWh	€205.2 - €206.3	0.3% Up / 0.5% Dn	HOLD	0.0 MW	Batch 12 Dispatched
