Quarter	Delivery Time (CET)	Spot Price (€/MWh)	Pred Imbalance (€/MWh)	Pred Spread (€/MWh)	Quantiles (q10-q90)	P(Up) / P(Dn)	Recommended Action	Volume (MW)	Status
Q49	2026-09-15 12:00	€57.12	€59.95	+2.83 €/MWh	€55.5 - €57.5	0% Up / 1% Dn	BUY Spot	0.5 MW	Batch 7 Dispatched
Q50	2026-09-15 12:15	€44.26	€45.27	+1.01 €/MWh	€43.1 - €44.6	0% Up / 1% Dn	HOLD	0.0 MW	Batch 7 Dispatched
Q51	2026-09-15 12:30	€35.81	€37.45	+1.64 €/MWh	€34.7 - €36.2	0% Up / 1% Dn	BUY Spot	0.5 MW	Batch 7 Dispatched
Q52	2026-09-15 12:45	€36.74	€39.98	+3.24 €/MWh	€35.6 - €37.1	0% Up / 1% Dn	BUY Spot	0.5 MW	Batch 7 Dispatched
Q53	2026-09-15 13:00	€36.61	€39.44	+2.83 €/MWh	€35.5 - €37.0	0% Up / 1% Dn	BUY Spot	0.5 MW	Batch 7 Dispatched
Q54	2026-09-15 13:15	€35.10	€38.13	+3.03 €/MWh	€34.0 - €35.5	0% Up / 1% Dn	BUY Spot	0.5 MW	Batch 7 Dispatched
Q55	2026-09-15 13:30	€34.58	€37.87	+3.29 €/MWh	€33.5 - €35.0	0% Up / 1% Dn	BUY Spot	0.5 MW	Batch 7 Dispatched
Q56	2026-09-15 13:45	€31.58	€34.48	+2.90 €/MWh	€30.5 - €32.0	0% Up / 1% Dn	BUY Spot	0.5 MW	Batch 7 Dispatched
