timestamp,time_dk,price_area,satisfied_demand,imbalance_price_eur,imbalance_price_dkk,spot_price_eur,dominating_direction,afrr_up,afrr_vwa_up_eur,afrr_vwa_up_dkk,afrr_down,afrr_vwa_down_eur,afrr_vwa_down_dkk,mfrr_marginal_up_eur,mfrr_marginal_up_dkk,mfrr_marginal_down_eur,mfrr_marginal_down_dkk,hour,day_of_week,month,quarter,is_weekend,is_peak_hour,imbalance_price,spot_price,price_regime,deviation,deviation_regime,volatility,volatility_regime,market_regime,price_regime_encoded,deviation_regime_encoded,volatility_regime_encoded,market_regime_encoded,lag_1_imbalance,lag_1_spot,lag_1_demand,lag_2_imbalance,lag_2_spot,lag_2_demand,lag_3_imbalance,lag_3_spot,lag_3_demand,lag_6_imbalance,lag_6_spot,lag_6_demand,lag_12_imbalance,lag_12_spot,lag_12_demand,lag_24_imbalance,lag_24_spot,lag_24_demand,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,rolling_mean_12,rolling_std_12,rolling_mean_24,rolling_std_24
2026-06-18 07:30:00,2026-06-18 09:30:00,DK1,-183.0,53.52,400.05,100.41,-1,3.78,195.24,1459.36,-0.19,69.4,518.74,100.41,750.53,53.52,400.05,7,3,6,2,0,1,53.52,100.41,Normal,-46.88999999999999,Extreme_Negative,22.3480039377122,Low_Volatility,Normal,4,0,1,1,77.74,105.36,-111.0,117.0,117.0,0.0,67.0,103.25,-224.0,92.67,121.57,-36.0,92.64500000000001,121.62,-36.0,92.605,121.47,-36.0,82.75333333333333,32.035569814400574,81.06,22.3480039377122,81.06,22.3480039377122,81.06,22.3480039377122
2026-06-18 07:30:00,2026-06-18 09:30:00,DK2,-163.0,12.15,90.82,98.59,-1,0.07,83.43,623.61,-8.44,12.15,90.82,98.59,736.93,53.52,400.05,7,3,6,2,0,1,12.15,98.59,Low,-86.44,Extreme_Negative,36.501003273882766,Medium_Volatility,Normal,2,0,2,1,82.58,105.39,-105.0,66.77,114.89,-108.0,67.0,101.77,-156.0,92.67,121.57,-36.0,92.64500000000001,121.62,-36.0,92.605,121.47,-36.0,53.833333333333336,36.95421807227604,40.809999999999995,36.501003273882766,40.809999999999995,36.501003273882766,40.809999999999995,36.501003273882766
2026-06-18 07:45:00,2026-06-18 09:45:00,DK1,-183.0,42.1,314.68,86.97,-1,0.76,131.49,982.85,-1.23,48.04,359.08,86.97,650.07,42.1,314.68,7,3,6,2,0,1,42.1,86.97,Normal,-44.87,Extreme_Negative,25.81191352844651,Low_Volatility,Normal,4,0,1,1,53.52,100.41,-183.0,77.74,105.36,-111.0,117.0,117.0,0.0,95.5,123.6,-251.0,92.64500000000001,121.62,-36.0,92.605,121.47,-36.0,57.78666666666667,18.199058583710606,72.16,25.81191352844651,75.49428571428572,25.160179422480844,75.49428571428572,25.160179422480844
2026-06-18 07:45:00,2026-06-18 09:45:00,DK2,-141.0,42.1,314.68,85.4,-1,1.49,141.16,1055.13,-0.27,81.74,610.98,85.4,638.34,42.1,314.68,7,3,6,2,0,1,42.1,85.4,Normal,-43.300000000000004,Extreme_Negative,27.276915331466643,Low_Volatility,Normal,4,0,1,1,12.15,98.59,-163.0,82.58,105.39,-105.0,66.77,114.89,-108.0,-9.23,121.37,-71.0,92.64500000000001,121.62,-36.0,92.605,121.47,-36.0,45.60999999999999,35.345951677667415,49.365,27.276915331466643,40.99428571428571,33.324271863584585,40.99428571428571,33.324271863584585
2026-06-18 08:00:00,2026-06-18 10:00:00,DK1,0.0,102.31,764.74,102.31,0,0.77,123.04,919.69,-0.87,44.48,332.47,102.31,764.74,93.93,702.1,8,3,6,2,0,1,102.31,102.31,Spike,0.0,Normal,28.669005156556565,Medium_Volatility,Normal,5,5,2,1,42.1,86.97,-183.0,53.52,100.41,-183.0,77.74,105.36,-111.0,75.6,117.47,-163.0,92.64500000000001,121.62,-36.0,92.605,121.47,-36.0,65.97666666666667,31.9794845695382,76.61166666666666,28.669005156556565,78.84625,25.149282828456844,78.84625,25.149282828456844
2026-06-18 08:00:00,2026-06-18 10:00:00,DK2,-123.0,25.0,186.87,100.91,-1,4.54,187.25,1399.64,0.0,0.0,0.0,100.91,754.27,25.0,186.87,8,3,6,2,0,1,25.0,100.91,Low,-75.91,Extreme_Negative,27.38063232773609,Low_Volatility,Normal,2,0,1,1,42.1,85.4,-141.0,12.15,98.59,-163.0,82.58,105.39,-105.0,25.59,115.35,-139.0,92.64500000000001,121.62,-36.0,92.605,121.47,-36.0,26.416666666666668,15.025173321241,49.26666666666667,27.38063232773609,38.995,31.366229793020576,38.995,31.366229793020576
2026-06-18 08:15:00,2026-06-18 10:15:00,DK1,0.0,85.25,637.22,85.25,0,1.44,171.75,1283.78,-0.04,59.97,448.26,85.25,637.22,65.45,489.22,8,3,6,2,0,1,85.25,85.25,High,0.0,Normal,28.412270353962683,Medium_Volatility,Normal,1,5,2,1,102.31,102.31,0.0,42.1,86.97,-183.0,53.52,100.41,-183.0,67.0,103.25,-224.0,92.64500000000001,121.62,-36.0,92.605,121.47,-36.0,76.55333333333333,31.032805759926593,79.65333333333332,28.412270353962683,79.55777777777777,23.621644088514337,79.55777777777777,23.621644088514337
2026-06-18 08:15:00,2026-06-18 10:15:00,DK2,-51.0,9.8,73.25,84.44,-1,2.04,166.41,1243.86,-2.08,27.2,203.31,84.44,631.16,9.8,73.25,8,3,6,2,0,1,9.8,84.44,Low,-74.64,Extreme_Negative,29.820580589027216,Medium_Volatility,Normal,2,0,2,1,25.0,100.91,-123.0,42.1,85.4,-141.0,12.15,98.59,-163.0,67.0,101.77,-156.0,92.64500000000001,121.62,-36.0,92.605,121.47,-36.0,25.63333333333333,16.159311041419194,39.733333333333334,29.820580589027216,35.75111111111111,30.912225107732237,35.75111111111111,30.912225107732237
2026-06-18 08:30:00,2026-06-18 10:30:00,DK2,0.0,71.62,535.34,71.62,0,0.0,0.0,0.0,-9.57,13.27,99.19,71.62,535.34,16.1,120.34,8,3,6,2,0,1,71.62,71.62,High,0.0,Normal,30.751236994089634,Medium_Volatility,Normal,1,5,2,1,9.8,84.44,-51.0,25.0,100.91,-123.0,42.1,85.4,-141.0,66.77,114.89,-108.0,92.64500000000001,121.62,-36.0,92.605,121.47,-36.0,35.473333333333336,32.213291252731885,40.541666666666664,30.751236994089634,39.338,31.273781635385543,39.338,31.273781635385543
2026-06-18 08:30:00,2026-06-18 10:30:00,DK1,-212.0,16.1,120.34,72.94,-1,0.4,138.83,1037.71,-0.26,59.16,442.2,72.94,545.2,16.1,120.34,8,3,6,2,0,1,16.1,72.94,Low,-56.839999999999996,Extreme_Negative,31.571305115035493,Medium_Volatility,Normal,2,0,2,1,85.25,85.25,0.0,102.31,102.31,0.0,42.1,86.97,-183.0,117.0,117.0,0.0,92.64500000000001,121.62,-36.0,92.605,121.47,-36.0,67.88666666666667,45.652546843887386,62.836666666666666,31.571305115035493,73.212,29.97787547138352,73.212,29.97787547138352
2026-06-18 08:45:00,2026-06-18 10:45:00,DK2,-59.0,10.0,74.75,46.21,-1,2.55,137.27,1026.05,-0.35,39.09,292.19,46.21,345.41,10.0,74.75,8,3,6,2,0,1,10.0,46.21,Low,-36.21,Extreme_Negative,24.55927014387847,Low_Volatility,Normal,2,0,1,1,71.62,71.62,0.0,9.8,84.44,-51.0,25.0,100.91,-123.0,82.58,105.39,-105.0,92.64500000000001,121.62,-36.0,92.605,121.47,-36.0,30.473333333333333,35.63419892930572,28.445000000000004,24.55927014387847,36.67090909090909,30.959515323901783,36.67090909090909,30.959515323901783
2026-06-18 08:45:00,2026-06-18 10:45:00,DK1,-118.0,10.0,74.75,47.06,-1,0.08,95.01,710.17,-1.27,44.28,330.98,47.06,351.76,10.0,74.75,8,3,6,2,0,1,10.0,47.06,Low,-37.06,Extreme_Negative,36.84713267903849,Medium_Volatility,Normal,2,0,2,1,16.1,72.94,-212.0,85.25,85.25,0.0,102.31,102.31,0.0,77.74,105.36,-111.0,92.64500000000001,121.62,-36.0,92.605,121.47,-36.0,37.11666666666667,41.79612222842364,51.546666666666674,36.84713267903849,67.46545454545455,34.23530848806138,67.46545454545455,34.23530848806138
