quarter,time_dk,spot_price_eur,pred_imbalance_eur,pred_spread_eur,q10_price_eur,q90_price_eur,quantile_range,p_ratio,bid_action,bid_limit_price_eur,bid_volume_mw,status
Q1,2026-09-15 00:00,221.88,550.43,328.55,158.41,413.6,€158.4 - €413.6,16.2% Up / 18.8% Dn,BUY Spot (Long),226.88,1.0,Fixed Pre-Auction Bid
Q2,2026-09-15 00:15,217.47,610.91,393.44,124.17,355.59,€124.2 - €355.6,15.1% Up / 41.7% Dn,BUY Spot (Long),222.47,1.0,Fixed Pre-Auction Bid
Q3,2026-09-15 00:30,205.62,464.52,258.9,126.79,292.94,€126.8 - €292.9,13.9% Up / 31.9% Dn,BUY Spot (Long),210.62,1.0,Fixed Pre-Auction Bid
Q4,2026-09-15 00:45,192.09,281.65,89.56,123.01,341.38,€123.0 - €341.4,17.1% Up / 28.8% Dn,BUY Spot (Long),197.09,1.0,Fixed Pre-Auction Bid
Q5,2026-09-15 01:00,211.21,310.19,98.98,121.62,350.79,€121.6 - €350.8,13.9% Up / 40.0% Dn,BUY Spot (Long),216.21,1.0,Fixed Pre-Auction Bid
Q6,2026-09-15 01:15,198.43,310.52,112.09,119.09,384.64,€119.1 - €384.6,17.4% Up / 28.8% Dn,BUY Spot (Long),203.43,1.0,Fixed Pre-Auction Bid
Q7,2026-09-15 01:30,194.3,291.87,97.57,118.34,346.9,€118.3 - €346.9,18.6% Up / 31.7% Dn,BUY Spot (Long),199.3,1.0,Fixed Pre-Auction Bid
Q8,2026-09-15 01:45,188.11,261.46,73.35,108.6,330.3,€108.6 - €330.3,23.9% Up / 28.3% Dn,BUY Spot (Long),193.11,2.1,Fixed Pre-Auction Bid
Q9,2026-09-15 02:00,189.91,253.76,63.85,109.89,346.5,€109.9 - €346.5,26.1% Up / 30.8% Dn,BUY Spot (Long),194.91,2.7,Fixed Pre-Auction Bid
Q10,2026-09-15 02:15,187.1,244.74,57.64,103.46,342.77,€103.5 - €342.8,29.3% Up / 31.4% Dn,BUY Spot (Long),192.1,3.6,Fixed Pre-Auction Bid
Q11,2026-09-15 02:30,188.14,197.56,9.42,100.44,328.9,€100.4 - €328.9,18.2% Up / 32.4% Dn,BUY Spot (Long),192.85,1.0,Fixed Pre-Auction Bid
Q12,2026-09-15 02:45,187.5,204.1,16.6,100.25,327.16,€100.2 - €327.2,18.0% Up / 34.0% Dn,BUY Spot (Long),192.5,1.0,Fixed Pre-Auction Bid
Q13,2026-09-15 03:00,185.3,192.2,6.9,99.06,335.1,€99.1 - €335.1,17.8% Up / 35.7% Dn,BUY Spot (Long),188.75,1.0,Fixed Pre-Auction Bid
Q14,2026-09-15 03:15,185.97,191.73,5.76,101.48,240.66,€101.5 - €240.7,14.2% Up / 32.2% Dn,BUY Spot (Long),188.85,1.0,Fixed Pre-Auction Bid
Q15,2026-09-15 03:30,187.34,188.47,1.13,99.38,247.42,€99.4 - €247.4,14.9% Up / 33.3% Dn,HOLD (No Bid),187.34,0.0,Fixed Pre-Auction Bid
Q16,2026-09-15 03:45,183.95,188.24,4.29,96.69,236.7,€96.7 - €236.7,12.8% Up / 33.4% Dn,BUY Spot (Long),186.09,1.0,Fixed Pre-Auction Bid
Q17,2026-09-15 04:00,184.06,185.19,1.13,99.2,245.18,€99.2 - €245.2,13.0% Up / 37.7% Dn,HOLD (No Bid),184.06,0.0,Fixed Pre-Auction Bid
Q18,2026-09-15 04:15,184.3,186.31,2.01,99.04,245.66,€99.0 - €245.7,13.2% Up / 38.3% Dn,BUY Spot (Long),185.31,1.0,Fixed Pre-Auction Bid
Q19,2026-09-15 04:30,184.52,187.25,2.73,100.94,264.15,€100.9 - €264.1,15.9% Up / 30.8% Dn,BUY Spot (Long),185.89,1.0,Fixed Pre-Auction Bid
Q20,2026-09-15 04:45,181.31,296.05,114.74,92.99,226.84,€93.0 - €226.8,11.0% Up / 38.0% Dn,BUY Spot (Long),186.31,1.0,Fixed Pre-Auction Bid
Q21,2026-09-15 05:00,184.38,181.51,-2.87,94.31,211.38,€94.3 - €211.4,10.2% Up / 42.1% Dn,SELL Spot (Short),182.94,2.5,Fixed Pre-Auction Bid
Q22,2026-09-15 05:15,186.91,175.89,-11.02,96.15,227.56,€96.2 - €227.6,9.7% Up / 44.3% Dn,SELL Spot (Short),181.91,7.8,Fixed Pre-Auction Bid
Q23,2026-09-15 05:30,199.06,173.97,-25.09,105.14,243.26,€105.1 - €243.3,12.3% Up / 44.7% Dn,SELL Spot (Short),194.06,7.9,Fixed Pre-Auction Bid
Q24,2026-09-15 05:45,216.16,257.57,41.41,114.73,271.42,€114.7 - €271.4,15.2% Up / 45.5% Dn,BUY Spot (Long),221.16,1.0,Fixed Pre-Auction Bid
Q25,2026-09-15 06:00,214.09,293.37,79.28,109.43,278.28,€109.4 - €278.3,18.2% Up / 52.3% Dn,BUY Spot (Long),219.09,1.0,Fixed Pre-Auction Bid
Q26,2026-09-15 06:15,211.12,476.9,265.78,113.32,269.99,€113.3 - €270.0,19.5% Up / 46.9% Dn,BUY Spot (Long),216.12,1.0,Fixed Pre-Auction Bid
Q27,2026-09-15 06:30,213.57,463.23,249.66,106.13,365.23,€106.1 - €365.2,20.5% Up / 47.2% Dn,BUY Spot (Long),218.57,1.1,Fixed Pre-Auction Bid
Q28,2026-09-15 06:45,239.75,431.8,192.05,116.66,621.69,€116.7 - €621.7,20.0% Up / 44.2% Dn,BUY Spot (Long),244.75,1.0,Fixed Pre-Auction Bid
Q29,2026-09-15 07:00,247.76,450.94,203.18,113.39,636.2,€113.4 - €636.2,20.0% Up / 45.2% Dn,BUY Spot (Long),252.76,1.0,Fixed Pre-Auction Bid
Q30,2026-09-15 07:15,262.54,393.54,131.0,141.99,599.15,€142.0 - €599.1,20.6% Up / 45.9% Dn,BUY Spot (Long),267.54,1.2,Fixed Pre-Auction Bid
Q31,2026-09-15 07:30,250.02,364.58,114.56,128.19,546.17,€128.2 - €546.2,20.4% Up / 44.4% Dn,BUY Spot (Long),255.02,1.1,Fixed Pre-Auction Bid
Q32,2026-09-15 07:45,241.01,434.71,193.7,125.05,529.25,€125.0 - €529.2,19.3% Up / 50.4% Dn,BUY Spot (Long),246.01,1.0,Fixed Pre-Auction Bid
Q33,2026-09-15 08:00,267.95,434.23,166.28,129.64,510.68,€129.6 - €510.7,25.7% Up / 39.7% Dn,BUY Spot (Long),272.95,2.6,Fixed Pre-Auction Bid
Q34,2026-09-15 08:15,241.46,404.14,162.68,114.85,487.96,€114.8 - €488.0,25.8% Up / 41.8% Dn,BUY Spot (Long),246.46,2.6,Fixed Pre-Auction Bid
Q35,2026-09-15 08:30,225.0,387.55,162.55,88.28,381.34,€88.3 - €381.3,30.4% Up / 38.6% Dn,BUY Spot (Long),230.0,3.9,Fixed Pre-Auction Bid
Q36,2026-09-15 08:45,197.88,271.36,73.48,90.24,317.63,€90.2 - €317.6,24.6% Up / 45.8% Dn,BUY Spot (Long),202.88,2.3,Fixed Pre-Auction Bid
Q37,2026-09-15 09:00,227.5,371.25,143.75,69.56,360.56,€69.6 - €360.6,41.8% Up / 32.1% Dn,BUY Spot (Long),232.5,7.1,Fixed Pre-Auction Bid
Q38,2026-09-15 09:15,212.62,358.15,145.53,109.78,318.42,€109.8 - €318.4,28.4% Up / 42.2% Dn,BUY Spot (Long),217.62,3.3,Fixed Pre-Auction Bid
Q39,2026-09-15 09:30,188.75,232.18,43.43,89.71,281.85,€89.7 - €281.9,22.6% Up / 45.0% Dn,BUY Spot (Long),193.75,1.7,Fixed Pre-Auction Bid
Q40,2026-09-15 09:45,155.18,140.94,-14.24,60.28,257.62,€60.3 - €257.6,22.0% Up / 48.4% Dn,SELL Spot (Short),150.18,8.9,Fixed Pre-Auction Bid
Q41,2026-09-15 10:00,181.17,171.42,-9.75,70.76,292.7,€70.8 - €292.7,18.4% Up / 49.9% Dn,SELL Spot (Short),176.29,9.4,Fixed Pre-Auction Bid
Q42,2026-09-15 10:15,160.25,144.19,-16.06,69.28,230.39,€69.3 - €230.4,20.1% Up / 54.2% Dn,SELL Spot (Short),155.25,9.9,Fixed Pre-Auction Bid
Q43,2026-09-15 10:30,130.38,108.64,-21.74,43.91,211.68,€43.9 - €211.7,19.1% Up / 54.1% Dn,SELL Spot (Short),125.38,9.9,Fixed Pre-Auction Bid
Q44,2026-09-15 10:45,112.06,101.37,-10.69,33.51,181.1,€33.5 - €181.1,17.5% Up / 51.0% Dn,SELL Spot (Short),107.06,9.5,Fixed Pre-Auction Bid
Q45,2026-09-15 11:00,122.17,116.47,-5.7,37.09,187.82,€37.1 - €187.8,17.4% Up / 54.6% Dn,SELL Spot (Short),119.32,6.9,Fixed Pre-Auction Bid
Q46,2026-09-15 11:15,87.92,94.79,6.87,8.75,160.76,€8.8 - €160.8,17.8% Up / 50.0% Dn,BUY Spot (Long),91.36,1.0,Fixed Pre-Auction Bid
Q47,2026-09-15 11:30,67.84,61.99,-5.85,-7.75,127.95,€-7.8 - €128.0,20.8% Up / 50.3% Dn,SELL Spot (Short),64.92,6.8,Fixed Pre-Auction Bid
Q48,2026-09-15 11:45,35.79,36.27,0.48,-20.5,106.67,€-20.5 - €106.7,19.0% Up / 45.5% Dn,HOLD (No Bid),35.79,0.0,Fixed Pre-Auction Bid
Q49,2026-09-15 12:00,58.17,58.76,0.59,-4.99,113.48,€-5.0 - €113.5,16.9% Up / 45.8% Dn,HOLD (No Bid),58.17,0.0,Fixed Pre-Auction Bid
Q50,2026-09-15 12:15,43.45,35.99,-7.46,-9.57,98.25,€-9.6 - €98.2,17.5% Up / 41.9% Dn,SELL Spot (Short),39.72,6.6,Fixed Pre-Auction Bid
Q51,2026-09-15 12:30,36.46,32.14,-4.32,-9.49,101.06,€-9.5 - €101.1,19.2% Up / 51.6% Dn,SELL Spot (Short),34.3,4.9,Fixed Pre-Auction Bid
Q52,2026-09-15 12:45,37.4,28.96,-8.44,-16.46,95.1,€-16.5 - €95.1,19.0% Up / 52.6% Dn,SELL Spot (Short),33.18,9.7,Fixed Pre-Auction Bid
Q53,2026-09-15 13:00,37.28,27.72,-9.56,-8.81,104.49,€-8.8 - €104.5,19.3% Up / 50.7% Dn,SELL Spot (Short),32.5,9.5,Fixed Pre-Auction Bid
Q54,2026-09-15 13:15,34.85,26.3,-8.55,-12.84,82.6,€-12.8 - €82.6,18.5% Up / 50.6% Dn,SELL Spot (Short),30.58,9.5,Fixed Pre-Auction Bid
Q55,2026-09-15 13:30,33.95,27.25,-6.7,-14.63,96.36,€-14.6 - €96.4,18.5% Up / 49.2% Dn,SELL Spot (Short),30.6,7.6,Fixed Pre-Auction Bid
Q56,2026-09-15 13:45,31.0,26.51,-4.49,-15.98,72.32,€-16.0 - €72.3,19.5% Up / 50.3% Dn,SELL Spot (Short),28.75,5.1,Fixed Pre-Auction Bid
Q57,2026-09-15 14:00,31.53,28.13,-3.4,-18.39,67.18,€-18.4 - €67.2,17.9% Up / 51.9% Dn,SELL Spot (Short),29.83,3.8,Fixed Pre-Auction Bid
