quarter,time_dk,spot_price_eur,pred_imbalance_eur,pred_spread_eur,q10_price_eur,q90_price_eur,quantile_range,p_ratio,bid_action,bid_limit_price_eur,bid_volume_mw,status
Q1,2026-09-17 00:00,181.7,165.74,-15.96,85.59,338.13,€85.6 - €338.1,14.5% Up / 56.7% Dn,SELL Spot (Short),176.7,10.2,Fixed Pre-Auction Bid
Q2,2026-09-17 00:15,168.21,178.46,10.25,103.37,261.38,€103.4 - €261.4,28.9% Up / 51.7% Dn,BUY Spot (Long),173.21,3.5,Fixed Pre-Auction Bid
Q3,2026-09-17 00:30,166.94,176.49,9.55,105.2,263.67,€105.2 - €263.7,29.7% Up / 47.8% Dn,BUY Spot (Long),171.72,3.7,Fixed Pre-Auction Bid
Q4,2026-09-17 00:45,165.56,173.55,7.99,105.7,268.49,€105.7 - €268.5,28.6% Up / 46.4% Dn,BUY Spot (Long),169.56,3.4,Fixed Pre-Auction Bid
Q5,2026-09-17 01:00,164.75,174.81,10.06,100.82,277.92,€100.8 - €277.9,26.2% Up / 48.3% Dn,BUY Spot (Long),169.75,2.7,Fixed Pre-Auction Bid
Q6,2026-09-17 01:15,164.14,176.89,12.75,108.68,276.74,€108.7 - €276.7,32.7% Up / 43.2% Dn,BUY Spot (Long),169.14,4.6,Fixed Pre-Auction Bid
Q7,2026-09-17 01:30,163.85,175.08,11.23,108.39,281.75,€108.4 - €281.8,29.3% Up / 43.0% Dn,BUY Spot (Long),168.85,3.6,Fixed Pre-Auction Bid
Q8,2026-09-17 01:45,163.22,174.89,11.67,107.7,279.7,€107.7 - €279.7,29.2% Up / 42.8% Dn,BUY Spot (Long),168.22,3.6,Fixed Pre-Auction Bid
Q9,2026-09-17 02:00,162.1,174.43,12.33,106.06,284.52,€106.1 - €284.5,25.8% Up / 46.0% Dn,BUY Spot (Long),167.1,2.6,Fixed Pre-Auction Bid
Q10,2026-09-17 02:15,161.86,172.89,11.03,105.82,283.55,€105.8 - €283.6,25.9% Up / 46.1% Dn,BUY Spot (Long),166.86,2.7,Fixed Pre-Auction Bid
