quarter,time_dk,time_utc,spot_price_eur,deep_bilstm_eur,transformer_tft_eur,transfer_lgb_eur,hierarchical_eur,pure15m_catboost_eur,meta_ensemble_eur,meta_ensemble_dkk,actual_settled_imbalance_eur,error_spread_eur,agent_action,status
Q1,2026-08-31 00:00,2026-08-30 22:00,188.16,188.19,188.83,208.15,198.72,201.77,196.33,1464.62,247.39,51.06,BUY Spot,Settled
Q2,2026-08-31 00:15,2026-08-30 22:15,174.58,174.54,174.61,194.57,201.26,194.1,186.3,1389.8,174.58,11.72,BUY Spot,Settled
Q3,2026-08-31 00:30,2026-08-30 22:30,169.06,169.06,169.36,189.05,195.74,190.5,181.21,1351.8,267.6,86.39,BUY Spot,Settled
Q4,2026-08-31 00:45,2026-08-30 22:45,165.06,165.09,165.48,185.05,191.74,185.39,177.04,1320.69,173.99,3.05,BUY Spot,Settled
Q5,2026-08-31 01:00,2026-08-30 23:00,168.39,168.36,169.23,188.38,169.72,174.53,173.7,1295.8,168.39,5.31,BUY Spot,Settled
Q6,2026-08-31 01:15,2026-08-30 23:15,164.24,164.23,164.62,184.23,165.57,170.92,169.55,1264.82,164.24,5.31,BUY Spot,Settled
Q7,2026-08-31 01:30,2026-08-30 23:30,158.7,158.71,159.08,178.69,160.03,169.67,164.81,1229.49,158.7,6.11,BUY Spot,Settled
Q8,2026-08-31 01:45,2026-08-30 23:45,156.67,156.66,157.06,176.66,158.0,168.36,162.91,1215.32,156.67,6.24,BUY Spot,Settled
Q9,2026-08-31 02:00,2026-08-31 00:00,163.14,163.15,163.62,183.13,164.47,168.32,168.2,1254.74,148.83,19.37,BUY Spot,Settled
Q10,2026-08-31 02:15,2026-08-31 00:15,152.12,152.13,152.53,172.11,153.45,157.17,157.14,1172.25,152.12,5.02,BUY Spot,Settled
Q11,2026-08-31 02:30,2026-08-31 00:30,146.44,146.45,146.92,166.43,147.77,152.84,151.73,1131.87,180.9,29.17,BUY Spot,Settled
Q12,2026-08-31 02:45,2026-08-31 00:45,143.51,143.54,144.0,163.5,144.84,156.36,150.0,1118.99,152.17,2.17,BUY Spot,Settled
Q13,2026-08-31 03:00,2026-08-31 01:00,149.16,149.16,149.57,169.15,150.49,163.16,155.84,1162.55,162.11,6.27,BUY Spot,Settled
