quarter,time_dk,spot_price_eur,pred_imbalance_eur,pred_spread_eur,q10_price_eur,q90_price_eur,quantile_range,p_ratio,bid_action,bid_limit_price_eur,bid_volume_mw,status
Q1,2026-09-17 00:00,178.43,179.28,0.85,151.31,223.7,€151.3 - €223.7,18.2% Up / 15.3% Dn,HOLD (No Bid),178.43,0.0,Fixed Pre-Auction Bid
Q2,2026-09-17 00:15,165.18,163.2,-1.98,98.24,259.33,€98.2 - €259.3,13.8% Up / 29.7% Dn,SELL Spot (Short),164.19,1.3,Fixed Pre-Auction Bid
Q3,2026-09-17 00:30,163.93,162.0,-1.93,95.28,238.3,€95.3 - €238.3,17.9% Up / 38.8% Dn,SELL Spot (Short),162.97,1.6,Fixed Pre-Auction Bid
Q4,2026-09-17 00:45,162.57,161.96,-0.61,93.89,239.89,€93.9 - €239.9,19.2% Up / 41.2% Dn,HOLD (No Bid),162.57,0.0,Fixed Pre-Auction Bid
Q5,2026-09-17 01:00,161.78,167.21,5.43,100.52,274.94,€100.5 - €274.9,21.0% Up / 40.9% Dn,BUY Spot (Long),164.5,1.2,Fixed Pre-Auction Bid
Q6,2026-09-17 01:15,163.02,171.03,8.01,105.06,276.26,€105.1 - €276.3,24.5% Up / 35.3% Dn,BUY Spot (Long),167.03,2.3,Fixed Pre-Auction Bid
Q7,2026-09-17 01:30,165.64,158.45,-7.19,106.65,232.35,€106.7 - €232.3,22.0% Up / 40.7% Dn,SELL Spot (Short),162.04,6.1,Fixed Pre-Auction Bid
Q8,2026-09-17 01:45,160.37,161.76,1.39,100.61,238.26,€100.6 - €238.3,17.9% Up / 43.2% Dn,BUY Spot (Long),161.06,1.0,Fixed Pre-Auction Bid
Q9,2026-09-17 02:00,165.06,157.62,-7.44,104.71,232.67,€104.7 - €232.7,21.7% Up / 41.0% Dn,SELL Spot (Short),161.34,6.4,Fixed Pre-Auction Bid
Q10,2026-09-17 02:15,164.38,160.53,-3.85,100.02,230.3,€100.0 - €230.3,22.3% Up / 40.1% Dn,SELL Spot (Short),162.45,3.2,Fixed Pre-Auction Bid
Q11,2026-09-17 02:30,163.94,166.97,3.03,92.84,237.14,€92.8 - €237.1,21.7% Up / 38.5% Dn,BUY Spot (Long),165.45,1.1,Fixed Pre-Auction Bid
Q12,2026-09-17 02:45,163.92,171.44,7.52,94.1,282.16,€94.1 - €282.2,25.3% Up / 37.7% Dn,BUY Spot (Long),167.68,2.4,Fixed Pre-Auction Bid
Q13,2026-09-17 03:00,158.11,161.21,3.1,85.65,248.17,€85.7 - €248.2,16.1% Up / 46.5% Dn,BUY Spot (Long),159.66,1.0,Fixed Pre-Auction Bid
Q14,2026-09-17 03:15,158.24,165.1,6.86,88.21,261.57,€88.2 - €261.6,19.6% Up / 44.5% Dn,BUY Spot (Long),161.67,1.0,Fixed Pre-Auction Bid
Q15,2026-09-17 03:30,158.18,166.22,8.04,92.02,258.65,€92.0 - €258.6,20.0% Up / 44.2% Dn,BUY Spot (Long),162.2,1.0,Fixed Pre-Auction Bid
Q16,2026-09-17 03:45,158.21,171.8,13.59,103.81,295.53,€103.8 - €295.5,28.4% Up / 28.4% Dn,BUY Spot (Long),163.21,3.3,Fixed Pre-Auction Bid
Q17,2026-09-17 04:00,158.39,176.14,17.75,112.23,288.16,€112.2 - €288.2,25.3% Up / 31.1% Dn,BUY Spot (Long),163.39,2.5,Fixed Pre-Auction Bid
Q18,2026-09-17 04:15,160.43,167.56,7.13,96.85,250.22,€96.8 - €250.2,20.4% Up / 45.1% Dn,BUY Spot (Long),164.0,1.1,Fixed Pre-Auction Bid
Q19,2026-09-17 04:30,164.7,164.37,-0.33,96.62,240.77,€96.6 - €240.8,17.6% Up / 52.0% Dn,HOLD (No Bid),164.7,0.0,Fixed Pre-Auction Bid
Q20,2026-09-17 04:45,164.54,160.71,-3.83,92.32,239.88,€92.3 - €239.9,18.5% Up / 52.6% Dn,SELL Spot (Short),162.62,4.4,Fixed Pre-Auction Bid
Q21,2026-09-17 05:00,157.61,160.96,3.35,78.82,287.14,€78.8 - €287.1,18.0% Up / 49.7% Dn,BUY Spot (Long),159.29,1.0,Fixed Pre-Auction Bid
Q22,2026-09-17 05:15,158.88,159.06,0.18,80.06,293.51,€80.1 - €293.5,20.0% Up / 48.5% Dn,HOLD (No Bid),158.88,0.0,Fixed Pre-Auction Bid
Q23,2026-09-17 05:30,165.55,151.35,-14.2,82.52,286.6,€82.5 - €286.6,19.3% Up / 52.1% Dn,SELL Spot (Short),160.55,9.6,Fixed Pre-Auction Bid
Q24,2026-09-17 05:45,161.3,150.88,-10.42,86.03,278.73,€86.0 - €278.7,15.5% Up / 53.6% Dn,SELL Spot (Short),156.3,9.8,Fixed Pre-Auction Bid
Q25,2026-09-17 06:00,161.36,156.97,-4.39,80.16,282.36,€80.2 - €282.4,17.7% Up / 51.3% Dn,SELL Spot (Short),159.17,5.0,Fixed Pre-Auction Bid
Q26,2026-09-17 06:15,167.42,158.55,-8.87,84.67,247.87,€84.7 - €247.9,18.5% Up / 55.3% Dn,SELL Spot (Short),162.98,10.0,Fixed Pre-Auction Bid
Q27,2026-09-17 06:30,174.74,161.23,-13.51,87.29,235.57,€87.3 - €235.6,16.7% Up / 55.5% Dn,SELL Spot (Short),169.74,10.0,Fixed Pre-Auction Bid
Q28,2026-09-17 06:45,176.54,157.45,-19.09,88.58,238.49,€88.6 - €238.5,12.7% Up / 60.2% Dn,SELL Spot (Short),171.54,10.5,Fixed Pre-Auction Bid
Q29,2026-09-17 07:00,184.56,163.91,-20.65,86.74,209.54,€86.7 - €209.5,10.7% Up / 53.7% Dn,SELL Spot (Short),179.56,9.8,Fixed Pre-Auction Bid
Q30,2026-09-17 07:15,183.7,165.32,-18.38,80.97,223.87,€81.0 - €223.9,14.5% Up / 53.2% Dn,SELL Spot (Short),178.7,9.8,Fixed Pre-Auction Bid
Q31,2026-09-17 07:30,183.8,170.91,-12.89,83.41,223.57,€83.4 - €223.6,16.2% Up / 55.3% Dn,SELL Spot (Short),178.8,10.0,Fixed Pre-Auction Bid
Q32,2026-09-17 07:45,189.07,186.05,-3.02,90.77,231.69,€90.8 - €231.7,14.6% Up / 57.1% Dn,SELL Spot (Short),187.56,3.5,Fixed Pre-Auction Bid
