quarter,time_dk,time_utc,spot_price_eur,deep_bilstm_eur,transformer_tft_eur,transfer_lgb_eur,hierarchical_eur,pure15m_catboost_eur,meta_ensemble_eur,meta_ensemble_dkk,actual_settled_imbalance_eur,error_spread_eur,agent_action,status
Q1,2026-09-14 00:00,2026-09-13 22:00,222.2,222.17,215.11,203.22,220.42,210.73,214.35,1599.08,135.65,78.7,SELL Spot,Settled
Q2,2026-09-14 00:15,2026-09-13 22:15,205.81,205.76,198.72,186.83,204.03,193.84,197.86,1476.05,133.27,64.59,SELL Spot,Settled
Q3,2026-09-14 00:30,2026-09-13 22:30,196.02,195.99,188.96,177.04,194.24,183.38,187.95,1402.09,134.54,53.41,SELL Spot,Settled
Q4,2026-09-14 00:45,2026-09-13 22:45,186.87,186.88,179.85,167.89,185.09,174.48,178.86,1334.33,186.87,8.01,SELL Spot,Settled
Q5,2026-09-14 01:00,2026-09-13 23:00,192.12,192.08,185.1,173.14,190.34,179.53,184.07,1373.13,133.16,50.91,SELL Spot,Settled
Q6,2026-09-14 01:15,2026-09-13 23:15,187.52,187.55,180.47,168.54,185.74,174.34,179.35,1337.97,163.4,15.95,SELL Spot,Settled
Q7,2026-09-14 01:30,2026-09-13 23:30,189.4,189.42,182.33,170.42,187.62,175.1,181.01,1350.32,189.4,8.39,SELL Spot,Settled
Q8,2026-09-14 01:45,2026-09-13 23:45,182.61,182.57,175.53,163.63,180.83,167.18,173.98,1297.88,182.61,8.63,SELL Spot,Settled
Q9,2026-09-14 02:00,2026-09-14 00:00,185.44,185.44,178.42,166.46,183.66,171.18,177.06,1320.87,185.44,8.38,SELL Spot,Settled
Q10,2026-09-14 02:15,2026-09-14 00:15,185.06,185.07,178.08,166.08,183.28,170.31,176.59,1317.39,185.06,8.47,SELL Spot,Settled
Q11,2026-09-14 02:30,2026-09-14 00:30,183.48,183.49,176.4,164.5,181.7,168.4,174.93,1304.95,183.98,9.05,SELL Spot,Settled
Q12,2026-09-14 02:45,2026-09-14 00:45,182.76,182.77,175.41,163.78,153.83,158.0,166.73,1243.84,182.76,16.03,SELL Spot,Settled
Q13,2026-09-14 03:00,2026-09-14 01:00,183.47,183.48,176.08,164.49,181.69,167.98,174.77,1303.82,183.47,8.7,SELL Spot,Settled
Q14,2026-09-14 03:15,2026-09-14 01:15,184.17,184.16,176.62,165.19,128.63,156.43,162.12,1209.45,184.17,22.05,SELL Spot,Settled
Q15,2026-09-14 03:30,2026-09-14 01:30,183.81,183.73,175.76,164.83,128.27,158.06,162.04,1208.85,209.61,47.57,SELL Spot,Settled
Q16,2026-09-14 03:45,2026-09-14 01:45,184.05,184.03,175.49,165.07,128.51,155.83,161.71,1206.32,184.05,22.34,SELL Spot,Settled
Q17,2026-09-14 04:00,2026-09-14 02:00,180.26,180.29,171.4,161.28,145.47,160.15,163.68,1221.02,171.91,8.23,SELL Spot,Settled
Q18,2026-09-14 04:15,2026-09-14 02:15,181.22,181.22,171.79,162.24,125.68,155.0,159.1,1186.9,181.22,22.12,SELL Spot,Settled
Q19,2026-09-14 04:30,2026-09-14 02:30,183.48,183.47,172.86,164.5,127.94,155.92,160.86,1199.99,183.48,22.62,SELL Spot,Settled
Q20,2026-09-14 04:45,2026-09-14 02:45,190.13,190.1,178.85,171.15,134.59,164.05,167.67,1250.78,150.48,17.19,SELL Spot,Settled
