quarter,time_dk,spot_price_eur,pred_imbalance_eur,pred_spread_eur,q10_price_eur,q90_price_eur,quantile_range,p_ratio,bid_action,bid_limit_price_eur,bid_volume_mw,status
Q1,2026-09-22 00:00,189.79,195.48,5.69,103.01,285.02,€103.0 - €285.0,13.5% Up / 58.5% Dn,BUY Spot (Long),192.63,1.0,Fixed Pre-Auction Bid
Q2,2026-09-22 00:15,182.89,183.67,0.78,127.07,246.7,€127.1 - €246.7,21.9% Up / 52.2% Dn,HOLD (No Bid),182.89,0.0,Fixed Pre-Auction Bid
Q3,2026-09-22 00:30,176.49,181.38,4.89,119.53,262.62,€119.5 - €262.6,25.4% Up / 49.5% Dn,BUY Spot (Long),178.94,1.8,Fixed Pre-Auction Bid
Q4,2026-09-22 00:45,175.66,180.28,4.62,118.67,265.46,€118.7 - €265.5,27.1% Up / 46.5% Dn,BUY Spot (Long),177.97,2.0,Fixed Pre-Auction Bid
Q5,2026-09-22 01:00,177.13,178.85,1.72,121.06,275.75,€121.1 - €275.8,22.9% Up / 50.8% Dn,BUY Spot (Long),177.99,1.1,Fixed Pre-Auction Bid
Q6,2026-09-22 01:15,174.85,184.02,9.17,121.25,267.53,€121.2 - €267.5,23.0% Up / 49.9% Dn,BUY Spot (Long),179.44,1.8,Fixed Pre-Auction Bid
Q7,2026-09-22 01:30,176.38,180.96,4.58,122.0,251.16,€122.0 - €251.2,22.3% Up / 45.4% Dn,BUY Spot (Long),178.67,1.3,Fixed Pre-Auction Bid
Q8,2026-09-22 01:45,175.42,184.45,9.03,121.04,254.6,€121.0 - €254.6,22.3% Up / 44.7% Dn,BUY Spot (Long),179.93,1.6,Fixed Pre-Auction Bid
Q9,2026-09-22 02:00,175.71,180.63,4.92,122.26,264.92,€122.3 - €264.9,23.4% Up / 41.8% Dn,BUY Spot (Long),178.17,1.5,Fixed Pre-Auction Bid
Q10,2026-09-22 02:15,174.21,184.51,10.3,120.11,264.16,€120.1 - €264.2,24.2% Up / 46.2% Dn,BUY Spot (Long),179.21,2.2,Fixed Pre-Auction Bid
Q11,2026-09-22 02:30,172.2,182.51,10.31,118.54,283.18,€118.5 - €283.2,26.7% Up / 44.9% Dn,BUY Spot (Long),177.2,2.9,Fixed Pre-Auction Bid
Q12,2026-09-22 02:45,171.31,181.67,10.36,117.83,280.7,€117.8 - €280.7,26.0% Up / 43.5% Dn,BUY Spot (Long),176.31,2.7,Fixed Pre-Auction Bid
Q13,2026-09-22 03:00,173.39,176.26,2.87,119.07,279.85,€119.1 - €279.9,25.8% Up / 42.3% Dn,BUY Spot (Long),174.82,1.4,Fixed Pre-Auction Bid
Q14,2026-09-22 03:15,170.74,182.81,12.07,119.51,277.26,€119.5 - €277.3,29.9% Up / 43.0% Dn,BUY Spot (Long),175.74,3.8,Fixed Pre-Auction Bid
Q15,2026-09-22 03:30,170.28,181.44,11.16,118.44,280.71,€118.4 - €280.7,32.7% Up / 39.4% Dn,BUY Spot (Long),175.28,4.6,Fixed Pre-Auction Bid
Q16,2026-09-22 03:45,171.27,175.03,3.76,116.87,276.91,€116.9 - €276.9,24.0% Up / 42.7% Dn,BUY Spot (Long),173.15,1.4,Fixed Pre-Auction Bid
Q17,2026-09-22 04:00,171.77,174.65,2.88,115.36,281.76,€115.4 - €281.8,22.5% Up / 43.1% Dn,BUY Spot (Long),173.21,1.2,Fixed Pre-Auction Bid
Q18,2026-09-22 04:15,171.45,177.02,5.57,114.2,278.46,€114.2 - €278.5,20.8% Up / 46.1% Dn,BUY Spot (Long),174.23,1.1,Fixed Pre-Auction Bid
Q19,2026-09-22 04:30,173.38,176.13,2.75,114.88,277.44,€114.9 - €277.4,20.6% Up / 45.5% Dn,BUY Spot (Long),174.75,1.0,Fixed Pre-Auction Bid
Q20,2026-09-22 04:45,179.77,181.64,1.87,110.4,280.91,€110.4 - €280.9,23.3% Up / 45.2% Dn,BUY Spot (Long),180.71,1.1,Fixed Pre-Auction Bid
Q21,2026-09-22 05:00,166.92,179.28,12.36,97.43,283.48,€97.4 - €283.5,30.8% Up / 44.6% Dn,BUY Spot (Long),171.92,4.0,Fixed Pre-Auction Bid
Q22,2026-09-22 05:15,180.35,182.02,1.67,108.02,276.75,€108.0 - €276.8,25.7% Up / 44.7% Dn,BUY Spot (Long),181.19,1.1,Fixed Pre-Auction Bid
Q23,2026-09-22 05:30,193.07,190.58,-2.49,110.9,290.21,€110.9 - €290.2,25.8% Up / 45.3% Dn,SELL Spot (Short),191.82,2.3,Fixed Pre-Auction Bid
Q24,2026-09-22 05:45,223.21,215.79,-7.42,80.26,301.14,€80.3 - €301.1,25.6% Up / 44.5% Dn,SELL Spot (Short),219.5,7.3,Fixed Pre-Auction Bid
Q25,2026-09-22 06:00,198.08,221.38,23.3,110.97,399.72,€111.0 - €399.7,26.7% Up / 44.6% Dn,BUY Spot (Long),203.08,2.9,Fixed Pre-Auction Bid
Q26,2026-09-22 06:15,224.8,221.27,-3.53,87.54,302.38,€87.5 - €302.4,24.4% Up / 42.3% Dn,SELL Spot (Short),223.04,3.1,Fixed Pre-Auction Bid
Q27,2026-09-22 06:30,252.79,248.52,-4.27,98.06,340.82,€98.1 - €340.8,25.6% Up / 43.5% Dn,SELL Spot (Short),250.66,4.0,Fixed Pre-Auction Bid
Q28,2026-09-22 06:45,278.03,230.19,-47.84,119.8,369.11,€119.8 - €369.1,23.8% Up / 41.3% Dn,SELL Spot (Short),273.03,7.0,Fixed Pre-Auction Bid
Q29,2026-09-22 07:00,292.46,254.09,-38.37,136.52,362.08,€136.5 - €362.1,23.0% Up / 44.6% Dn,SELL Spot (Short),287.46,7.9,Fixed Pre-Auction Bid
Q30,2026-09-22 07:15,305.04,271.24,-33.8,91.0,371.94,€91.0 - €371.9,23.3% Up / 45.0% Dn,SELL Spot (Short),300.04,8.0,Fixed Pre-Auction Bid
Q31,2026-09-22 07:30,295.67,298.78,3.11,112.55,407.94,€112.5 - €407.9,27.6% Up / 40.3% Dn,BUY Spot (Long),297.23,1.6,Fixed Pre-Auction Bid
Q32,2026-09-22 07:45,277.77,272.18,-5.59,146.25,388.28,€146.2 - €388.3,24.0% Up / 46.8% Dn,SELL Spot (Short),274.97,5.8,Fixed Pre-Auction Bid
Q33,2026-09-22 08:00,282.29,266.31,-15.98,139.35,384.47,€139.3 - €384.5,23.8% Up / 48.1% Dn,SELL Spot (Short),277.29,8.9,Fixed Pre-Auction Bid
Q34,2026-09-22 08:15,268.06,258.92,-9.14,144.21,382.87,€144.2 - €382.9,24.0% Up / 49.1% Dn,SELL Spot (Short),263.49,9.2,Fixed Pre-Auction Bid
Q35,2026-09-22 08:30,240.76,228.87,-11.89,121.05,347.98,€121.0 - €348.0,26.0% Up / 52.3% Dn,SELL Spot (Short),235.76,9.7,Fixed Pre-Auction Bid
Q36,2026-09-22 08:45,204.98,173.56,-31.42,107.27,288.39,€107.3 - €288.4,13.9% Up / 62.3% Dn,SELL Spot (Short),199.98,10.8,Fixed Pre-Auction Bid
Q37,2026-09-22 09:00,247.25,247.07,-0.18,125.57,341.24,€125.6 - €341.2,25.4% Up / 50.5% Dn,HOLD (No Bid),247.25,0.0,Fixed Pre-Auction Bid
