quarter,time_dk,spot_price_eur,pred_imbalance_eur,pred_spread_eur,q10_price_eur,q90_price_eur,quantile_range,p_ratio,bid_action,bid_limit_price_eur,bid_volume_mw,status
Q1,2026-09-23 00:00,194.5,203.32,8.82,94.12,311.56,€94.1 - €311.6,15.8% Up / 54.8% Dn,BUY Spot (Long),198.91,1.0,Fixed Pre-Auction Bid
Q2,2026-09-23 00:15,188.53,189.43,0.9,129.74,258.08,€129.7 - €258.1,20.7% Up / 50.4% Dn,HOLD (No Bid),188.53,0.0,Fixed Pre-Auction Bid
Q3,2026-09-23 00:30,190.19,188.44,-1.75,132.01,263.26,€132.0 - €263.3,22.9% Up / 43.2% Dn,SELL Spot (Short),189.31,1.5,Fixed Pre-Auction Bid
Q4,2026-09-23 00:45,182.04,188.44,6.4,121.82,259.88,€121.8 - €259.9,21.6% Up / 47.3% Dn,BUY Spot (Long),185.24,1.3,Fixed Pre-Auction Bid
Q5,2026-09-23 01:00,181.58,185.48,3.9,121.41,270.93,€121.4 - €270.9,22.7% Up / 46.4% Dn,BUY Spot (Long),183.53,1.3,Fixed Pre-Auction Bid
Q6,2026-09-23 01:15,174.9,183.97,9.07,114.19,293.69,€114.2 - €293.7,30.4% Up / 42.8% Dn,BUY Spot (Long),179.44,3.9,Fixed Pre-Auction Bid
Q7,2026-09-23 01:30,173.68,184.59,10.91,110.77,293.49,€110.8 - €293.5,31.2% Up / 42.1% Dn,BUY Spot (Long),178.68,4.1,Fixed Pre-Auction Bid
Q8,2026-09-23 01:45,178.89,184.72,5.83,120.95,301.93,€121.0 - €301.9,29.5% Up / 41.5% Dn,BUY Spot (Long),181.8,2.8,Fixed Pre-Auction Bid
Q9,2026-09-23 02:00,174.52,190.78,16.26,116.82,309.86,€116.8 - €309.9,33.3% Up / 42.0% Dn,BUY Spot (Long),179.52,4.7,Fixed Pre-Auction Bid
Q10,2026-09-23 02:15,171.09,185.76,14.67,113.54,282.0,€113.5 - €282.0,30.5% Up / 41.8% Dn,BUY Spot (Long),176.09,3.9,Fixed Pre-Auction Bid
Q11,2026-09-23 02:30,176.9,183.2,6.3,117.34,292.84,€117.3 - €292.8,31.1% Up / 41.5% Dn,BUY Spot (Long),180.05,3.3,Fixed Pre-Auction Bid
Q12,2026-09-23 02:45,182.51,182.13,-0.38,120.53,269.67,€120.5 - €269.7,25.9% Up / 45.0% Dn,HOLD (No Bid),182.51,0.0,Fixed Pre-Auction Bid
Q13,2026-09-23 03:00,176.04,184.82,8.78,116.02,266.89,€116.0 - €266.9,24.4% Up / 46.7% Dn,BUY Spot (Long),180.43,2.2,Fixed Pre-Auction Bid
Q14,2026-09-23 03:15,177.93,180.04,2.11,118.53,259.52,€118.5 - €259.5,22.0% Up / 42.6% Dn,BUY Spot (Long),178.99,1.1,Fixed Pre-Auction Bid
Q15,2026-09-23 03:30,178.12,181.6,3.48,120.2,272.08,€120.2 - €272.1,24.6% Up / 42.2% Dn,BUY Spot (Long),179.86,1.4,Fixed Pre-Auction Bid
Q16,2026-09-23 03:45,173.09,181.41,8.32,112.69,280.81,€112.7 - €280.8,25.9% Up / 45.0% Dn,BUY Spot (Long),177.25,2.7,Fixed Pre-Auction Bid
Q17,2026-09-23 04:00,172.74,181.44,8.7,104.28,283.02,€104.3 - €283.0,26.5% Up / 41.4% Dn,BUY Spot (Long),177.09,2.8,Fixed Pre-Auction Bid
Q18,2026-09-23 04:15,177.55,179.54,1.99,114.03,272.73,€114.0 - €272.7,23.5% Up / 43.8% Dn,BUY Spot (Long),178.55,1.1,Fixed Pre-Auction Bid
Q19,2026-09-23 04:30,177.81,184.49,6.68,115.58,278.73,€115.6 - €278.7,24.2% Up / 40.9% Dn,BUY Spot (Long),181.15,1.9,Fixed Pre-Auction Bid
Q20,2026-09-23 04:45,173.62,181.51,7.89,107.47,281.89,€107.5 - €281.9,22.0% Up / 47.4% Dn,BUY Spot (Long),177.56,1.6,Fixed Pre-Auction Bid
Q21,2026-09-23 05:00,171.34,182.58,11.24,103.66,296.08,€103.7 - €296.1,25.5% Up / 43.7% Dn,BUY Spot (Long),176.34,2.5,Fixed Pre-Auction Bid
Q22,2026-09-23 05:15,188.57,182.32,-6.25,111.78,273.17,€111.8 - €273.2,23.2% Up / 42.1% Dn,SELL Spot (Short),185.44,5.6,Fixed Pre-Auction Bid
Q23,2026-09-23 05:30,203.79,216.65,12.86,109.29,291.8,€109.3 - €291.8,23.0% Up / 46.8% Dn,BUY Spot (Long),208.79,1.8,Fixed Pre-Auction Bid
Q24,2026-09-23 05:45,235.17,194.79,-40.38,66.13,309.88,€66.1 - €309.9,21.8% Up / 45.5% Dn,SELL Spot (Short),230.17,8.1,Fixed Pre-Auction Bid
Q25,2026-09-23 06:00,242.95,193.5,-49.45,100.32,327.98,€100.3 - €328.0,24.5% Up / 45.6% Dn,SELL Spot (Short),237.95,8.2,Fixed Pre-Auction Bid
Q26,2026-09-23 06:15,268.88,208.14,-60.74,97.86,354.96,€97.9 - €355.0,22.6% Up / 42.0% Dn,SELL Spot (Short),263.88,7.2,Fixed Pre-Auction Bid
Q27,2026-09-23 06:30,372.7,280.23,-92.47,92.66,435.88,€92.7 - €435.9,16.2% Up / 57.0% Dn,SELL Spot (Short),367.7,10.2,Fixed Pre-Auction Bid
Q28,2026-09-23 06:45,365.23,293.86,-71.37,120.31,459.66,€120.3 - €459.7,28.6% Up / 37.1% Dn,SELL Spot (Short),360.23,5.8,Fixed Pre-Auction Bid
Q29,2026-09-23 07:00,388.68,309.26,-79.42,147.38,474.18,€147.4 - €474.2,23.8% Up / 41.3% Dn,SELL Spot (Short),383.68,7.0,Fixed Pre-Auction Bid
Q30,2026-09-23 07:15,402.9,350.69,-52.21,159.99,497.53,€160.0 - €497.5,24.1% Up / 41.8% Dn,SELL Spot (Short),397.9,7.1,Fixed Pre-Auction Bid
