quarter,time_dk,spot_price_eur,pred_imbalance_eur,pred_spread_eur,q10_price_eur,q90_price_eur,quantile_range,p_ratio,bid_action,bid_limit_price_eur,bid_volume_mw,status
Q1,2026-09-15 00:00,219.58,213.55,-6.03,120.09,340.33,€120.1 - €340.3,19.0% Up / 51.5% Dn,SELL Spot (Short),216.57,7.1,Fixed Pre-Auction Bid
Q2,2026-09-15 00:15,217.66,221.54,3.88,155.72,313.87,€155.7 - €313.9,25.0% Up / 47.7% Dn,BUY Spot (Long),219.6,1.6,Fixed Pre-Auction Bid
Q3,2026-09-15 00:30,205.81,213.8,7.99,142.07,303.42,€142.1 - €303.4,27.8% Up / 44.0% Dn,BUY Spot (Long),209.81,3.2,Fixed Pre-Auction Bid
Q4,2026-09-15 00:45,192.14,204.54,12.4,115.22,287.12,€115.2 - €287.1,26.8% Up / 46.6% Dn,BUY Spot (Long),197.14,2.9,Fixed Pre-Auction Bid
Q5,2026-09-15 01:00,211.24,208.7,-2.54,122.2,300.33,€122.2 - €300.3,21.0% Up / 50.8% Dn,SELL Spot (Short),209.97,2.7,Fixed Pre-Auction Bid
Q6,2026-09-15 01:15,198.43,209.41,10.98,126.5,298.83,€126.5 - €298.8,23.5% Up / 46.0% Dn,BUY Spot (Long),203.43,2.0,Fixed Pre-Auction Bid
Q7,2026-09-15 01:30,194.29,206.8,12.51,125.34,291.59,€125.3 - €291.6,24.6% Up / 45.4% Dn,BUY Spot (Long),199.29,2.3,Fixed Pre-Auction Bid
Q8,2026-09-15 01:45,188.1,201.37,13.27,113.85,281.7,€113.8 - €281.7,27.8% Up / 43.2% Dn,BUY Spot (Long),193.1,3.2,Fixed Pre-Auction Bid
Q9,2026-09-15 02:00,189.9,201.04,11.14,121.93,290.32,€121.9 - €290.3,24.3% Up / 46.4% Dn,BUY Spot (Long),194.9,2.2,Fixed Pre-Auction Bid
Q10,2026-09-15 02:15,187.21,203.58,16.37,122.83,293.23,€122.8 - €293.2,26.6% Up / 43.9% Dn,BUY Spot (Long),192.21,2.8,Fixed Pre-Auction Bid
Q11,2026-09-15 02:30,188.36,200.0,11.64,125.02,295.34,€125.0 - €295.3,29.8% Up / 41.6% Dn,BUY Spot (Long),193.36,3.7,Fixed Pre-Auction Bid
Q12,2026-09-15 02:45,187.72,201.4,13.68,123.4,292.43,€123.4 - €292.4,32.2% Up / 40.5% Dn,BUY Spot (Long),192.72,4.4,Fixed Pre-Auction Bid
Q13,2026-09-15 03:00,185.3,193.56,8.26,121.07,297.02,€121.1 - €297.0,30.7% Up / 41.1% Dn,BUY Spot (Long),189.43,4.0,Fixed Pre-Auction Bid
Q14,2026-09-15 03:15,185.99,195.11,9.12,126.84,299.12,€126.8 - €299.1,32.6% Up / 38.8% Dn,BUY Spot (Long),190.55,4.5,Fixed Pre-Auction Bid
Q15,2026-09-15 03:30,187.33,192.04,4.71,129.04,300.03,€129.0 - €300.0,31.8% Up / 40.5% Dn,BUY Spot (Long),189.69,2.7,Fixed Pre-Auction Bid
Q16,2026-09-15 03:45,184.0,194.28,10.28,125.0,298.67,€125.0 - €298.7,32.2% Up / 40.4% Dn,BUY Spot (Long),189.0,4.4,Fixed Pre-Auction Bid
Q17,2026-09-15 04:00,184.06,188.6,4.54,120.09,311.07,€120.1 - €311.1,26.6% Up / 40.8% Dn,BUY Spot (Long),186.33,1.9,Fixed Pre-Auction Bid
Q18,2026-09-15 04:15,184.3,187.53,3.23,123.04,312.76,€123.0 - €312.8,25.5% Up / 40.2% Dn,BUY Spot (Long),185.92,1.5,Fixed Pre-Auction Bid
