quarter,time_dk,time_utc,spot_price_eur,deep_bilstm_eur,transformer_tft_eur,transfer_lgb_eur,hierarchical_eur,pure15m_catboost_eur,meta_ensemble_eur,meta_ensemble_dkk,actual_settled_imbalance_eur,error_spread_eur,agent_action,status
Q1,2026-09-15 00:00,2026-09-14 22:00,221.88,221.88,218.64,200.88,207.38,199.18,209.52,1562.99,221.88,12.36,SELL Spot,Settled
Q2,2026-09-15 00:15,2026-09-14 22:15,217.47,217.49,214.34,196.47,202.97,195.15,205.21,1530.83,217.47,12.26,SELL Spot,Settled
Q3,2026-09-15 00:30,2026-09-14 22:30,205.62,205.63,202.41,184.62,191.12,183.68,193.41,1442.87,205.62,12.21,SELL Spot,Settled
Q4,2026-09-15 00:45,2026-09-14 22:45,192.09,192.04,188.93,171.09,177.59,169.34,179.72,1340.73,192.09,12.37,SELL Spot,Settled
Q5,2026-09-15 01:00,2026-09-14 23:00,211.21,211.21,208.11,190.21,196.71,189.87,199.14,1485.62,211.21,12.07,SELL Spot,Settled
Q6,2026-09-15 01:15,2026-09-14 23:15,198.43,198.47,195.29,177.43,183.93,176.75,186.3,1389.77,137.0,49.3,SELL Spot,Settled
Q7,2026-09-15 01:30,2026-09-14 23:30,194.3,194.26,191.14,173.3,179.8,172.83,182.19,1359.12,141.13,41.06,SELL Spot,Settled
Q8,2026-09-15 01:45,2026-09-14 23:45,188.11,188.09,185.1,167.11,173.61,166.93,176.09,1313.63,188.11,12.02,SELL Spot,Settled
Q9,2026-09-15 02:00,2026-09-15 00:00,189.91,189.83,186.85,168.91,175.41,169.06,177.93,1327.38,144.93,33.0,SELL Spot,Settled
Q10,2026-09-15 02:15,2026-09-15 00:15,187.1,187.12,184.05,166.1,172.6,165.58,175.01,1305.58,132.78,42.23,SELL Spot,Settled
Q11,2026-09-15 02:30,2026-09-15 00:30,188.14,188.08,185.1,167.14,173.64,166.26,175.97,1312.71,131.1,44.87,SELL Spot,Settled
Q12,2026-09-15 02:45,2026-09-15 00:45,187.5,187.5,184.59,166.5,173.0,165.52,175.34,1308.07,151.09,24.25,SELL Spot,Settled
Q13,2026-09-15 03:00,2026-09-15 01:00,185.3,185.36,182.24,164.3,170.8,162.1,172.88,1289.71,134.82,38.06,SELL Spot,Settled
Q14,2026-09-15 03:15,2026-09-15 01:15,185.97,185.92,182.89,164.97,171.47,161.55,173.29,1292.73,185.97,12.68,SELL Spot,Settled
Q15,2026-09-15 03:30,2026-09-15 01:30,187.34,187.28,183.94,166.34,172.44,162.95,174.51,1301.88,187.34,12.83,SELL Spot,Settled
Q16,2026-09-15 03:45,2026-09-15 01:45,183.95,183.96,180.15,162.95,173.29,160.61,172.16,1284.34,136.14,36.02,SELL Spot,Settled
Q17,2026-09-15 04:00,2026-09-15 02:00,184.06,184.06,180.73,163.06,173.4,161.08,172.43,1286.34,184.06,11.63,SELL Spot,Settled
Q18,2026-09-15 04:15,2026-09-15 02:15,184.3,184.31,181.01,163.3,169.4,158.83,171.3,1277.86,184.3,13.0,SELL Spot,Settled
Q19,2026-09-15 04:30,2026-09-15 02:30,184.52,184.56,181.04,163.52,178.25,158.15,173.13,1291.55,184.52,11.39,SELL Spot,Settled
Q20,2026-09-15 04:45,2026-09-15 02:45,181.31,181.28,176.98,160.31,175.04,156.04,169.96,1267.88,181.31,11.35,SELL Spot,Settled
Q21,2026-09-15 05:00,2026-09-15 03:00,184.38,184.32,180.26,163.38,178.11,158.69,172.98,1290.42,184.38,11.4,SELL Spot,Settled
Q22,2026-09-15 05:15,2026-09-15 03:15,186.91,186.95,182.42,165.91,180.64,158.44,174.91,1304.8,186.91,12.0,SELL Spot,Settled
Q23,2026-09-15 05:30,2026-09-15 03:30,199.06,199.07,195.38,178.06,195.79,169.04,187.53,1398.99,199.06,11.53,SELL Spot,Settled
Q24,2026-09-15 05:45,2026-09-15 03:45,216.16,216.16,212.46,195.16,212.89,189.63,205.32,1531.69,216.16,10.84,SELL Spot,Settled
Q25,2026-09-15 06:00,2026-09-15 04:00,214.09,214.06,209.31,193.09,207.82,184.27,201.75,1505.03,214.09,12.34,SELL Spot,Settled
Q26,2026-09-15 06:15,2026-09-15 04:15,211.12,211.12,207.53,190.12,196.06,189.8,198.84,1483.36,211.12,12.28,SELL Spot,Settled
Q27,2026-09-15 06:30,2026-09-15 04:30,213.57,213.56,210.11,192.57,198.51,194.72,201.81,1505.48,213.57,11.76,SELL Spot,Settled
Q28,2026-09-15 06:45,2026-09-15 04:45,239.75,239.74,236.69,218.75,217.1,214.77,225.25,1680.34,239.75,14.5,SELL Spot,Settled
Q29,2026-09-15 07:00,2026-09-15 05:00,247.76,247.72,243.22,226.76,232.7,228.48,235.69,1758.28,247.76,12.07,SELL Spot,Settled
Q30,2026-09-15 07:15,2026-09-15 05:15,262.54,262.57,259.27,241.54,247.48,238.92,249.88,1864.08,193.63,56.25,SELL Spot,Settled
Q31,2026-09-15 07:30,2026-09-15 05:30,250.02,249.98,247.2,229.02,232.05,228.03,237.14,1769.05,250.02,12.88,SELL Spot,Settled
Q32,2026-09-15 07:45,2026-09-15 05:45,241.01,241.02,238.52,220.01,223.04,220.47,228.49,1704.52,244.72,16.23,SELL Spot,Settled
Q33,2026-09-15 08:00,2026-09-15 06:00,267.95,267.95,264.31,246.95,249.98,247.05,255.13,1903.28,267.95,12.82,SELL Spot,Settled
Q34,2026-09-15 08:15,2026-09-15 06:15,241.46,241.38,239.08,220.46,223.49,220.55,228.87,1707.37,241.46,12.59,SELL Spot,Settled
Q35,2026-09-15 08:30,2026-09-15 06:30,225.0,225.07,222.9,204.0,207.03,204.16,212.51,1585.31,225.0,12.49,SELL Spot,Settled
Q36,2026-09-15 08:45,2026-09-15 06:45,197.88,197.86,196.33,176.88,179.91,177.04,185.48,1383.66,197.88,12.4,SELL Spot,Settled
Q37,2026-09-15 09:00,2026-09-15 07:00,227.5,227.51,225.45,206.5,209.53,206.31,214.94,1603.43,227.5,12.56,SELL Spot,Settled
Q38,2026-09-15 09:15,2026-09-15 07:15,212.62,212.6,210.82,191.62,194.65,191.78,200.17,1493.27,212.62,12.45,SELL Spot,Settled
Q39,2026-09-15 09:30,2026-09-15 07:30,188.75,188.73,187.51,167.75,170.78,167.91,176.41,1316.02,188.75,12.34,SELL Spot,Settled
Q40,2026-09-15 09:45,2026-09-15 07:45,155.18,155.13,154.09,134.18,137.21,134.34,142.86,1065.75,83.43,59.43,SELL Spot,Settled
Q41,2026-09-15 10:00,2026-09-15 08:00,181.17,181.23,179.49,160.17,163.2,159.98,168.69,1258.41,181.17,12.48,SELL Spot,Settled
Q42,2026-09-15 10:15,2026-09-15 08:15,160.25,160.26,159.42,139.25,142.28,139.41,148.0,1104.05,160.25,12.25,SELL Spot,Settled
Q43,2026-09-15 10:30,2026-09-15 08:30,130.38,130.49,129.76,109.38,112.41,107.17,117.72,878.16,130.38,12.66,SELL Spot,Settled
Q44,2026-09-15 10:45,2026-09-15 08:45,112.06,112.01,111.69,91.06,103.84,91.82,102.06,761.36,28.71,73.35,SELL Spot,Settled
Q45,2026-09-15 11:00,2026-09-15 09:00,122.17,122.19,121.67,101.17,104.2,98.73,109.47,816.62,4.13,105.34,SELL Spot,Settled
Q46,2026-09-15 11:15,2026-09-15 09:15,87.92,87.92,87.52,66.92,79.7,67.38,77.86,580.87,17.16,60.7,SELL Spot,Settled
Q47,2026-09-15 11:30,2026-09-15 09:30,67.84,67.87,67.46,46.84,59.62,48.04,57.94,432.24,15.0,42.94,SELL Spot,Settled
Q48,2026-09-15 11:45,2026-09-15 09:45,35.79,35.82,35.35,14.79,27.57,15.85,25.85,192.85,0.0,25.85,SELL Spot,Settled
Q49,2026-09-15 12:00,2026-09-15 10:00,58.17,58.21,57.7,37.17,48.48,37.58,47.79,356.51,58.17,10.38,SELL Spot,Settled
Q50,2026-09-15 12:15,2026-09-15 10:15,43.45,43.5,42.75,22.45,28.95,18.13,31.07,231.82,2.92,28.15,SELL Spot,Settled
Q51,2026-09-15 12:30,2026-09-15 10:30,36.46,36.43,35.77,15.46,-8.86,12.97,17.93,133.73,12.16,5.77,SELL Spot,Settled
Q52,2026-09-15 12:45,2026-09-15 10:45,37.4,37.45,36.59,16.4,-7.92,15.18,19.11,142.56,8.0,11.11,SELL Spot,Settled
Q53,2026-09-15 13:00,2026-09-15 11:00,37.28,37.22,36.61,16.28,28.01,12.59,26.12,194.83,12.98,13.14,SELL Spot,Settled
Q54,2026-09-15 13:15,2026-09-15 11:15,34.85,34.83,33.36,13.85,30.39,15.85,25.68,191.55,13.37,12.31,SELL Spot,Settled
Q55,2026-09-15 13:30,2026-09-15 11:30,33.95,33.89,31.89,12.95,26.07,13.82,23.71,176.89,33.95,10.24,SELL Spot,Settled
Q56,2026-09-15 13:45,2026-09-15 11:45,31.0,30.96,28.61,10.0,23.12,10.52,20.63,153.91,31.0,10.37,SELL Spot,Settled
Q57,2026-09-15 14:00,2026-09-15 12:00,31.53,31.57,30.76,10.53,25.63,9.75,21.65,161.53,5.0,16.65,SELL Spot,Settled
Q58,2026-09-15 14:15,2026-09-15 12:15,42.53,42.48,39.97,21.53,10.71,21.39,26.94,201.0,20.33,6.61,SELL Spot,Settled
Q59,2026-09-15 14:30,2026-09-15 12:30,50.7,50.72,47.65,29.7,18.88,28.63,34.85,259.95,16.53,18.32,SELL Spot,Settled
Q60,2026-09-15 14:45,2026-09-15 12:45,61.51,61.46,57.64,40.51,24.59,38.93,44.31,330.53,-12.97,57.28,SELL Spot,Settled
Q61,2026-09-15 15:00,2026-09-15 13:00,62.01,61.92,60.55,41.01,32.17,39.66,46.81,349.19,9.1,37.71,SELL Spot,Settled
Q62,2026-09-15 15:15,2026-09-15 13:15,89.83,89.83,85.83,68.83,52.91,67.21,72.6,541.62,43.63,28.97,SELL Spot,Settled
Q63,2026-09-15 15:30,2026-09-15 13:30,120.98,120.98,117.04,99.98,92.58,97.73,105.44,786.56,-22.5,127.94,SELL Spot,Settled
Q64,2026-09-15 15:45,2026-09-15 13:45,142.95,142.94,138.86,121.95,72.25,116.65,117.84,879.1,12.98,104.86,SELL Spot,Settled
Q65,2026-09-15 16:00,2026-09-15 14:00,104.73,104.74,102.18,83.73,24.97,80.34,78.39,584.82,104.73,26.34,SELL Spot,Settled
Q66,2026-09-15 16:15,2026-09-15 14:15,140.54,140.57,136.72,119.54,60.78,112.2,113.18,844.3,40.63,72.55,SELL Spot,Settled
Q67,2026-09-15 16:30,2026-09-15 14:30,171.08,171.03,166.82,150.08,91.32,139.12,142.9,1066.02,32.42,110.48,SELL Spot,Settled
Q68,2026-09-15 16:45,2026-09-15 14:45,206.37,206.43,201.48,185.37,126.61,172.7,177.75,1326.0,206.37,28.62,SELL Spot,Settled
Q69,2026-09-15 17:00,2026-09-15 15:00,167.62,167.64,163.16,146.62,87.86,126.81,137.66,1026.94,167.62,29.96,SELL Spot,Settled
Q70,2026-09-15 17:15,2026-09-15 15:15,209.5,209.48,204.44,188.5,129.74,166.83,179.05,1335.69,13.36,165.69,SELL Spot,Settled
Q71,2026-09-15 17:30,2026-09-15 15:30,228.7,228.74,224.09,207.7,148.94,179.53,197.06,1470.06,115.63,81.43,SELL Spot,Settled
Q72,2026-09-15 17:45,2026-09-15 15:45,244.92,245.02,240.59,223.92,165.16,194.6,213.12,1589.86,79.34,133.78,SELL Spot,Settled
Q73,2026-09-15 18:00,2026-09-15 16:00,215.81,215.84,212.08,194.81,136.05,166.63,184.34,1375.17,45.71,138.63,SELL Spot,Settled
Q74,2026-09-15 18:15,2026-09-15 16:15,231.2,231.14,227.81,210.2,151.44,199.45,203.23,1516.1,89.5,113.73,SELL Spot,Settled
Q75,2026-09-15 18:30,2026-09-15 16:30,251.43,251.44,247.87,230.43,171.67,225.18,224.53,1674.97,251.43,26.9,SELL Spot,Settled
Q76,2026-09-15 18:45,2026-09-15 16:45,280.2,280.23,276.84,259.2,200.44,259.43,254.42,1898.01,280.2,25.78,SELL Spot,Settled
Q77,2026-09-15 19:00,2026-09-15 17:00,280.81,280.84,277.69,259.81,201.05,259.03,254.88,1901.42,280.81,25.93,SELL Spot,Settled
