quarter,time_dk,time_utc,spot_price_eur,deep_bilstm_eur,transformer_tft_eur,transfer_lgb_eur,hierarchical_eur,pure15m_catboost_eur,meta_ensemble_eur,meta_ensemble_dkk,actual_settled_imbalance_eur,error_spread_eur,agent_action,status
Q1,2026-09-17 00:00,2026-09-16 22:00,181.7,181.7,177.82,171.77,209.68,217.39,189.73,1415.41,181.7,8.03,BUY Spot,Settled
Q2,2026-09-17 00:15,2026-09-16 22:15,168.21,168.21,164.32,158.28,196.19,203.17,176.1,1313.68,168.21,7.89,BUY Spot,Settled
Q3,2026-09-17 00:30,2026-09-16 22:30,166.94,166.91,163.04,157.01,299.63,205.92,190.99,1424.8,314.37,123.38,BUY Spot,Settled
Q4,2026-09-17 00:45,2026-09-16 22:45,165.56,165.55,161.68,155.63,193.54,198.55,173.07,1291.08,167.91,5.16,BUY Spot,Settled
Q5,2026-09-17 01:00,2026-09-16 23:00,164.75,164.73,160.95,154.82,297.44,185.16,185.23,1381.85,173.7,11.53,BUY Spot,Settled
Q6,2026-09-17 01:15,2026-09-16 23:15,164.14,164.12,160.51,154.21,192.12,194.04,171.1,1276.43,164.14,6.96,BUY Spot,Settled
Q7,2026-09-17 01:30,2026-09-16 23:30,163.85,163.86,160.19,153.92,191.83,193.88,170.84,1274.45,163.85,6.99,BUY Spot,Settled
Q8,2026-09-17 01:45,2026-09-16 23:45,163.22,163.23,159.55,153.29,191.2,189.46,169.47,1264.28,320.93,151.46,BUY Spot,Settled
Q9,2026-09-17 02:00,2026-09-17 00:00,162.1,162.07,158.31,152.17,190.08,186.41,167.95,1252.88,190.0,22.05,BUY Spot,Settled
Q10,2026-09-17 02:15,2026-09-17 00:15,161.86,161.82,158.05,151.93,189.84,177.86,166.09,1239.03,161.86,4.23,BUY Spot,Settled
Q11,2026-09-17 02:30,2026-09-17 00:30,161.0,161.03,157.09,151.07,188.98,171.34,164.13,1224.44,161.0,3.13,BUY Spot,Settled
Q12,2026-09-17 02:45,2026-09-17 00:45,160.98,161.0,156.93,151.05,188.96,164.52,162.76,1214.2,160.98,1.78,BUY Spot,Settled
Q13,2026-09-17 03:00,2026-09-17 01:00,155.27,155.28,151.26,145.34,287.96,154.6,171.64,1280.45,155.27,16.37,BUY Spot,Settled
