quarter,time_dk,spot_price_eur,pred_imbalance_eur,pred_spread_eur,q10_price_eur,q90_price_eur,quantile_range,p_ratio,bid_action,bid_limit_price_eur,bid_volume_mw,status
Q1,2026-09-21 00:00,11.39,20.53,9.14,-31.78,75.4,€-31.8 - €75.4,19.2% Up / 70.6% Dn,BUY Spot (Long),15.96,1.0,Fixed Pre-Auction Bid
Q2,2026-09-21 00:15,13.14,6.7,-6.44,-28.19,54.2,€-28.2 - €54.2,21.9% Up / 61.1% Dn,SELL Spot (Short),9.92,8.4,Fixed Pre-Auction Bid
Q3,2026-09-21 00:30,10.46,6.46,-4.0,-30.31,52.26,€-30.3 - €52.3,21.3% Up / 58.3% Dn,SELL Spot (Short),8.46,4.8,Fixed Pre-Auction Bid
Q4,2026-09-21 00:45,8.88,5.77,-3.11,-31.77,53.79,€-31.8 - €53.8,21.7% Up / 57.6% Dn,SELL Spot (Short),7.33,3.6,Fixed Pre-Auction Bid
Q5,2026-09-21 01:00,10.12,5.49,-4.63,-30.86,53.34,€-30.9 - €53.3,23.1% Up / 56.6% Dn,SELL Spot (Short),7.8,5.6,Fixed Pre-Auction Bid
Q6,2026-09-21 01:15,9.71,3.5,-6.21,-33.53,60.17,€-33.5 - €60.2,30.3% Up / 41.5% Dn,SELL Spot (Short),6.61,5.4,Fixed Pre-Auction Bid
Q7,2026-09-21 01:30,10.01,4.81,-5.2,-31.11,47.89,€-31.1 - €47.9,29.8% Up / 41.5% Dn,SELL Spot (Short),7.41,4.5,Fixed Pre-Auction Bid
Q8,2026-09-21 01:45,9.7,3.58,-6.12,-30.89,45.38,€-30.9 - €45.4,34.8% Up / 38.3% Dn,SELL Spot (Short),6.64,4.7,Fixed Pre-Auction Bid
Q9,2026-09-21 02:00,8.3,4.0,-4.3,-35.12,44.71,€-35.1 - €44.7,30.8% Up / 40.8% Dn,SELL Spot (Short),6.15,3.7,Fixed Pre-Auction Bid
Q10,2026-09-21 02:15,7.51,2.41,-5.1,-33.25,47.03,€-33.2 - €47.0,29.7% Up / 44.1% Dn,SELL Spot (Short),4.96,4.9,Fixed Pre-Auction Bid
Q11,2026-09-21 02:30,9.7,3.58,-6.12,-31.56,51.91,€-31.6 - €51.9,27.6% Up / 46.3% Dn,SELL Spot (Short),6.64,6.3,Fixed Pre-Auction Bid
Q12,2026-09-21 02:45,9.82,2.38,-7.44,-31.74,54.01,€-31.7 - €54.0,28.7% Up / 49.4% Dn,SELL Spot (Short),6.1,8.6,Fixed Pre-Auction Bid
Q13,2026-09-21 03:00,9.41,2.6,-6.81,-31.63,48.4,€-31.6 - €48.4,27.6% Up / 44.5% Dn,SELL Spot (Short),6.01,6.7,Fixed Pre-Auction Bid
Q14,2026-09-21 03:15,9.71,1.32,-8.39,-34.28,51.5,€-34.3 - €51.5,31.3% Up / 44.4% Dn,SELL Spot (Short),5.52,7.8,Fixed Pre-Auction Bid
Q15,2026-09-21 03:30,10.1,2.04,-8.06,-31.43,53.38,€-31.4 - €53.4,31.9% Up / 42.6% Dn,SELL Spot (Short),6.07,7.3,Fixed Pre-Auction Bid
Q16,2026-09-21 03:45,10.51,2.47,-8.04,-31.02,53.43,€-31.0 - €53.4,26.9% Up / 48.7% Dn,SELL Spot (Short),6.49,9.0,Fixed Pre-Auction Bid
Q17,2026-09-21 04:00,7.87,0.79,-7.08,-36.43,37.17,€-36.4 - €37.2,27.7% Up / 45.2% Dn,SELL Spot (Short),4.33,7.1,Fixed Pre-Auction Bid
Q18,2026-09-21 04:15,9.71,0.03,-9.68,-31.92,30.8,€-31.9 - €30.8,25.3% Up / 51.2% Dn,SELL Spot (Short),4.87,9.5,Fixed Pre-Auction Bid
Q19,2026-09-21 04:30,15.41,2.27,-13.14,-32.54,46.15,€-32.5 - €46.1,22.4% Up / 59.3% Dn,SELL Spot (Short),10.41,10.4,Fixed Pre-Auction Bid
Q20,2026-09-21 04:45,21.03,10.22,-10.81,-26.44,65.62,€-26.4 - €65.6,24.8% Up / 57.2% Dn,SELL Spot (Short),16.03,10.2,Fixed Pre-Auction Bid
Q21,2026-09-21 05:00,15.2,3.89,-11.31,-23.67,55.15,€-23.7 - €55.1,21.2% Up / 57.4% Dn,SELL Spot (Short),10.2,10.2,Fixed Pre-Auction Bid
Q22,2026-09-21 05:15,24.19,9.99,-14.2,-24.1,69.98,€-24.1 - €70.0,23.8% Up / 58.5% Dn,SELL Spot (Short),19.19,10.4,Fixed Pre-Auction Bid
Q23,2026-09-21 05:30,32.96,26.29,-6.67,-20.95,91.94,€-20.9 - €91.9,24.9% Up / 57.7% Dn,SELL Spot (Short),29.62,8.4,Fixed Pre-Auction Bid
Q24,2026-09-21 05:45,49.98,40.52,-9.46,-27.34,141.96,€-27.3 - €142.0,23.9% Up / 59.8% Dn,SELL Spot (Short),45.25,10.5,Fixed Pre-Auction Bid
Q25,2026-09-21 06:00,58.01,45.7,-12.31,-22.41,144.69,€-22.4 - €144.7,24.8% Up / 58.0% Dn,SELL Spot (Short),53.01,10.3,Fixed Pre-Auction Bid
Q26,2026-09-21 06:15,90.29,73.24,-17.05,-23.48,165.81,€-23.5 - €165.8,21.4% Up / 64.4% Dn,SELL Spot (Short),85.29,11.0,Fixed Pre-Auction Bid
Q27,2026-09-21 06:30,107.0,94.64,-12.36,-4.1,167.3,€-4.1 - €167.3,20.9% Up / 63.3% Dn,SELL Spot (Short),102.0,10.9,Fixed Pre-Auction Bid
Q28,2026-09-21 06:45,114.3,126.39,12.09,7.53,181.22,€7.5 - €181.2,22.7% Up / 61.2% Dn,BUY Spot (Long),119.3,1.8,Fixed Pre-Auction Bid
Q29,2026-09-21 07:00,123.5,170.94,47.44,17.67,210.58,€17.7 - €210.6,23.3% Up / 60.4% Dn,BUY Spot (Long),128.5,1.9,Fixed Pre-Auction Bid
Q30,2026-09-21 07:15,118.28,159.67,41.39,23.43,278.94,€23.4 - €278.9,26.9% Up / 53.5% Dn,BUY Spot (Long),123.28,2.9,Fixed Pre-Auction Bid
Q31,2026-09-21 07:30,118.53,109.02,-9.51,9.95,248.27,€9.9 - €248.3,25.8% Up / 57.5% Dn,SELL Spot (Short),113.78,10.2,Fixed Pre-Auction Bid
Q32,2026-09-21 07:45,128.7,115.81,-12.89,20.5,209.14,€20.5 - €209.1,22.6% Up / 60.5% Dn,SELL Spot (Short),123.7,10.6,Fixed Pre-Auction Bid
Q33,2026-09-21 08:00,139.31,152.54,13.23,27.12,222.43,€27.1 - €222.4,23.2% Up / 60.4% Dn,BUY Spot (Long),144.31,1.9,Fixed Pre-Auction Bid
Q34,2026-09-21 08:15,149.41,143.8,-5.61,35.88,259.69,€35.9 - €259.7,27.2% Up / 52.2% Dn,SELL Spot (Short),146.6,6.6,Fixed Pre-Auction Bid
