quarter,time_dk,time_utc,spot_price_eur,deep_bilstm_eur,transformer_tft_eur,transfer_lgb_eur,hierarchical_eur,pure15m_catboost_eur,meta_ensemble_eur,meta_ensemble_dkk,actual_settled_imbalance_eur,error_spread_eur,agent_action,status
Q1,2026-09-19 00:00,2026-09-18 22:00,69.34,69.35,68.33,3.57,36.22,11.3,42.43,316.51,-3.92,46.35,SELL Spot,Settled
Q2,2026-09-19 00:15,2026-09-18 22:15,48.87,48.86,48.25,-16.9,13.81,-4.05,22.55,168.24,0.0,22.55,SELL Spot,Settled
Q3,2026-09-19 00:30,2026-09-18 22:30,44.03,44.04,43.33,-21.74,10.91,-9.49,17.96,133.98,-8.14,26.1,SELL Spot,Settled
Q4,2026-09-19 00:45,2026-09-18 22:45,40.27,40.27,39.71,-25.5,11.18,-12.29,15.16,113.07,-0.59,15.75,SELL Spot,Settled
Q5,2026-09-19 01:00,2026-09-18 23:00,37.78,37.74,37.43,-27.99,8.69,-17.62,12.22,91.18,6.87,5.35,SELL Spot,Settled
Q6,2026-09-19 01:15,2026-09-18 23:15,30.67,30.67,30.42,-35.1,-2.45,-24.13,4.49,33.49,4.96,0.47,SELL Spot,Settled
Q7,2026-09-19 01:30,2026-09-18 23:30,29.02,28.99,28.72,-36.75,-4.1,-28.79,2.31,17.22,-1.31,3.62,SELL Spot,Settled
Q8,2026-09-19 01:45,2026-09-18 23:45,24.29,24.3,23.94,-41.48,-8.83,-34.38,-2.57,-19.18,-1.78,0.79,SELL Spot,Settled
Q9,2026-09-19 02:00,2026-09-19 00:00,25.9,25.91,25.41,-39.87,-7.22,-33.17,-1.06,-7.91,3.0,4.06,SELL Spot,Settled
Q10,2026-09-19 02:15,2026-09-19 00:15,16.76,16.76,16.24,-49.01,-16.36,-41.82,-10.13,-75.57,8.6,18.73,SELL Spot,Settled
Q11,2026-09-19 02:30,2026-09-19 00:30,16.83,16.81,16.27,-48.94,-16.29,-43.91,-10.44,-77.89,-0.09,10.35,SELL Spot,Settled
Q12,2026-09-19 02:45,2026-09-19 00:45,12.75,12.76,12.13,-53.02,-20.37,-48.78,-14.67,-109.4,6.69,21.36,SELL Spot,Settled
Q13,2026-09-19 03:00,2026-09-19 01:00,6.8,6.76,6.11,-58.97,-26.32,-54.5,-20.6,-153.7,1.47,22.07,SELL Spot,Settled
Q14,2026-09-19 03:15,2026-09-19 01:15,7.11,7.11,6.37,-58.66,-26.01,-55.41,-20.5,-152.96,-0.4,20.1,SELL Spot,Settled
Q15,2026-09-19 03:30,2026-09-19 01:30,7.3,7.3,6.5,-58.47,-25.82,-53.03,-19.96,-148.88,27.89,47.85,SELL Spot,Settled
Q16,2026-09-19 03:45,2026-09-19 01:45,5.89,5.92,5.02,-59.88,-27.23,-57.2,-21.84,-162.95,15.0,36.84,SELL Spot,Settled
Q17,2026-09-19 04:00,2026-09-19 02:00,5.84,5.85,4.91,-59.93,-27.28,-57.25,-21.91,-163.48,-4.97,16.94,SELL Spot,Settled
Q18,2026-09-19 04:15,2026-09-19 02:15,5.67,5.7,4.66,-60.1,-27.45,-57.42,-22.1,-164.84,1.19,23.29,SELL Spot,Settled
Q19,2026-09-19 04:30,2026-09-19 02:30,5.6,5.59,4.53,-60.17,-27.52,-57.49,-22.19,-165.54,15.0,37.19,SELL Spot,Settled
Q20,2026-09-19 04:45,2026-09-19 02:45,5.16,5.19,4.03,-60.61,-27.96,-57.93,-22.64,-168.87,5.16,27.8,SELL Spot,Settled
Q21,2026-09-19 05:00,2026-09-19 03:00,5.44,5.43,4.19,-60.33,-27.68,-57.65,-22.39,-167.06,5.44,27.83,SELL Spot,Settled
