quarter,time_dk,time_utc,spot_price_eur,deep_bilstm_eur,transformer_tft_eur,transfer_lgb_eur,hierarchical_eur,pure15m_catboost_eur,meta_ensemble_eur,meta_ensemble_dkk,actual_settled_imbalance_eur,error_spread_eur,agent_action,status
Q1,2026-09-13 00:00,2026-09-12 22:00,191.99,192.01,193.12,259.94,195.62,223.35,207.14,1545.27,211.11,3.97,BUY Spot,Settled
Q2,2026-09-13 00:15,2026-09-12 22:15,180.01,180.02,180.99,247.96,183.64,216.14,195.79,1460.63,334.5,138.71,BUY Spot,Settled
Q3,2026-09-13 00:30,2026-09-12 22:30,173.3,173.3,174.26,241.25,176.93,208.25,188.91,1409.26,347.88,158.97,BUY Spot,Settled
Q4,2026-09-13 00:45,2026-09-12 22:45,166.01,166.0,166.98,233.96,169.64,194.31,180.67,1347.8,186.81,6.14,BUY Spot,Settled
Q5,2026-09-13 01:00,2026-09-12 23:00,176.4,176.4,177.64,244.35,180.03,210.88,192.02,1432.48,176.4,15.62,BUY Spot,Settled
Q6,2026-09-13 01:15,2026-09-12 23:15,165.98,165.99,166.98,233.93,169.61,202.68,181.85,1356.61,122.85,59.0,BUY Spot,Settled
Q7,2026-09-13 01:30,2026-09-12 23:30,164.26,164.27,165.21,232.21,167.89,202.43,180.33,1345.24,127.54,52.79,BUY Spot,Settled
Q8,2026-09-13 01:45,2026-09-12 23:45,163.74,163.73,164.66,231.69,167.37,201.37,179.71,1340.65,111.9,67.81,BUY Spot,Settled
Q9,2026-09-13 02:00,2026-09-13 00:00,168.52,168.49,169.59,236.47,172.15,207.43,184.71,1377.97,199.93,15.22,BUY Spot,Settled
Q10,2026-09-13 02:15,2026-09-13 00:15,163.79,163.78,164.73,231.74,167.42,205.09,180.29,1344.98,196.8,16.51,BUY Spot,Settled
Q11,2026-09-13 02:30,2026-09-13 00:30,160.6,160.63,161.53,228.55,164.23,203.32,177.31,1322.77,334.48,157.17,BUY Spot,Settled
Q12,2026-09-13 02:45,2026-09-13 00:45,159.2,159.22,160.11,227.15,162.83,201.12,175.79,1311.41,334.48,158.69,BUY Spot,Settled
Q13,2026-09-13 03:00,2026-09-13 01:00,163.59,163.58,164.55,231.54,167.22,205.23,180.15,1343.92,163.59,16.56,BUY Spot,Settled
