quarter,time_dk,time_utc,spot_price_eur,deep_bilstm_eur,transformer_tft_eur,transfer_lgb_eur,hierarchical_eur,pure15m_catboost_eur,meta_ensemble_eur,meta_ensemble_dkk,actual_settled_imbalance_eur,error_spread_eur,agent_action,status
Q1,2026-09-13 00:00,2026-09-12 22:00,191.99,191.99,193.42,631.86,210.76,546.12,225.26,1680.42,166.25,59.01,BUY Spot,Settled
Q2,2026-09-13 00:15,2026-09-12 22:15,180.0,180.01,181.47,619.87,198.77,524.12,212.93,1588.43,180.0,32.93,BUY Spot,Settled
Q3,2026-09-13 00:30,2026-09-12 22:30,173.29,173.29,174.73,613.16,192.06,514.82,206.11,1537.57,173.29,32.82,BUY Spot,Settled
Q4,2026-09-13 00:45,2026-09-12 22:45,166.01,165.97,167.43,605.88,184.78,527.39,199.52,1488.42,166.01,33.51,BUY Spot,Settled
Q5,2026-09-13 01:00,2026-09-12 23:00,176.39,176.39,177.79,616.26,195.16,518.15,209.2,1560.65,156.71,52.49,BUY Spot,Settled
Q6,2026-09-13 01:15,2026-09-12 23:15,165.97,165.98,167.42,605.84,184.74,518.26,199.19,1485.96,165.97,33.22,BUY Spot,Settled
Q7,2026-09-13 01:30,2026-09-12 23:30,164.25,164.26,165.72,604.12,183.02,519.21,197.57,1473.88,168.02,29.55,BUY Spot,Settled
Q8,2026-09-13 01:45,2026-09-12 23:45,163.74,163.74,165.22,603.61,182.51,521.16,197.15,1470.74,163.74,33.41,BUY Spot,Settled
Q9,2026-09-13 02:00,2026-09-13 00:00,165.48,165.5,166.95,605.35,184.25,514.16,198.58,1481.41,199.0,0.42,BUY Spot,Settled
Q10,2026-09-13 02:15,2026-09-13 00:15,160.84,160.87,162.37,600.71,179.61,525.88,194.56,1451.4,160.84,33.72,BUY Spot,Settled
Q11,2026-09-13 02:30,2026-09-13 00:30,157.71,157.74,159.25,597.58,176.48,539.59,192.03,1432.58,334.48,142.45,BUY Spot,Settled
Q12,2026-09-13 02:45,2026-09-13 00:45,156.32,156.32,157.87,596.19,175.09,594.76,192.67,1437.34,156.32,36.35,BUY Spot,Settled
Q13,2026-09-13 03:00,2026-09-13 01:00,160.63,160.6,162.19,600.5,179.4,653.07,198.92,1483.93,193.48,5.44,BUY Spot,Settled
Q14,2026-09-13 03:15,2026-09-13 01:15,159.33,159.29,160.91,599.2,178.1,645.46,197.4,1472.57,222.33,24.93,BUY Spot,Settled
Q15,2026-09-13 03:30,2026-09-13 01:30,158.46,158.48,160.06,598.33,177.23,680.31,197.85,1475.94,207.95,10.1,BUY Spot,Settled
Q16,2026-09-13 03:45,2026-09-13 01:45,156.82,156.84,158.5,596.69,175.59,718.99,197.69,1474.77,156.82,40.87,BUY Spot,Settled
Q17,2026-09-13 04:00,2026-09-13 02:00,161.47,161.47,163.19,601.34,180.24,721.22,202.26,1508.87,161.47,40.79,BUY Spot,Settled
Q18,2026-09-13 04:15,2026-09-13 02:15,160.84,160.84,162.61,600.71,179.61,718.03,201.56,1503.66,78.99,122.57,BUY Spot,Settled
Q19,2026-09-13 04:30,2026-09-13 02:30,160.65,160.65,162.51,600.52,179.42,782.87,203.75,1519.97,160.65,43.1,BUY Spot,Settled
Q20,2026-09-13 04:45,2026-09-13 02:45,161.41,161.39,163.3,601.28,180.18,803.51,205.23,1531.01,161.41,43.82,BUY Spot,Settled
Q21,2026-09-13 05:00,2026-09-13 03:00,162.14,162.17,164.13,602.01,180.91,658.68,200.78,1497.84,162.14,38.64,BUY Spot,Settled
Q22,2026-09-13 05:15,2026-09-13 03:15,163.31,163.34,165.23,603.18,182.08,609.23,200.11,1492.79,163.31,36.8,BUY Spot,Settled
Q23,2026-09-13 05:30,2026-09-13 03:30,165.65,165.62,167.59,605.52,184.42,709.74,205.96,1536.46,165.65,40.31,BUY Spot,Settled
Q24,2026-09-13 05:45,2026-09-13 03:45,168.89,168.9,170.76,608.76,187.66,622.16,205.92,1536.15,238.84,32.92,BUY Spot,Settled
Q25,2026-09-13 06:00,2026-09-13 04:00,165.74,165.74,167.97,605.61,184.51,656.76,204.27,1523.87,336.9,132.63,BUY Spot,Settled
Q26,2026-09-13 06:15,2026-09-13 04:15,172.12,172.12,174.13,611.99,190.89,631.3,209.41,1562.24,287.52,78.11,BUY Spot,Settled
Q27,2026-09-13 06:30,2026-09-13 04:30,175.91,175.95,177.47,615.78,194.68,512.22,208.61,1556.23,334.5,125.89,BUY Spot,Settled
Q28,2026-09-13 06:45,2026-09-13 04:45,177.78,177.79,179.23,617.65,196.55,530.98,211.03,1574.27,374.62,163.59,BUY Spot,Settled
Q29,2026-09-13 07:00,2026-09-13 05:00,177.05,177.04,178.5,616.92,195.82,546.97,210.89,1573.23,334.5,123.61,BUY Spot,Settled
Q30,2026-09-13 07:15,2026-09-13 05:15,178.75,178.71,180.07,618.62,197.52,556.53,212.81,1587.57,188.47,24.34,BUY Spot,Settled
Q31,2026-09-13 07:30,2026-09-13 05:30,181.39,181.38,182.99,621.26,200.16,610.71,217.43,1622.06,181.39,36.04,BUY Spot,Settled
Q32,2026-09-13 07:45,2026-09-13 05:45,170.89,170.85,172.74,610.76,189.66,637.13,208.35,1554.31,170.89,37.46,BUY Spot,Settled
Q33,2026-09-13 08:00,2026-09-13 06:00,190.1,190.07,191.49,629.97,208.87,591.1,225.02,1678.69,190.1,34.92,BUY Spot,Settled
Q34,2026-09-13 08:15,2026-09-13 06:15,173.56,173.56,175.01,613.43,192.33,532.33,207.0,1544.25,173.56,33.44,BUY Spot,Settled
Q35,2026-09-13 08:30,2026-09-13 06:30,159.79,159.79,161.24,599.66,178.56,517.96,193.22,1441.39,159.79,33.43,BUY Spot,Settled
Q36,2026-09-13 08:45,2026-09-13 06:45,148.29,148.29,149.59,588.16,167.06,551.77,183.28,1367.27,113.72,69.56,BUY Spot,Settled
Q37,2026-09-13 09:00,2026-09-13 07:00,154.25,154.26,155.53,594.12,173.02,564.28,189.47,1413.47,113.72,75.75,BUY Spot,Settled
Q38,2026-09-13 09:15,2026-09-13 07:15,143.57,143.58,145.21,583.44,162.34,581.87,179.96,1342.52,143.57,36.39,BUY Spot,Settled
Q39,2026-09-13 09:30,2026-09-13 07:30,142.71,142.65,144.2,582.58,161.48,578.43,178.92,1334.71,115.42,63.5,BUY Spot,Settled
Q40,2026-09-13 09:45,2026-09-13 07:45,142.29,142.3,144.17,582.16,161.06,630.55,180.58,1347.12,142.29,38.29,BUY Spot,Settled
Q41,2026-09-13 10:00,2026-09-13 08:00,131.67,131.67,133.49,571.54,150.44,634.67,170.46,1271.66,131.67,38.79,BUY Spot,Settled
Q42,2026-09-13 10:15,2026-09-13 08:15,124.46,124.46,126.42,564.33,143.23,617.55,162.95,1215.63,124.46,38.49,BUY Spot,Settled
Q43,2026-09-13 10:30,2026-09-13 08:30,121.99,122.01,123.92,561.86,140.76,620.16,160.66,1198.55,121.99,38.67,BUY Spot,Settled
Q44,2026-09-13 10:45,2026-09-13 08:45,116.19,116.18,118.01,556.06,134.96,592.91,154.03,1149.07,116.19,37.84,BUY Spot,Settled
Q45,2026-09-13 11:00,2026-09-13 09:00,109.19,109.16,111.14,549.06,127.96,691.84,150.89,1125.61,58.33,92.56,BUY Spot,Settled
Q46,2026-09-13 11:15,2026-09-13 09:15,112.26,112.23,114.07,552.13,131.03,647.81,152.21,1135.48,69.13,83.08,BUY Spot,Settled
Q47,2026-09-13 11:30,2026-09-13 09:30,108.01,108.04,109.81,547.88,126.78,639.94,147.85,1102.94,58.81,89.04,BUY Spot,Settled
Q48,2026-09-13 11:45,2026-09-13 09:45,112.73,112.69,114.47,552.6,131.5,675.41,153.62,1146.01,51.5,102.12,BUY Spot,Settled
Q49,2026-09-13 12:00,2026-09-13 10:00,107.13,107.16,108.82,547.0,125.9,643.63,147.09,1097.26,107.13,39.96,BUY Spot,Settled
Q50,2026-09-13 12:15,2026-09-13 10:15,111.37,111.34,113.26,551.24,130.14,639.64,151.09,1127.12,111.37,39.72,BUY Spot,Settled
Q51,2026-09-13 12:30,2026-09-13 10:30,108.27,108.29,110.29,548.14,127.04,668.5,149.21,1113.12,108.27,40.94,BUY Spot,Settled
Q52,2026-09-13 12:45,2026-09-13 10:45,107.22,107.22,109.28,547.09,125.99,669.06,148.23,1105.8,107.22,41.01,BUY Spot,Settled
Q53,2026-09-13 13:00,2026-09-13 11:00,107.27,107.26,109.23,547.14,126.04,683.95,148.77,1109.8,25.52,123.25,BUY Spot,Settled
Q54,2026-09-13 13:15,2026-09-13 11:15,105.81,105.81,107.85,545.68,124.58,695.5,147.81,1102.69,60.65,87.16,BUY Spot,Settled
Q55,2026-09-13 13:30,2026-09-13 11:30,103.63,103.61,106.11,543.5,122.4,781.77,149.0,1111.51,51.73,97.27,BUY Spot,Settled
Q56,2026-09-13 13:45,2026-09-13 11:45,101.34,101.35,104.26,541.21,120.11,619.71,141.15,1052.98,55.07,86.08,BUY Spot,Settled
Q57,2026-09-13 14:00,2026-09-13 12:00,99.56,99.55,102.84,539.43,118.33,620.44,139.6,1041.44,61.4,78.2,BUY Spot,Settled
Q58,2026-09-13 14:15,2026-09-13 12:15,103.29,103.3,106.62,543.16,122.06,642.45,144.02,1074.38,103.29,40.73,BUY Spot,Settled
Q59,2026-09-13 14:30,2026-09-13 12:30,107.02,107.02,110.29,546.89,125.79,644.25,147.65,1101.49,107.02,40.63,BUY Spot,Settled
