quarter,time_dk,spot_price_eur,pred_imbalance_eur,pred_spread_eur,q10_price_eur,q90_price_eur,quantile_range,p_ratio,bid_action,bid_limit_price_eur,bid_volume_mw,status
Q62,2026-09-21 15:15,3.68,18.1,14.42,-40.53,58.51,€-40.5 - €58.5,36.6% Up / 29.6% Dn,BUY Spot (Long),8.68,5.6,Fixed Pre-Auction Bid
Q63,2026-09-21 15:30,4.1,18.27,14.17,-31.1,60.69,€-31.1 - €60.7,32.0% Up / 25.3% Dn,BUY Spot (Long),9.1,4.4,Fixed Pre-Auction Bid
Q64,2026-09-21 15:45,5.89,20.21,14.32,-24.57,72.3,€-24.6 - €72.3,35.4% Up / 33.0% Dn,BUY Spot (Long),10.89,5.3,Fixed Pre-Auction Bid
Q65,2026-09-21 16:00,3.96,18.87,14.91,-22.93,62.06,€-22.9 - €62.1,31.0% Up / 30.1% Dn,BUY Spot (Long),8.96,4.1,Fixed Pre-Auction Bid
Q66,2026-09-21 16:15,4.98,26.13,21.15,-20.92,61.64,€-20.9 - €61.6,34.6% Up / 32.0% Dn,BUY Spot (Long),9.98,5.1,Fixed Pre-Auction Bid
Q67,2026-09-21 16:30,26.0,46.89,20.89,-23.73,150.64,€-23.7 - €150.6,30.7% Up / 45.2% Dn,BUY Spot (Long),31.0,4.0,Fixed Pre-Auction Bid
Q68,2026-09-21 16:45,56.24,78.49,22.25,-25.58,185.8,€-25.6 - €185.8,41.8% Up / 34.8% Dn,BUY Spot (Long),61.24,7.1,Fixed Pre-Auction Bid
Q69,2026-09-21 17:00,11.11,64.28,53.17,-24.81,115.58,€-24.8 - €115.6,49.6% Up / 21.7% Dn,BUY Spot (Long),16.11,9.3,Fixed Pre-Auction Bid
Q70,2026-09-21 17:15,57.06,75.03,17.97,-24.04,199.22,€-24.0 - €199.2,36.0% Up / 28.9% Dn,BUY Spot (Long),62.06,5.5,Fixed Pre-Auction Bid
Q71,2026-09-21 17:30,132.16,133.9,1.74,-28.25,262.26,€-28.2 - €262.3,32.7% Up / 31.2% Dn,BUY Spot (Long),133.03,1.3,Fixed Pre-Auction Bid
Q72,2026-09-21 17:45,202.62,198.52,-4.1,-20.45,382.07,€-20.4 - €382.1,30.1% Up / 40.0% Dn,SELL Spot (Short),200.57,3.4,Fixed Pre-Auction Bid
Q73,2026-09-21 18:00,162.73,161.36,-1.37,12.71,345.55,€12.7 - €345.6,23.3% Up / 42.4% Dn,SELL Spot (Short),162.04,1.2,Fixed Pre-Auction Bid
Q74,2026-09-21 18:15,190.49,194.12,3.63,-4.97,376.74,€-5.0 - €376.7,32.1% Up / 40.9% Dn,BUY Spot (Long),192.31,2.2,Fixed Pre-Auction Bid
Q75,2026-09-21 18:30,221.03,191.74,-29.29,-90.43,343.15,€-90.4 - €343.1,34.8% Up / 39.5% Dn,SELL Spot (Short),216.03,6.5,Fixed Pre-Auction Bid
Q76,2026-09-21 18:45,261.64,206.37,-55.27,-55.26,375.33,€-55.3 - €375.3,26.6% Up / 42.2% Dn,SELL Spot (Short),256.64,7.2,Fixed Pre-Auction Bid
Q77,2026-09-21 19:00,219.91,180.09,-39.82,-14.87,331.12,€-14.9 - €331.1,20.6% Up / 37.5% Dn,SELL Spot (Short),214.91,5.9,Fixed Pre-Auction Bid
Q78,2026-09-21 19:15,222.77,183.09,-39.68,2.89,319.37,€2.9 - €319.4,23.1% Up / 34.9% Dn,SELL Spot (Short),217.77,5.2,Fixed Pre-Auction Bid
Q79,2026-09-21 19:30,249.61,386.15,136.54,19.23,310.4,€19.2 - €310.4,20.5% Up / 35.4% Dn,BUY Spot (Long),254.61,1.1,Fixed Pre-Auction Bid
Q80,2026-09-21 19:45,274.16,388.01,113.85,11.3,331.24,€11.3 - €331.2,19.9% Up / 33.7% Dn,BUY Spot (Long),279.16,1.0,Fixed Pre-Auction Bid
Q81,2026-09-21 20:00,251.32,254.38,3.06,58.82,353.3,€58.8 - €353.3,19.8% Up / 30.0% Dn,BUY Spot (Long),252.85,1.0,Fixed Pre-Auction Bid
Q82,2026-09-21 20:15,250.3,369.37,119.07,120.03,468.53,€120.0 - €468.5,23.0% Up / 40.5% Dn,BUY Spot (Long),255.3,1.8,Fixed Pre-Auction Bid
Q83,2026-09-21 20:30,243.49,375.44,131.95,126.75,690.67,€126.8 - €690.7,31.6% Up / 35.1% Dn,BUY Spot (Long),248.49,4.3,Fixed Pre-Auction Bid
Q84,2026-09-21 20:45,219.05,313.88,94.83,122.73,431.04,€122.7 - €431.0,39.1% Up / 28.3% Dn,BUY Spot (Long),224.05,6.3,Fixed Pre-Auction Bid
Q85,2026-09-21 21:00,232.11,494.65,262.54,115.9,443.41,€115.9 - €443.4,38.4% Up / 30.3% Dn,BUY Spot (Long),237.11,6.1,Fixed Pre-Auction Bid
Q86,2026-09-21 21:15,217.7,314.25,96.55,113.67,428.84,€113.7 - €428.8,38.6% Up / 25.2% Dn,BUY Spot (Long),222.7,6.2,Fixed Pre-Auction Bid
Q87,2026-09-21 21:30,213.46,308.77,95.31,109.1,356.37,€109.1 - €356.4,40.7% Up / 28.3% Dn,BUY Spot (Long),218.46,6.8,Fixed Pre-Auction Bid
Q88,2026-09-21 21:45,206.2,311.79,105.59,121.8,346.03,€121.8 - €346.0,37.0% Up / 30.9% Dn,BUY Spot (Long),211.2,5.8,Fixed Pre-Auction Bid
Q89,2026-09-21 22:00,215.73,306.13,90.4,113.55,364.25,€113.5 - €364.2,37.8% Up / 33.2% Dn,BUY Spot (Long),220.73,6.0,Fixed Pre-Auction Bid
Q90,2026-09-21 22:15,204.18,260.59,56.41,128.53,319.71,€128.5 - €319.7,26.6% Up / 34.0% Dn,BUY Spot (Long),209.18,2.8,Fixed Pre-Auction Bid
Q91,2026-09-21 22:30,205.72,271.18,65.46,131.08,317.98,€131.1 - €318.0,26.8% Up / 37.1% Dn,BUY Spot (Long),210.72,2.9,Fixed Pre-Auction Bid
Q92,2026-09-21 22:45,195.73,237.67,41.94,122.56,304.14,€122.6 - €304.1,19.7% Up / 34.9% Dn,BUY Spot (Long),200.73,1.0,Fixed Pre-Auction Bid
Q93,2026-09-21 23:00,197.4,241.72,44.32,120.92,329.25,€120.9 - €329.2,17.3% Up / 50.6% Dn,BUY Spot (Long),202.4,1.0,Fixed Pre-Auction Bid
Q94,2026-09-21 23:15,183.47,206.62,23.15,107.48,254.04,€107.5 - €254.0,13.7% Up / 45.7% Dn,BUY Spot (Long),188.47,1.0,Fixed Pre-Auction Bid
Q95,2026-09-21 23:30,186.32,215.4,29.08,108.76,293.71,€108.8 - €293.7,26.2% Up / 36.0% Dn,BUY Spot (Long),191.32,2.7,Fixed Pre-Auction Bid
Q96,2026-09-21 23:45,172.01,182.89,10.88,99.5,257.86,€99.5 - €257.9,16.9% Up / 33.7% Dn,BUY Spot (Long),177.01,1.0,Fixed Pre-Auction Bid
