quarter,time_dk,spot_price_eur,pred_imbalance_eur,pred_spread_eur,q10_price_eur,q90_price_eur,quantile_range,p_ratio,bid_action,bid_limit_price_eur,bid_volume_mw,status
Q1,2026-09-13 00:00,191.99,191.75,-0.24,87.59,303.27,€87.6 - €303.3,10.7% Up / 67.9% Dn,HOLD (No Bid),191.99,0.0,Fixed Pre-Auction Bid
Q2,2026-09-13 00:15,180.01,178.76,-1.25,112.86,256.55,€112.9 - €256.6,21.8% Up / 60.6% Dn,SELL Spot (Short),179.38,1.1,Fixed Pre-Auction Bid
Q3,2026-09-13 00:30,173.3,173.35,0.05,105.46,255.44,€105.5 - €255.4,22.5% Up / 54.1% Dn,HOLD (No Bid),173.3,0.0,Fixed Pre-Auction Bid
Q4,2026-09-13 00:45,166.01,173.27,7.26,98.48,250.89,€98.5 - €250.9,21.7% Up / 51.2% Dn,BUY Spot (Long),169.64,4.6,Fixed Pre-Auction Bid
Q5,2026-09-13 01:00,176.4,175.63,-0.77,105.83,260.56,€105.8 - €260.6,18.1% Up / 56.7% Dn,HOLD (No Bid),176.4,0.0,Fixed Pre-Auction Bid
Q6,2026-09-13 01:15,165.98,175.1,9.12,99.98,271.25,€100.0 - €271.2,21.2% Up / 56.2% Dn,BUY Spot (Long),170.54,5.0,Fixed Pre-Auction Bid
Q7,2026-09-13 01:30,164.26,171.82,7.56,98.65,269.65,€98.7 - €269.6,22.5% Up / 50.2% Dn,BUY Spot (Long),168.04,4.9,Fixed Pre-Auction Bid
Q8,2026-09-13 01:45,163.74,171.67,7.93,97.64,269.28,€97.6 - €269.3,24.7% Up / 49.3% Dn,BUY Spot (Long),167.71,5.6,Fixed Pre-Auction Bid
Q9,2026-09-13 02:00,168.52,172.94,4.42,102.01,268.27,€102.0 - €268.3,23.1% Up / 52.0% Dn,BUY Spot (Long),170.73,3.0,Fixed Pre-Auction Bid
Q10,2026-09-13 02:15,163.79,175.28,11.49,98.82,281.05,€98.8 - €281.1,26.3% Up / 49.8% Dn,BUY Spot (Long),168.79,5.9,Fixed Pre-Auction Bid
Q11,2026-09-13 02:30,160.6,169.25,8.65,95.1,277.51,€95.1 - €277.5,27.4% Up / 48.3% Dn,BUY Spot (Long),164.92,6.1,Fixed Pre-Auction Bid
Q12,2026-09-13 02:45,159.2,169.29,10.09,92.42,269.51,€92.4 - €269.5,24.0% Up / 51.3% Dn,BUY Spot (Long),164.2,5.5,Fixed Pre-Auction Bid
Q13,2026-09-13 03:00,163.59,168.88,5.29,105.27,270.16,€105.3 - €270.2,27.8% Up / 48.7% Dn,BUY Spot (Long),166.24,4.1,Fixed Pre-Auction Bid
Q14,2026-09-13 03:15,162.26,169.18,6.92,104.04,286.82,€104.0 - €286.8,20.0% Up / 53.9% Dn,BUY Spot (Long),165.72,4.1,Fixed Pre-Auction Bid
Q15,2026-09-13 03:30,161.37,168.45,7.08,103.08,286.34,€103.1 - €286.3,21.1% Up / 53.2% Dn,BUY Spot (Long),164.91,4.4,Fixed Pre-Auction Bid
Q16,2026-09-13 03:45,159.7,166.96,7.26,101.51,289.06,€101.5 - €289.1,21.2% Up / 53.7% Dn,BUY Spot (Long),163.33,4.5,Fixed Pre-Auction Bid
Q17,2026-09-13 04:00,164.44,164.19,-0.25,100.88,284.75,€100.9 - €284.8,27.4% Up / 51.7% Dn,HOLD (No Bid),164.44,0.0,Fixed Pre-Auction Bid
Q18,2026-09-13 04:15,163.8,166.96,3.16,101.82,294.85,€101.8 - €294.9,27.9% Up / 50.6% Dn,BUY Spot (Long),165.38,2.5,Fixed Pre-Auction Bid
Q19,2026-09-13 04:30,163.6,165.9,2.3,100.97,298.8,€101.0 - €298.8,28.2% Up / 50.5% Dn,BUY Spot (Long),164.75,1.9,Fixed Pre-Auction Bid
Q20,2026-09-13 04:45,164.38,164.18,-0.2,97.21,288.17,€97.2 - €288.2,28.7% Up / 48.8% Dn,HOLD (No Bid),164.38,0.0,Fixed Pre-Auction Bid
Q21,2026-09-13 05:00,165.12,167.19,2.07,99.64,290.56,€99.6 - €290.6,26.5% Up / 49.8% Dn,BUY Spot (Long),166.16,1.6,Fixed Pre-Auction Bid
Q22,2026-09-13 05:15,166.31,167.0,0.69,101.39,300.62,€101.4 - €300.6,34.9% Up / 45.7% Dn,HOLD (No Bid),166.31,0.0,Fixed Pre-Auction Bid
Q23,2026-09-13 05:30,168.69,167.39,-1.3,98.52,300.83,€98.5 - €300.8,33.8% Up / 47.8% Dn,SELL Spot (Short),168.04,1.1,Fixed Pre-Auction Bid
Q24,2026-09-13 05:45,172.0,169.63,-2.37,95.4,301.82,€95.4 - €301.8,32.4% Up / 48.9% Dn,SELL Spot (Short),170.81,2.6,Fixed Pre-Auction Bid
Q25,2026-09-13 06:00,167.28,172.48,5.2,96.14,319.48,€96.1 - €319.5,31.5% Up / 49.4% Dn,BUY Spot (Long),169.88,4.5,Fixed Pre-Auction Bid
Q26,2026-09-13 06:15,173.29,170.9,-2.39,97.9,304.47,€97.9 - €304.5,29.1% Up / 51.3% Dn,SELL Spot (Short),172.09,2.7,Fixed Pre-Auction Bid
Q27,2026-09-13 06:30,177.56,186.35,8.79,99.63,288.78,€99.6 - €288.8,24.8% Up / 55.5% Dn,BUY Spot (Long),181.96,5.6,Fixed Pre-Auction Bid
Q28,2026-09-13 06:45,178.59,191.21,12.62,109.66,287.63,€109.7 - €287.6,25.0% Up / 53.3% Dn,BUY Spot (Long),183.59,5.7,Fixed Pre-Auction Bid
Q29,2026-09-13 07:00,179.61,193.19,13.58,114.81,278.95,€114.8 - €278.9,23.2% Up / 56.3% Dn,BUY Spot (Long),184.61,5.3,Fixed Pre-Auction Bid
Q30,2026-09-13 07:15,180.33,197.93,17.6,115.3,278.9,€115.3 - €278.9,26.5% Up / 52.8% Dn,BUY Spot (Long),185.33,5.9,Fixed Pre-Auction Bid
Q31,2026-09-13 07:30,181.4,198.58,17.18,119.66,281.27,€119.7 - €281.3,25.2% Up / 52.8% Dn,BUY Spot (Long),186.4,5.7,Fixed Pre-Auction Bid
Q32,2026-09-13 07:45,170.89,195.04,24.15,103.25,275.91,€103.2 - €275.9,22.1% Up / 55.6% Dn,BUY Spot (Long),175.89,5.1,Fixed Pre-Auction Bid
Q33,2026-09-13 08:00,190.1,202.44,12.34,117.09,277.62,€117.1 - €277.6,21.3% Up / 55.0% Dn,BUY Spot (Long),195.1,5.0,Fixed Pre-Auction Bid
Q34,2026-09-13 08:15,173.56,200.35,26.79,113.66,284.66,€113.7 - €284.7,26.0% Up / 53.8% Dn,BUY Spot (Long),178.56,5.8,Fixed Pre-Auction Bid
Q35,2026-09-13 08:30,159.78,186.78,27.0,92.47,263.92,€92.5 - €263.9,30.1% Up / 51.3% Dn,BUY Spot (Long),164.78,6.6,Fixed Pre-Auction Bid
Q36,2026-09-13 08:45,148.87,191.29,42.42,82.16,228.8,€82.2 - €228.8,30.7% Up / 50.7% Dn,BUY Spot (Long),153.87,6.7,Fixed Pre-Auction Bid
Q37,2026-09-13 09:00,156.27,195.16,38.89,78.92,258.08,€78.9 - €258.1,30.1% Up / 48.5% Dn,BUY Spot (Long),161.27,6.6,Fixed Pre-Auction Bid
Q38,2026-09-13 09:15,146.19,192.95,46.76,79.11,227.81,€79.1 - €227.8,30.4% Up / 49.9% Dn,BUY Spot (Long),151.19,6.7,Fixed Pre-Auction Bid
