quarter,time_dk,time_utc,spot_price_eur,deep_bilstm_eur,transformer_tft_eur,transfer_lgb_eur,hierarchical_eur,pure15m_catboost_eur,meta_ensemble_eur,meta_ensemble_dkk,actual_settled_imbalance_eur,error_spread_eur,agent_action,status
Q1,2026-09-15 00:00,2026-09-14 22:00,219.58,219.64,215.47,254.75,397.4,312.65,258.96,1931.82,297.64,38.68,BUY Spot,Settled
Q2,2026-09-15 00:15,2026-09-14 22:15,217.66,217.69,213.65,252.83,395.48,304.31,255.89,1908.93,217.66,38.23,BUY Spot,Settled
Q3,2026-09-15 00:30,2026-09-14 22:30,205.81,205.84,201.76,240.98,383.63,286.26,242.9,1812.06,140.66,102.24,BUY Spot,Settled
Q4,2026-09-15 00:45,2026-09-14 22:45,192.14,192.14,188.14,227.31,369.96,258.49,226.68,1691.02,139.58,87.1,BUY Spot,Settled
Q5,2026-09-15 01:00,2026-09-14 23:00,211.24,211.2,207.36,246.41,389.06,278.8,246.02,1835.31,165.0,81.02,BUY Spot,Settled
Q6,2026-09-15 01:15,2026-09-14 23:15,198.43,198.46,194.51,233.6,376.25,260.28,232.18,1732.07,198.43,33.75,BUY Spot,Settled
Q7,2026-09-15 01:30,2026-09-14 23:30,194.29,194.27,190.36,229.46,372.11,256.35,228.06,1701.32,350.28,122.22,BUY Spot,Settled
Q8,2026-09-15 01:45,2026-09-14 23:45,188.1,188.13,184.31,223.27,365.92,246.29,221.22,1650.3,401.4,180.18,BUY Spot,Settled
Q9,2026-09-15 02:00,2026-09-15 00:00,189.9,189.92,186.09,225.07,367.72,247.04,222.82,1662.23,294.3,71.48,BUY Spot,Settled
Q10,2026-09-15 02:15,2026-09-15 00:15,187.21,187.2,183.41,222.38,365.03,244.23,220.1,1641.98,187.21,32.89,BUY Spot,Settled
Q11,2026-09-15 02:30,2026-09-15 00:30,188.36,188.34,184.59,223.53,366.18,245.38,221.26,1650.59,188.36,32.9,BUY Spot,Settled
