quarter,time_dk,time_utc,spot_price_eur,deep_bilstm_eur,transformer_tft_eur,transfer_lgb_eur,hierarchical_eur,pure15m_catboost_eur,meta_ensemble_eur,meta_ensemble_dkk,actual_settled_imbalance_eur,error_spread_eur,agent_action,status
Q1,2026-09-17 00:00,2026-09-16 22:00,178.43,178.44,176.31,172.09,224.6,177.39,183.08,1365.78,178.43,4.65,BUY Spot,Settled
Q2,2026-09-17 00:15,2026-09-16 22:15,165.18,165.15,163.07,158.84,211.35,162.54,169.51,1264.52,165.18,4.33,BUY Spot,Settled
Q3,2026-09-17 00:30,2026-09-16 22:30,163.93,163.93,161.83,157.59,210.1,157.63,167.54,1249.82,314.37,146.83,BUY Spot,Settled
Q4,2026-09-17 00:45,2026-09-16 22:45,162.57,162.57,160.46,156.23,208.74,152.02,165.33,1233.36,162.57,2.76,BUY Spot,Settled
Q5,2026-09-17 01:00,2026-09-16 23:00,161.78,161.79,159.68,155.44,294.3,200.86,186.96,1394.72,123.63,63.33,BUY Spot,Settled
Q6,2026-09-17 01:15,2026-09-16 23:15,163.02,163.03,160.86,156.68,295.54,190.42,185.87,1386.56,92.23,93.64,BUY Spot,Settled
Q7,2026-09-17 01:30,2026-09-16 23:30,165.64,165.62,163.5,159.3,298.16,180.75,186.04,1387.84,167.13,18.91,BUY Spot,Settled
Q8,2026-09-17 01:45,2026-09-16 23:45,160.37,160.32,158.23,154.03,206.54,165.3,166.19,1239.78,320.93,154.74,BUY Spot,Settled
Q9,2026-09-17 02:00,2026-09-17 00:00,165.06,165.04,163.01,158.72,211.23,169.44,170.8,1274.15,165.06,5.74,BUY Spot,Settled
Q10,2026-09-17 02:15,2026-09-17 00:15,164.38,164.42,162.29,158.04,210.55,167.15,169.8,1266.72,143.0,26.8,BUY Spot,Settled
Q11,2026-09-17 02:30,2026-09-17 00:30,163.94,163.97,161.79,157.6,296.46,165.0,181.55,1354.39,227.6,46.05,BUY Spot,Settled
Q12,2026-09-17 02:45,2026-09-17 00:45,163.92,163.96,161.85,157.58,296.44,168.62,182.28,1359.78,167.53,14.75,BUY Spot,Settled
Q13,2026-09-17 03:00,2026-09-17 01:00,158.11,158.08,156.14,151.77,290.63,191.9,182.26,1359.65,158.11,24.15,BUY Spot,Settled
Q14,2026-09-17 03:15,2026-09-17 01:15,158.24,158.21,156.12,151.9,290.76,175.11,178.99,1335.26,158.24,20.75,BUY Spot,Settled
Q15,2026-09-17 03:30,2026-09-17 01:30,158.18,158.18,155.86,151.84,290.7,160.32,175.96,1312.69,158.48,17.48,BUY Spot,Settled
Q16,2026-09-17 03:45,2026-09-17 01:45,158.21,158.24,156.13,151.87,290.73,177.37,179.44,1338.6,158.21,21.23,BUY Spot,Settled
