quarter,time_dk,spot_price_eur,pred_imbalance_eur,pred_spread_eur,q10_price_eur,q90_price_eur,quantile_range,p_ratio,bid_action,bid_limit_price_eur,bid_volume_mw,status
Q1,2026-09-12 00:00,211.95,193.18,-18.77,101.53,323.43,€101.5 - €323.4,17.8% Up / 56.3% Dn,SELL Spot (Short),206.95,4.0,Fixed Pre-Auction Bid
Q2,2026-09-12 00:15,206.42,196.97,-9.45,140.74,277.91,€140.7 - €277.9,21.7% Up / 54.6% Dn,SELL Spot (Short),201.69,4.0,Fixed Pre-Auction Bid
Q3,2026-09-12 00:30,203.58,196.11,-7.47,139.06,284.67,€139.1 - €284.7,23.9% Up / 54.0% Dn,SELL Spot (Short),199.84,4.0,Fixed Pre-Auction Bid
Q4,2026-09-12 00:45,198.85,194.44,-4.41,134.87,285.24,€134.9 - €285.2,19.0% Up / 50.9% Dn,SELL Spot (Short),196.64,2.4,Fixed Pre-Auction Bid
Q5,2026-09-12 01:00,205.88,194.25,-11.63,142.07,286.0,€142.1 - €286.0,22.7% Up / 50.8% Dn,SELL Spot (Short),200.88,4.0,Fixed Pre-Auction Bid
Q6,2026-09-12 01:15,199.05,195.21,-3.84,136.72,294.51,€136.7 - €294.5,19.7% Up / 54.7% Dn,SELL Spot (Short),197.13,2.4,Fixed Pre-Auction Bid
Q7,2026-09-12 01:30,197.21,193.74,-3.47,134.59,285.7,€134.6 - €285.7,21.1% Up / 50.3% Dn,SELL Spot (Short),195.47,2.4,Fixed Pre-Auction Bid
Q8,2026-09-12 01:45,194.0,193.01,-0.99,130.72,294.85,€130.7 - €294.9,20.5% Up / 50.7% Dn,HOLD (No Bid),194.0,0.0,Fixed Pre-Auction Bid
Q9,2026-09-12 02:00,197.97,189.27,-8.7,135.22,308.08,€135.2 - €308.1,22.3% Up / 50.3% Dn,SELL Spot (Short),193.62,4.0,Fixed Pre-Auction Bid
Q10,2026-09-12 02:15,198.57,191.86,-6.71,135.84,295.89,€135.8 - €295.9,22.7% Up / 48.9% Dn,SELL Spot (Short),195.22,4.0,Fixed Pre-Auction Bid
