quarter,time_dk,spot_price_eur,pred_imbalance_eur,pred_spread_eur,q10_price_eur,q90_price_eur,quantile_range,p_ratio,bid_action,bid_limit_price_eur,bid_volume_mw,status
Q1,2026-09-20 00:00,9.61,18.6,8.99,-57.69,106.56,€-57.7 - €106.6,32.4% Up / 43.9% Dn,BUY Spot (Long),14.11,4.5,Fixed Pre-Auction Bid
Q2,2026-09-20 00:15,8.37,4.67,-3.7,-51.35,75.15,€-51.4 - €75.2,24.1% Up / 42.9% Dn,SELL Spot (Short),6.52,3.4,Fixed Pre-Auction Bid
Q3,2026-09-20 00:30,7.38,4.31,-3.07,-45.08,70.05,€-45.1 - €70.0,24.0% Up / 43.4% Dn,SELL Spot (Short),5.84,2.8,Fixed Pre-Auction Bid
Q4,2026-09-20 00:45,6.7,3.83,-2.87,-41.17,64.2,€-41.2 - €64.2,24.0% Up / 43.4% Dn,SELL Spot (Short),5.27,2.6,Fixed Pre-Auction Bid
Q5,2026-09-20 01:00,6.29,4.02,-2.27,-43.83,58.66,€-43.8 - €58.7,23.4% Up / 43.1% Dn,SELL Spot (Short),5.16,2.0,Fixed Pre-Auction Bid
Q6,2026-09-20 01:15,6.66,3.94,-2.72,-44.03,59.97,€-44.0 - €60.0,23.2% Up / 42.4% Dn,SELL Spot (Short),5.3,2.4,Fixed Pre-Auction Bid
Q7,2026-09-20 01:30,6.41,6.23,-0.18,-44.33,59.6,€-44.3 - €59.6,30.2% Up / 38.0% Dn,HOLD (No Bid),6.41,0.0,Fixed Pre-Auction Bid
Q8,2026-09-20 01:45,5.6,5.33,-0.27,-41.45,60.8,€-41.5 - €60.8,23.8% Up / 42.1% Dn,HOLD (No Bid),5.6,0.0,Fixed Pre-Auction Bid
Q9,2026-09-20 02:00,5.5,5.27,-0.23,-40.77,53.67,€-40.8 - €53.7,24.0% Up / 42.0% Dn,HOLD (No Bid),5.5,0.0,Fixed Pre-Auction Bid
Q10,2026-09-20 02:15,5.77,3.87,-1.9,-40.86,51.76,€-40.9 - €51.8,28.2% Up / 41.1% Dn,SELL Spot (Short),4.82,1.6,Fixed Pre-Auction Bid
Q11,2026-09-20 02:30,5.75,3.54,-2.21,-47.89,58.55,€-47.9 - €58.5,26.6% Up / 37.2% Dn,SELL Spot (Short),4.64,1.7,Fixed Pre-Auction Bid
Q12,2026-09-20 02:45,5.48,2.06,-3.42,-46.17,53.65,€-46.2 - €53.6,27.8% Up / 38.9% Dn,SELL Spot (Short),3.77,2.7,Fixed Pre-Auction Bid
Q13,2026-09-20 03:00,5.52,2.29,-3.23,-46.75,52.78,€-46.8 - €52.8,28.5% Up / 38.3% Dn,SELL Spot (Short),3.9,2.5,Fixed Pre-Auction Bid
Q14,2026-09-20 03:15,5.36,1.72,-3.64,-46.23,38.63,€-46.2 - €38.6,27.0% Up / 40.4% Dn,SELL Spot (Short),3.54,3.0,Fixed Pre-Auction Bid
