Step,TimeDK,TimeUTC,Actual_EUR,Predicted_Ensemble_EUR,Predicted_RF_EUR,Predicted_XGB_EUR,Predicted_LGB_EUR,Predicted_Cat_EUR,Predicted_ENet_EUR,Error_EUR,Actual_DKK,Predicted_DKK,Error_DKK,Actual_Regime,RF_Regime,HMM_Regime,Consensus_Regime,Predicted_Regime,Regime_Match,RF_HMM_Agree,RF_Correct,HMM_Correct,RF_Confidence,HMM_Confidence,Confidence
Q1 (+15m),2026-08-29 22:45,2026-08-29 20:45,72.06,93.86,91.38,94.84,95.46,100.01,87.13,21.8,538.63,700.21,161.58,Neutral,Neutral,Neutral,Neutral,Neutral,✅ Match,✅ Agree,✅ Match,✅ Match,86.3%,60.9%,86.3%
Q2 (+30m),2026-08-29 23:00,2026-08-29 21:00,6.69,101.85,110.35,105.6,102.19,98.44,91.96,95.16,50.01,759.79,709.78,Neutral,Neutral,Downward Regulation,Neutral,Neutral,✅ Match,⚠️ Differ,✅ Match,❌ Mismatch,84.2%,59.5%,84.2%
Q3 (+45m),2026-08-29 23:15,2026-08-29 21:15,72.31,113.36,115.96,118.92,113.51,117.55,99.85,41.05,540.5,845.68,305.18,Neutral,Neutral,Neutral,Neutral,Neutral,✅ Match,✅ Agree,✅ Match,✅ Match,69.0%,60.2%,69.0%
Q4 (+60m),2026-08-29 23:30,2026-08-29 21:30,50.8,118.18,123.09,126.72,118.08,122.2,99.4,67.38,379.72,881.6,501.88,Neutral,Neutral,Downward Regulation,Neutral,Neutral,✅ Match,⚠️ Differ,✅ Match,❌ Mismatch,74.6%,59.2%,74.6%
Q5 (+75m),2026-08-29 23:45,2026-08-29 21:45,74.82,113.93,120.76,122.42,115.71,111.07,98.68,39.11,559.26,849.89,290.63,Neutral,Neutral,Neutral,Neutral,Neutral,✅ Match,✅ Agree,✅ Match,✅ Match,85.6%,59.8%,85.6%
