quarter,time_dk,spot_price_eur,pred_imbalance_eur,pred_spread_eur,q10_price_eur,q90_price_eur,quantile_range,p_ratio,bid_action,bid_limit_price_eur,bid_volume_mw,status
Q1,2026-09-16 00:00,180.98,175.72,-5.26,134.8,236.28,€134.8 - €236.3,18.3% Up / 15.5% Dn,SELL Spot (Short),178.35,1.0,Fixed Pre-Auction Bid
Q2,2026-09-16 00:15,178.81,191.24,12.43,104.46,232.74,€104.5 - €232.7,11.5% Up / 39.6% Dn,BUY Spot (Long),183.81,1.0,Fixed Pre-Auction Bid
Q3,2026-09-16 00:30,174.38,178.8,4.42,101.2,237.26,€101.2 - €237.3,13.5% Up / 38.0% Dn,BUY Spot (Long),176.59,1.0,Fixed Pre-Auction Bid
Q4,2026-09-16 00:45,170.63,170.51,-0.12,98.54,228.14,€98.5 - €228.1,13.5% Up / 34.9% Dn,HOLD (No Bid),170.63,0.0,Fixed Pre-Auction Bid
Q5,2026-09-16 01:00,172.92,179.38,6.46,100.61,230.42,€100.6 - €230.4,16.7% Up / 35.3% Dn,BUY Spot (Long),176.15,1.0,Fixed Pre-Auction Bid
Q6,2026-09-16 01:15,170.66,180.87,10.21,98.04,231.16,€98.0 - €231.2,16.7% Up / 36.7% Dn,BUY Spot (Long),175.66,1.0,Fixed Pre-Auction Bid
Q7,2026-09-16 01:30,170.87,186.08,15.21,100.06,295.61,€100.1 - €295.6,25.9% Up / 33.0% Dn,BUY Spot (Long),175.87,2.7,Fixed Pre-Auction Bid
Q8,2026-09-16 01:45,169.94,183.88,13.94,97.33,297.2,€97.3 - €297.2,23.9% Up / 35.9% Dn,BUY Spot (Long),174.94,2.1,Fixed Pre-Auction Bid
Q9,2026-09-16 02:00,167.42,179.79,12.37,92.48,291.05,€92.5 - €291.1,22.4% Up / 38.8% Dn,BUY Spot (Long),172.42,1.7,Fixed Pre-Auction Bid
Q10,2026-09-16 02:15,167.01,197.96,30.95,89.21,264.76,€89.2 - €264.8,22.9% Up / 37.2% Dn,BUY Spot (Long),172.01,1.8,Fixed Pre-Auction Bid
Q11,2026-09-16 02:30,169.76,198.63,28.87,86.99,287.72,€87.0 - €287.7,25.3% Up / 33.4% Dn,BUY Spot (Long),174.76,2.5,Fixed Pre-Auction Bid
Q12,2026-09-16 02:45,169.15,203.03,33.88,85.85,294.25,€85.8 - €294.2,25.5% Up / 36.1% Dn,BUY Spot (Long),174.15,2.5,Fixed Pre-Auction Bid
Q13,2026-09-16 03:00,169.17,201.54,32.37,86.61,299.59,€86.6 - €299.6,21.7% Up / 40.9% Dn,BUY Spot (Long),174.17,1.5,Fixed Pre-Auction Bid
Q14,2026-09-16 03:15,168.75,196.24,27.49,86.86,284.82,€86.9 - €284.8,21.6% Up / 34.6% Dn,BUY Spot (Long),173.75,1.5,Fixed Pre-Auction Bid
Q15,2026-09-16 03:30,167.16,195.53,28.37,81.36,291.62,€81.4 - €291.6,22.0% Up / 39.9% Dn,BUY Spot (Long),172.16,1.6,Fixed Pre-Auction Bid
Q16,2026-09-16 03:45,168.73,185.37,16.64,85.3,263.42,€85.3 - €263.4,17.3% Up / 43.3% Dn,BUY Spot (Long),173.73,1.0,Fixed Pre-Auction Bid
Q17,2026-09-16 04:00,170.18,166.8,-3.38,87.57,252.52,€87.6 - €252.5,13.6% Up / 51.3% Dn,SELL Spot (Short),168.49,3.7,Fixed Pre-Auction Bid
Q18,2026-09-16 04:15,167.26,191.94,24.68,82.34,278.49,€82.3 - €278.5,17.0% Up / 47.6% Dn,BUY Spot (Long),172.26,1.0,Fixed Pre-Auction Bid
Q19,2026-09-16 04:30,169.27,163.81,-5.46,86.66,254.42,€86.7 - €254.4,13.7% Up / 51.6% Dn,SELL Spot (Short),166.54,6.4,Fixed Pre-Auction Bid
Q20,2026-09-16 04:45,171.78,164.01,-7.77,86.39,257.41,€86.4 - €257.4,12.9% Up / 49.8% Dn,SELL Spot (Short),167.9,9.1,Fixed Pre-Auction Bid
Q21,2026-09-16 05:00,168.02,213.48,45.46,78.29,253.82,€78.3 - €253.8,15.2% Up / 52.8% Dn,BUY Spot (Long),173.02,1.0,Fixed Pre-Auction Bid
Q22,2026-09-16 05:15,178.35,181.49,3.14,87.35,233.56,€87.3 - €233.6,13.1% Up / 49.9% Dn,BUY Spot (Long),179.92,1.0,Fixed Pre-Auction Bid
