quarter,time_dk,spot_price_eur,pred_imbalance_eur,pred_spread_eur,q10_price_eur,q90_price_eur,quantile_range,p_ratio,bid_action,bid_limit_price_eur,bid_volume_mw,status
Q1,2026-09-18 00:00,132.1,124.4,-7.7,32.71,307.96,€32.7 - €308.0,17.5% Up / 63.9% Dn,SELL Spot (Short),128.25,10.5,Fixed Pre-Auction Bid
Q2,2026-09-18 00:15,137.63,129.94,-7.69,67.89,197.8,€67.9 - €197.8,23.5% Up / 50.9% Dn,SELL Spot (Short),133.78,9.1,Fixed Pre-Auction Bid
Q3,2026-09-18 00:30,132.1,129.96,-2.14,65.78,197.44,€65.8 - €197.4,21.2% Up / 54.2% Dn,SELL Spot (Short),131.03,2.2,Fixed Pre-Auction Bid
Q4,2026-09-18 00:45,129.64,128.23,-1.41,64.49,190.94,€64.5 - €190.9,26.0% Up / 50.0% Dn,SELL Spot (Short),128.93,1.3,Fixed Pre-Auction Bid
Q5,2026-09-18 01:00,132.13,128.46,-3.67,65.5,192.37,€65.5 - €192.4,23.2% Up / 50.7% Dn,SELL Spot (Short),130.29,4.1,Fixed Pre-Auction Bid
Q6,2026-09-18 01:15,128.21,126.62,-1.59,63.14,190.89,€63.1 - €190.9,27.7% Up / 51.0% Dn,SELL Spot (Short),127.42,1.5,Fixed Pre-Auction Bid
Q7,2026-09-18 01:30,124.09,123.81,-0.28,58.26,189.67,€58.3 - €189.7,29.9% Up / 48.9% Dn,HOLD (No Bid),124.09,0.0,Fixed Pre-Auction Bid
Q8,2026-09-18 01:45,124.76,123.61,-1.15,58.25,204.99,€58.2 - €205.0,26.8% Up / 45.6% Dn,HOLD (No Bid),124.76,0.0,Fixed Pre-Auction Bid
Q9,2026-09-18 02:00,123.65,122.0,-1.65,57.67,208.96,€57.7 - €209.0,27.7% Up / 49.5% Dn,SELL Spot (Short),122.83,1.5,Fixed Pre-Auction Bid
Q10,2026-09-18 02:15,121.91,121.93,0.02,53.45,206.06,€53.5 - €206.1,27.5% Up / 48.9% Dn,HOLD (No Bid),121.91,0.0,Fixed Pre-Auction Bid
Q11,2026-09-18 02:30,126.03,120.75,-5.28,61.97,219.44,€62.0 - €219.4,25.6% Up / 47.7% Dn,SELL Spot (Short),123.39,5.7,Fixed Pre-Auction Bid
Q12,2026-09-18 02:45,124.62,123.92,-0.7,58.91,218.1,€58.9 - €218.1,26.3% Up / 48.9% Dn,HOLD (No Bid),124.62,0.0,Fixed Pre-Auction Bid
