quarter,time_dk,spot_price_eur,pred_imbalance_eur,pred_spread_eur,q10_price_eur,q90_price_eur,quantile_range,p_ratio,bid_action,bid_limit_price_eur,bid_volume_mw,status
Q1,2026-09-23 00:00,194.49,183.5,-10.99,148.31,272.88,€148.3 - €272.9,19.1% Up / 16.8% Dn,SELL Spot (Short),189.49,1.0,Fixed Pre-Auction Bid
Q2,2026-09-23 00:15,188.49,176.98,-11.51,112.76,238.18,€112.8 - €238.2,13.5% Up / 40.2% Dn,SELL Spot (Short),183.49,6.6,Fixed Pre-Auction Bid
Q3,2026-09-23 00:30,190.26,188.19,-2.07,115.86,239.27,€115.9 - €239.3,14.2% Up / 39.4% Dn,SELL Spot (Short),189.22,1.7,Fixed Pre-Auction Bid
Q4,2026-09-23 00:45,182.36,177.88,-4.48,107.13,222.9,€107.1 - €222.9,14.2% Up / 32.9% Dn,SELL Spot (Short),180.12,2.7,Fixed Pre-Auction Bid
Q5,2026-09-23 01:00,181.7,185.0,3.3,104.67,251.1,€104.7 - €251.1,16.1% Up / 35.3% Dn,BUY Spot (Long),183.35,1.0,Fixed Pre-Auction Bid
Q6,2026-09-23 01:15,174.87,175.2,0.33,98.51,237.21,€98.5 - €237.2,13.8% Up / 36.0% Dn,HOLD (No Bid),174.87,0.0,Fixed Pre-Auction Bid
Q7,2026-09-23 01:30,173.68,178.86,5.18,100.67,256.58,€100.7 - €256.6,18.3% Up / 33.8% Dn,BUY Spot (Long),176.27,1.0,Fixed Pre-Auction Bid
Q8,2026-09-23 01:45,178.67,182.9,4.23,103.47,249.43,€103.5 - €249.4,18.4% Up / 34.3% Dn,BUY Spot (Long),180.78,1.0,Fixed Pre-Auction Bid
Q9,2026-09-23 02:00,174.52,183.18,8.66,95.83,238.87,€95.8 - €238.9,16.3% Up / 34.7% Dn,BUY Spot (Long),178.85,1.0,Fixed Pre-Auction Bid
Q10,2026-09-23 02:15,171.07,197.63,26.56,91.99,235.37,€92.0 - €235.4,17.4% Up / 35.7% Dn,BUY Spot (Long),176.07,1.0,Fixed Pre-Auction Bid
Q11,2026-09-23 02:30,177.18,205.46,28.28,93.27,239.94,€93.3 - €239.9,19.9% Up / 33.3% Dn,BUY Spot (Long),182.18,1.0,Fixed Pre-Auction Bid
Q12,2026-09-23 02:45,182.95,170.56,-12.39,92.54,219.4,€92.5 - €219.4,13.3% Up / 46.8% Dn,SELL Spot (Short),177.95,8.5,Fixed Pre-Auction Bid
Q13,2026-09-23 03:00,176.47,179.64,3.17,93.01,220.78,€93.0 - €220.8,16.0% Up / 39.4% Dn,BUY Spot (Long),178.06,1.0,Fixed Pre-Auction Bid
Q14,2026-09-23 03:15,178.33,170.35,-7.98,93.94,217.63,€93.9 - €217.6,14.8% Up / 41.7% Dn,SELL Spot (Short),174.34,7.1,Fixed Pre-Auction Bid
Q15,2026-09-23 03:30,178.59,167.97,-10.62,96.47,227.78,€96.5 - €227.8,13.6% Up / 46.6% Dn,SELL Spot (Short),173.59,8.5,Fixed Pre-Auction Bid
Q16,2026-09-23 03:45,173.36,312.73,139.37,88.72,244.99,€88.7 - €245.0,15.4% Up / 43.7% Dn,BUY Spot (Long),178.36,1.0,Fixed Pre-Auction Bid
Q17,2026-09-23 04:00,173.09,203.07,29.98,90.02,246.47,€90.0 - €246.5,18.2% Up / 41.9% Dn,BUY Spot (Long),178.09,1.0,Fixed Pre-Auction Bid
Q18,2026-09-23 04:15,178.02,170.03,-7.99,96.01,227.97,€96.0 - €228.0,13.5% Up / 46.3% Dn,SELL Spot (Short),174.03,8.4,Fixed Pre-Auction Bid
Q19,2026-09-23 04:30,178.24,170.5,-7.74,96.23,224.79,€96.2 - €224.8,13.5% Up / 46.3% Dn,SELL Spot (Short),174.37,8.1,Fixed Pre-Auction Bid
Q20,2026-09-23 04:45,173.88,194.6,20.72,90.27,246.54,€90.3 - €246.5,14.7% Up / 42.2% Dn,BUY Spot (Long),178.88,1.0,Fixed Pre-Auction Bid
Q21,2026-09-23 05:00,171.55,323.32,151.77,83.47,251.89,€83.5 - €251.9,17.9% Up / 45.4% Dn,BUY Spot (Long),176.55,1.0,Fixed Pre-Auction Bid
Q22,2026-09-23 05:15,188.54,185.11,-3.43,93.37,226.24,€93.4 - €226.2,12.5% Up / 46.0% Dn,SELL Spot (Short),186.82,3.4,Fixed Pre-Auction Bid
Q23,2026-09-23 05:30,203.31,201.06,-2.25,106.03,242.06,€106.0 - €242.1,14.2% Up / 44.2% Dn,SELL Spot (Short),202.19,2.0,Fixed Pre-Auction Bid
Q24,2026-09-23 05:45,234.85,246.97,12.12,102.46,482.16,€102.5 - €482.2,25.0% Up / 36.4% Dn,BUY Spot (Long),239.85,2.4,Fixed Pre-Auction Bid
Q25,2026-09-23 06:00,239.61,661.73,422.12,120.87,579.27,€120.9 - €579.3,30.5% Up / 43.5% Dn,BUY Spot (Long),244.61,3.9,Fixed Pre-Auction Bid
Q26,2026-09-23 06:15,265.06,711.31,446.25,109.37,672.03,€109.4 - €672.0,32.4% Up / 41.2% Dn,BUY Spot (Long),270.06,4.5,Fixed Pre-Auction Bid
Q27,2026-09-23 06:30,364.78,315.28,-49.5,73.52,570.61,€73.5 - €570.6,25.7% Up / 43.6% Dn,SELL Spot (Short),359.78,7.6,Fixed Pre-Auction Bid
Q28,2026-09-23 06:45,358.42,400.61,42.19,52.01,535.6,€52.0 - €535.6,18.3% Up / 52.7% Dn,BUY Spot (Long),363.42,1.0,Fixed Pre-Auction Bid
Q29,2026-09-23 07:00,381.66,279.08,-102.58,38.33,489.79,€38.3 - €489.8,14.3% Up / 55.9% Dn,SELL Spot (Short),376.66,10.1,Fixed Pre-Auction Bid
Q30,2026-09-23 07:15,395.5,323.38,-72.12,44.69,486.16,€44.7 - €486.2,14.2% Up / 52.1% Dn,SELL Spot (Short),390.5,9.6,Fixed Pre-Auction Bid
Q31,2026-09-23 07:30,347.9,410.39,62.49,154.79,442.14,€154.8 - €442.1,13.8% Up / 50.8% Dn,BUY Spot (Long),352.9,1.0,Fixed Pre-Auction Bid
Q32,2026-09-23 07:45,279.86,369.9,90.04,124.17,389.62,€124.2 - €389.6,15.3% Up / 57.0% Dn,BUY Spot (Long),284.86,1.0,Fixed Pre-Auction Bid
Q33,2026-09-23 08:00,274.58,400.86,126.28,150.94,409.74,€150.9 - €409.7,22.6% Up / 39.5% Dn,BUY Spot (Long),279.58,1.7,Fixed Pre-Auction Bid
Q34,2026-09-23 08:15,242.22,329.17,86.95,122.61,451.58,€122.6 - €451.6,20.3% Up / 38.8% Dn,BUY Spot (Long),247.22,1.1,Fixed Pre-Auction Bid
Q35,2026-09-23 08:30,226.72,313.5,86.78,117.56,432.77,€117.6 - €432.8,20.3% Up / 38.3% Dn,BUY Spot (Long),231.72,1.1,Fixed Pre-Auction Bid
Q36,2026-09-23 08:45,192.6,193.18,0.58,78.1,374.92,€78.1 - €374.9,17.7% Up / 33.0% Dn,HOLD (No Bid),192.6,0.0,Fixed Pre-Auction Bid
Q37,2026-09-23 09:00,217.95,306.15,88.2,107.68,416.63,€107.7 - €416.6,22.3% Up / 33.1% Dn,BUY Spot (Long),222.95,1.6,Fixed Pre-Auction Bid
Q38,2026-09-23 09:15,193.89,176.16,-17.73,91.87,278.12,€91.9 - €278.1,18.5% Up / 31.0% Dn,SELL Spot (Short),188.89,4.1,Fixed Pre-Auction Bid
