quarter,time_dk,spot_price_eur,pred_imbalance_eur,pred_spread_eur,q10_price_eur,q90_price_eur,quantile_range,p_ratio,bid_action,bid_limit_price_eur,bid_volume_mw,status
Q1,2026-09-13 00:00,191.99,185.4,-6.59,150.08,239.03,€150.1 - €239.0,21.1% Up / 22.1% Dn,SELL Spot (Short),188.7,4.3,Fixed Pre-Auction Bid
Q2,2026-09-13 00:15,180.0,175.66,-4.34,106.01,201.35,€106.0 - €201.3,14.4% Up / 33.4% Dn,SELL Spot (Short),177.83,3.9,Fixed Pre-Auction Bid
Q3,2026-09-13 00:30,173.29,172.25,-1.04,102.35,257.15,€102.3 - €257.1,13.0% Up / 26.5% Dn,HOLD (No Bid),173.29,0.0,Fixed Pre-Auction Bid
Q4,2026-09-13 00:45,166.01,166.2,0.19,94.89,255.31,€94.9 - €255.3,15.4% Up / 30.4% Dn,HOLD (No Bid),166.01,0.0,Fixed Pre-Auction Bid
Q5,2026-09-13 01:00,176.39,177.67,1.28,99.6,282.73,€99.6 - €282.7,14.1% Up / 37.1% Dn,BUY Spot (Long),177.03,1.0,Fixed Pre-Auction Bid
Q6,2026-09-13 01:15,165.97,169.43,3.46,94.28,305.56,€94.3 - €305.6,20.2% Up / 35.4% Dn,BUY Spot (Long),167.7,2.3,Fixed Pre-Auction Bid
Q7,2026-09-13 01:30,164.25,167.15,2.9,91.5,302.89,€91.5 - €302.9,21.7% Up / 39.2% Dn,BUY Spot (Long),165.7,2.0,Fixed Pre-Auction Bid
Q8,2026-09-13 01:45,163.74,165.74,2.0,91.8,308.56,€91.8 - €308.6,17.7% Up / 39.8% Dn,BUY Spot (Long),164.74,1.4,Fixed Pre-Auction Bid
Q9,2026-09-13 02:00,165.48,180.95,15.47,93.35,316.51,€93.3 - €316.5,19.6% Up / 38.6% Dn,BUY Spot (Long),170.48,4.7,Fixed Pre-Auction Bid
Q10,2026-09-13 02:15,160.84,167.26,6.42,87.45,312.1,€87.5 - €312.1,18.3% Up / 38.8% Dn,BUY Spot (Long),164.05,3.6,Fixed Pre-Auction Bid
