quarter,time_dk,time_utc,spot_price_eur,deep_bilstm_eur,transformer_tft_eur,transfer_lgb_eur,hierarchical_eur,pure15m_catboost_eur,meta_ensemble_eur,meta_ensemble_dkk,actual_settled_imbalance_eur,error_spread_eur,agent_action,status
Q1,2026-09-16 00:00,2026-09-15 22:00,181.44,181.47,183.84,112.17,130.77,118.04,153.55,1145.46,107.67,45.88,SELL Spot,Settled
Q2,2026-09-16 00:15,2026-09-15 22:15,178.91,178.97,181.28,109.64,106.41,115.5,147.77,1102.37,106.7,41.07,SELL Spot,Settled
Q3,2026-09-16 00:30,2026-09-15 22:30,174.52,174.56,176.99,105.25,123.85,108.72,146.28,1091.25,174.52,28.24,SELL Spot,Settled
Q4,2026-09-16 00:45,2026-09-15 22:45,170.8,170.78,173.15,101.53,98.3,101.49,138.74,1034.97,170.8,32.06,SELL Spot,Settled
Q5,2026-09-16 01:00,2026-09-15 23:00,173.08,173.03,175.47,103.81,122.41,112.23,145.55,1085.82,173.08,27.53,SELL Spot,Settled
Q6,2026-09-16 01:15,2026-09-15 23:15,170.75,170.77,173.08,101.48,98.25,106.1,139.4,1039.94,108.32,31.08,SELL Spot,Settled
Q7,2026-09-16 01:30,2026-09-15 23:30,170.88,170.87,173.06,101.61,98.38,109.75,140.02,1044.56,170.88,30.86,SELL Spot,Settled
Q8,2026-09-16 01:45,2026-09-15 23:45,169.99,169.92,172.3,100.72,119.32,109.94,142.56,1063.49,96.91,45.65,SELL Spot,Settled
Q9,2026-09-16 02:00,2026-09-16 00:00,167.52,167.57,169.86,98.25,116.85,105.16,139.78,1042.72,95.05,44.73,SELL Spot,Settled
Q10,2026-09-16 02:15,2026-09-16 00:15,167.27,167.29,169.39,98.0,94.77,101.03,135.62,1011.76,167.27,31.65,SELL Spot,Settled
Q11,2026-09-16 02:30,2026-09-16 00:30,169.93,169.9,172.26,100.66,119.26,104.57,141.7,1057.11,334.5,192.8,SELL Spot,Settled
Q12,2026-09-16 02:45,2026-09-16 00:45,169.46,169.44,171.81,100.19,162.58,107.98,148.33,1106.58,183.0,34.67,SELL Spot,Settled
Q13,2026-09-16 03:00,2026-09-16 01:00,169.53,169.51,171.59,100.26,133.04,95.03,141.94,1058.9,128.32,13.62,SELL Spot,Settled
Q14,2026-09-16 03:15,2026-09-16 01:15,168.75,168.73,171.51,99.48,161.87,99.69,146.58,1093.48,126.38,20.2,SELL Spot,Settled
Q15,2026-09-16 03:30,2026-09-16 01:30,167.19,167.14,170.2,97.92,127.69,87.92,138.67,1034.49,121.65,17.02,SELL Spot,Settled
Q16,2026-09-16 03:45,2026-09-16 01:45,168.73,168.65,173.65,99.46,127.68,84.92,139.79,1042.83,91.36,48.43,SELL Spot,Settled
Q17,2026-09-16 04:00,2026-09-16 02:00,170.19,170.2,171.89,100.92,133.14,87.47,141.18,1053.19,121.13,20.05,SELL Spot,Settled
Q18,2026-09-16 04:15,2026-09-16 02:15,167.29,167.32,171.26,98.02,126.24,81.8,137.87,1028.53,122.46,15.41,SELL Spot,Settled
Q19,2026-09-16 04:30,2026-09-16 02:30,169.25,169.24,173.3,99.98,128.2,81.18,139.45,1040.27,119.05,20.4,SELL Spot,Settled
Q20,2026-09-16 04:45,2026-09-16 02:45,171.21,171.24,174.82,101.94,130.16,79.51,140.75,1049.97,145.5,4.75,SELL Spot,Settled
Q21,2026-09-16 05:00,2026-09-16 03:00,167.98,167.99,171.6,98.71,130.93,70.88,137.28,1024.12,91.37,45.91,SELL Spot,Settled
Q22,2026-09-16 05:15,2026-09-16 03:15,178.13,178.12,181.57,108.86,137.08,80.5,146.7,1094.41,93.51,53.19,SELL Spot,Settled
Q23,2026-09-16 05:30,2026-09-16 03:30,187.71,187.73,190.5,118.44,150.66,85.25,155.98,1163.58,155.37,0.61,SELL Spot,Settled
Q24,2026-09-16 05:45,2026-09-16 03:45,223.74,223.77,226.06,154.47,186.69,135.68,194.08,1447.85,223.74,29.66,SELL Spot,Settled
Q25,2026-09-16 06:00,2026-09-16 04:00,188.33,188.32,192.38,119.06,147.28,86.28,156.39,1166.69,253.67,97.28,SELL Spot,Settled
Q26,2026-09-16 06:15,2026-09-16 04:15,211.27,211.26,214.01,142.0,174.22,107.7,179.34,1337.91,241.06,61.72,SELL Spot,Settled
Q27,2026-09-16 06:30,2026-09-16 04:30,225.97,225.95,228.17,156.7,188.92,128.43,194.82,1453.35,294.31,99.49,SELL Spot,Settled
Q28,2026-09-16 06:45,2026-09-16 04:45,237.11,237.12,238.07,167.84,200.06,159.1,208.62,1556.32,307.69,99.07,SELL Spot,Settled
Q29,2026-09-16 07:00,2026-09-16 05:00,231.89,231.9,234.93,162.62,190.84,143.96,201.85,1505.76,231.89,30.04,SELL Spot,Settled
Q30,2026-09-16 07:15,2026-09-16 05:15,234.31,234.33,235.53,165.04,197.26,155.75,205.81,1535.34,234.31,28.5,SELL Spot,Settled
Q31,2026-09-16 07:30,2026-09-16 05:30,229.09,229.08,229.63,159.82,225.21,165.4,207.6,1548.67,166.96,40.64,SELL Spot,Settled
Q32,2026-09-16 07:45,2026-09-16 05:45,220.53,220.58,221.72,151.26,184.17,157.25,194.46,1450.71,220.53,26.07,SELL Spot,Settled
Q33,2026-09-16 08:00,2026-09-16 06:00,247.01,247.02,248.99,177.74,205.96,176.79,219.39,1636.63,247.01,27.62,SELL Spot,Settled
Q34,2026-09-16 08:15,2026-09-16 06:15,237.79,237.76,238.83,168.52,201.43,176.77,212.01,1581.57,119.69,92.32,SELL Spot,Settled
Q35,2026-09-16 08:30,2026-09-16 06:30,223.17,223.13,224.53,153.9,186.81,160.21,197.18,1470.93,142.06,55.12,SELL Spot,Settled
Q36,2026-09-16 08:45,2026-09-16 06:45,192.0,191.94,193.2,122.73,155.64,132.03,166.41,1241.44,113.0,53.41,SELL Spot,Settled
Q37,2026-09-16 09:00,2026-09-16 07:00,219.85,219.91,220.62,150.58,183.49,161.8,194.47,1450.76,128.59,65.88,SELL Spot,Settled
Q38,2026-09-16 09:15,2026-09-16 07:15,198.54,198.52,199.36,129.27,162.18,139.61,173.02,1290.74,108.7,64.32,SELL Spot,Settled
Q39,2026-09-16 09:30,2026-09-16 07:30,171.61,171.6,171.95,102.34,135.25,111.66,145.81,1087.74,171.61,25.8,SELL Spot,Settled
Q40,2026-09-16 09:45,2026-09-16 07:45,164.15,164.2,164.39,94.88,127.79,104.1,138.33,1031.91,164.15,25.82,SELL Spot,Settled
Q41,2026-09-16 10:00,2026-09-16 08:00,181.5,181.55,182.1,112.23,130.97,116.81,152.96,1141.06,181.5,28.54,SELL Spot,Settled
Q42,2026-09-16 10:15,2026-09-16 08:15,169.25,169.26,169.02,99.98,132.89,109.3,143.31,1069.06,169.25,25.94,SELL Spot,Settled
Q43,2026-09-16 10:30,2026-09-16 08:30,164.38,164.39,164.42,95.11,128.02,102.46,138.21,1031.02,164.38,26.17,SELL Spot,Settled
Q44,2026-09-16 10:45,2026-09-16 08:45,157.99,158.01,157.76,88.72,121.63,97.94,132.03,984.96,157.99,25.96,SELL Spot,Settled
Q45,2026-09-16 11:00,2026-09-16 09:00,150.53,150.54,150.59,81.26,100.0,86.25,121.89,909.33,149.3,27.41,SELL Spot,Settled
Q46,2026-09-16 11:15,2026-09-16 09:15,145.67,145.65,145.58,76.4,109.31,82.78,119.3,890.0,145.67,26.37,SELL Spot,Settled
Q47,2026-09-16 11:30,2026-09-16 09:30,133.82,133.85,133.73,64.55,64.9,68.2,102.21,762.52,129.26,27.05,SELL Spot,Settled
Q48,2026-09-16 11:45,2026-09-16 09:45,126.0,125.97,125.75,56.73,89.64,65.16,99.9,745.26,126.0,26.1,SELL Spot,Settled
Q49,2026-09-16 12:00,2026-09-16 10:00,128.05,128.02,128.35,58.78,77.52,61.55,99.13,739.51,145.1,45.97,SELL Spot,Settled
Q50,2026-09-16 12:15,2026-09-16 10:15,111.33,111.32,111.52,42.06,60.8,37.81,81.31,606.59,152.34,71.03,SELL Spot,Settled
Q51,2026-09-16 12:30,2026-09-16 10:30,108.12,108.09,108.47,38.85,57.45,36.55,78.42,584.99,108.12,29.7,SELL Spot,Settled
Q52,2026-09-16 12:45,2026-09-16 10:45,99.62,99.63,100.09,30.35,54.21,27.08,70.59,526.63,99.35,28.76,SELL Spot,Settled
Q53,2026-09-16 13:00,2026-09-16 11:00,103.57,103.57,103.88,34.3,58.16,30.84,74.47,555.54,103.57,29.1,SELL Spot,Settled
Q54,2026-09-16 13:15,2026-09-16 11:15,98.11,98.12,98.94,28.84,52.7,26.25,69.28,516.84,98.11,28.83,SELL Spot,Settled
