quarter,time_dk,time_utc,spot_price_eur,deep_bilstm_eur,transformer_tft_eur,transfer_lgb_eur,hierarchical_eur,pure15m_catboost_eur,meta_ensemble_eur,meta_ensemble_dkk,actual_settled_imbalance_eur,error_spread_eur,agent_action,status
Q1,2026-09-14 00:00,2026-09-13 22:00,218.18,218.28,220.83,228.73,218.89,223.58,222.05,1656.48,144.09,77.96,BUY Spot,Settled
Q2,2026-09-14 00:15,2026-09-13 22:15,205.79,205.72,208.46,216.34,206.5,211.02,209.59,1563.57,206.2,3.39,BUY Spot,Settled
Q3,2026-09-14 00:30,2026-09-13 22:30,196.0,196.04,198.67,206.55,195.87,203.17,200.05,1492.35,254.19,54.14,BUY Spot,Settled
Q4,2026-09-14 00:45,2026-09-13 22:45,186.85,186.86,189.54,197.4,187.56,195.21,191.28,1426.92,186.85,4.43,BUY Spot,Settled
Q5,2026-09-14 01:00,2026-09-13 23:00,192.1,192.18,194.81,202.65,192.81,195.95,195.68,1459.77,172.58,23.1,BUY Spot,Settled
Q6,2026-09-14 01:15,2026-09-13 23:15,187.5,187.47,190.25,198.05,188.21,195.03,191.77,1430.61,163.4,28.37,BUY Spot,Settled
Q7,2026-09-14 01:30,2026-09-13 23:30,189.38,189.4,192.16,199.93,190.09,196.89,193.66,1444.73,189.38,4.28,BUY Spot,Settled
Q8,2026-09-14 01:45,2026-09-13 23:45,182.59,182.58,185.41,193.14,183.3,189.24,186.71,1392.85,182.59,4.12,BUY Spot,Settled
Q9,2026-09-14 02:00,2026-09-14 00:00,185.42,185.4,188.18,195.97,185.29,192.43,189.44,1413.22,191.66,2.22,BUY Spot,Settled
Q10,2026-09-14 02:15,2026-09-14 00:15,185.05,185.04,187.86,195.6,185.76,191.86,189.2,1411.43,204.85,15.65,BUY Spot,Settled
Q11,2026-09-14 02:30,2026-09-14 00:30,183.47,183.46,186.35,194.02,184.18,193.27,188.21,1404.03,183.47,4.74,BUY Spot,Settled
Q12,2026-09-14 02:45,2026-09-14 00:45,182.75,182.71,185.8,193.3,183.46,186.66,186.38,1390.43,168.37,18.01,BUY Spot,Settled
Q13,2026-09-14 03:00,2026-09-14 01:00,183.46,183.52,186.45,194.01,184.07,195.93,188.73,1407.95,183.46,5.27,BUY Spot,Settled
Q14,2026-09-14 03:15,2026-09-14 01:15,184.16,184.18,187.4,194.71,184.87,189.79,188.18,1403.8,164.81,23.37,BUY Spot,Settled
Q15,2026-09-14 03:30,2026-09-14 01:30,183.8,183.82,187.37,194.35,126.65,181.7,175.72,1310.85,164.62,11.1,SELL Spot,Settled
Q16,2026-09-14 03:45,2026-09-14 01:45,184.05,184.06,187.87,194.6,122.16,184.23,175.58,1309.81,159.95,15.63,SELL Spot,Settled
Q17,2026-09-14 04:00,2026-09-14 02:00,180.24,180.2,184.21,190.79,118.35,184.39,172.55,1287.24,180.24,7.69,SELL Spot,Settled
Q18,2026-09-14 04:15,2026-09-14 02:15,181.2,181.11,185.3,191.75,119.31,191.26,174.67,1303.01,202.46,27.79,SELL Spot,Settled
Q19,2026-09-14 04:30,2026-09-14 02:30,183.46,183.44,187.76,194.01,121.57,199.22,178.08,1328.49,225.14,47.06,SELL Spot,Settled
Q20,2026-09-14 04:45,2026-09-14 02:45,190.12,190.19,195.16,200.67,128.23,207.09,185.15,1381.2,190.12,4.97,SELL Spot,Settled
Q21,2026-09-14 05:00,2026-09-14 03:00,184.46,184.43,189.66,195.01,128.63,205.49,181.4,1353.25,112.48,68.92,SELL Spot,Settled
Q22,2026-09-14 05:15,2026-09-14 03:15,194.47,194.41,200.18,205.02,132.58,216.12,190.51,1421.19,96.56,93.95,SELL Spot,Settled
