quarter,time_dk,spot_price_eur,pred_imbalance_eur,pred_spread_eur,q10_price_eur,q90_price_eur,quantile_range,p_ratio,bid_action,bid_limit_price_eur,bid_volume_mw,status
Q1,2026-09-19 00:00,68.1,63.57,-4.53,-26.36,167.46,€-26.4 - €167.5,16.7% Up / 73.8% Dn,SELL Spot (Short),65.83,6.4,Fixed Pre-Auction Bid
Q2,2026-09-19 00:15,48.01,61.2,13.19,-31.46,132.85,€-31.5 - €132.8,27.8% Up / 56.0% Dn,BUY Spot (Long),53.01,3.2,Fixed Pre-Auction Bid
Q3,2026-09-19 00:30,43.25,50.37,7.12,-33.67,135.26,€-33.7 - €135.3,29.8% Up / 52.1% Dn,BUY Spot (Long),46.81,3.4,Fixed Pre-Auction Bid
Q4,2026-09-19 00:45,39.56,47.09,7.53,-30.39,127.23,€-30.4 - €127.2,28.6% Up / 53.3% Dn,BUY Spot (Long),43.33,3.2,Fixed Pre-Auction Bid
Q5,2026-09-19 01:00,37.11,41.98,4.87,-33.97,117.8,€-34.0 - €117.8,27.3% Up / 53.5% Dn,BUY Spot (Long),39.55,2.1,Fixed Pre-Auction Bid
Q6,2026-09-19 01:15,30.13,37.94,7.81,-33.04,110.64,€-33.0 - €110.6,27.9% Up / 54.1% Dn,BUY Spot (Long),34.03,3.1,Fixed Pre-Auction Bid
Q7,2026-09-19 01:30,28.51,33.8,5.29,-34.18,109.44,€-34.2 - €109.4,28.9% Up / 52.0% Dn,BUY Spot (Long),31.16,2.5,Fixed Pre-Auction Bid
Q8,2026-09-19 01:45,23.85,28.63,4.78,-34.17,104.06,€-34.2 - €104.1,29.5% Up / 52.0% Dn,BUY Spot (Long),26.24,2.4,Fixed Pre-Auction Bid
Q9,2026-09-19 02:00,25.44,28.55,3.11,-31.34,122.33,€-31.3 - €122.3,29.2% Up / 55.1% Dn,BUY Spot (Long),27.0,1.7,Fixed Pre-Auction Bid
Q10,2026-09-19 02:15,16.47,20.15,3.68,-35.25,105.65,€-35.2 - €105.7,27.2% Up / 57.1% Dn,BUY Spot (Long),18.31,1.7,Fixed Pre-Auction Bid
Q11,2026-09-19 02:30,16.53,18.36,1.83,-35.65,106.87,€-35.6 - €106.9,28.7% Up / 57.7% Dn,BUY Spot (Long),17.45,1.2,Fixed Pre-Auction Bid
Q12,2026-09-19 02:45,12.52,15.63,3.11,-32.34,108.25,€-32.3 - €108.2,25.8% Up / 54.1% Dn,BUY Spot (Long),14.07,1.5,Fixed Pre-Auction Bid
Q13,2026-09-19 03:00,6.69,11.27,4.58,-29.15,73.9,€-29.1 - €73.9,25.8% Up / 54.8% Dn,BUY Spot (Long),8.98,1.8,Fixed Pre-Auction Bid
Q14,2026-09-19 03:15,6.99,10.09,3.1,-36.74,72.41,€-36.7 - €72.4,26.5% Up / 53.6% Dn,BUY Spot (Long),8.54,1.5,Fixed Pre-Auction Bid
Q15,2026-09-19 03:30,7.17,10.49,3.32,-35.28,77.78,€-35.3 - €77.8,34.2% Up / 46.4% Dn,BUY Spot (Long),8.83,2.2,Fixed Pre-Auction Bid
Q16,2026-09-19 03:45,5.79,10.94,5.15,-27.82,109.43,€-27.8 - €109.4,31.5% Up / 47.1% Dn,BUY Spot (Long),8.37,2.9,Fixed Pre-Auction Bid
Q17,2026-09-19 04:00,5.74,10.43,4.69,-24.37,92.02,€-24.4 - €92.0,33.2% Up / 47.1% Dn,BUY Spot (Long),8.09,2.9,Fixed Pre-Auction Bid
Q18,2026-09-19 04:15,5.58,10.17,4.59,-21.79,65.89,€-21.8 - €65.9,37.1% Up / 42.0% Dn,BUY Spot (Long),7.88,3.4,Fixed Pre-Auction Bid
Q19,2026-09-19 04:30,5.5,6.6,1.1,-28.81,41.68,€-28.8 - €41.7,34.3% Up / 39.9% Dn,HOLD (No Bid),5.5,0.0,Fixed Pre-Auction Bid
Q20,2026-09-19 04:45,5.07,5.93,0.86,-21.4,28.01,€-21.4 - €28.0,35.0% Up / 41.0% Dn,HOLD (No Bid),5.07,0.0,Fixed Pre-Auction Bid
Q21,2026-09-19 05:00,5.34,4.5,-0.84,-29.64,38.0,€-29.6 - €38.0,29.7% Up / 41.9% Dn,HOLD (No Bid),5.34,0.0,Fixed Pre-Auction Bid
Q22,2026-09-19 05:15,4.9,3.63,-1.27,-29.15,18.92,€-29.1 - €18.9,29.5% Up / 43.9% Dn,SELL Spot (Short),4.27,1.1,Fixed Pre-Auction Bid
Q23,2026-09-19 05:30,4.93,3.26,-1.67,-39.92,21.09,€-39.9 - €21.1,27.1% Up / 49.1% Dn,SELL Spot (Short),4.09,1.6,Fixed Pre-Auction Bid
Q24,2026-09-19 05:45,4.9,2.28,-2.62,-53.21,21.27,€-53.2 - €21.3,28.7% Up / 45.1% Dn,SELL Spot (Short),3.59,2.5,Fixed Pre-Auction Bid
Q25,2026-09-19 06:00,5.07,3.73,-1.34,-59.9,22.68,€-59.9 - €22.7,30.4% Up / 43.5% Dn,SELL Spot (Short),4.4,1.1,Fixed Pre-Auction Bid
Q26,2026-09-19 06:15,5.55,2.76,-2.79,-51.91,22.45,€-51.9 - €22.4,27.3% Up / 48.2% Dn,SELL Spot (Short),4.15,2.9,Fixed Pre-Auction Bid
Q27,2026-09-19 06:30,5.48,4.46,-1.02,-31.46,55.88,€-31.5 - €55.9,31.5% Up / 44.7% Dn,HOLD (No Bid),5.48,0.0,Fixed Pre-Auction Bid
Q28,2026-09-19 06:45,5.55,3.69,-1.86,-23.65,46.51,€-23.6 - €46.5,27.3% Up / 50.0% Dn,SELL Spot (Short),4.62,1.8,Fixed Pre-Auction Bid
Q29,2026-09-19 07:00,7.92,7.98,0.06,-58.73,53.51,€-58.7 - €53.5,24.0% Up / 53.2% Dn,HOLD (No Bid),7.92,0.0,Fixed Pre-Auction Bid
Q30,2026-09-19 07:15,6.7,7.51,0.81,-43.06,51.55,€-43.1 - €51.5,23.0% Up / 54.2% Dn,HOLD (No Bid),6.7,0.0,Fixed Pre-Auction Bid
Q31,2026-09-19 07:30,5.58,6.38,0.8,-55.2,40.96,€-55.2 - €41.0,23.2% Up / 54.1% Dn,HOLD (No Bid),5.58,0.0,Fixed Pre-Auction Bid
Q32,2026-09-19 07:45,5.57,6.56,0.99,-55.57,66.23,€-55.6 - €66.2,25.7% Up / 52.7% Dn,HOLD (No Bid),5.57,0.0,Fixed Pre-Auction Bid
Q33,2026-09-19 08:00,6.67,8.07,1.4,-37.24,38.01,€-37.2 - €38.0,23.8% Up / 52.4% Dn,BUY Spot (Long),7.37,1.0,Fixed Pre-Auction Bid
Q34,2026-09-19 08:15,5.74,7.11,1.37,-33.64,47.59,€-33.6 - €47.6,23.1% Up / 53.2% Dn,BUY Spot (Long),6.43,1.0,Fixed Pre-Auction Bid
Q35,2026-09-19 08:30,5.52,8.84,3.32,-33.4,48.8,€-33.4 - €48.8,23.8% Up / 52.2% Dn,BUY Spot (Long),7.18,1.3,Fixed Pre-Auction Bid
Q36,2026-09-19 08:45,10.11,11.45,1.34,-49.4,69.01,€-49.4 - €69.0,23.0% Up / 57.3% Dn,BUY Spot (Long),10.78,1.0,Fixed Pre-Auction Bid
Q37,2026-09-19 09:00,15.89,13.37,-2.52,-35.19,92.92,€-35.2 - €92.9,24.9% Up / 57.9% Dn,SELL Spot (Short),14.63,2.8,Fixed Pre-Auction Bid
Q38,2026-09-19 09:15,5.83,15.69,9.86,-38.06,81.79,€-38.1 - €81.8,23.5% Up / 56.3% Dn,BUY Spot (Long),10.76,2.0,Fixed Pre-Auction Bid
Q39,2026-09-19 09:30,2.49,10.18,7.69,-34.92,95.1,€-34.9 - €95.1,28.3% Up / 51.5% Dn,BUY Spot (Long),6.34,3.2,Fixed Pre-Auction Bid
Q40,2026-09-19 09:45,0.09,9.62,9.53,-39.84,43.36,€-39.8 - €43.4,28.9% Up / 52.5% Dn,BUY Spot (Long),4.85,3.5,Fixed Pre-Auction Bid
Q41,2026-09-19 10:00,0.24,9.07,8.83,-41.4,38.88,€-41.4 - €38.9,28.8% Up / 54.5% Dn,BUY Spot (Long),4.66,3.5,Fixed Pre-Auction Bid
