id,time_utc,time_dk,price_area,afrr_activated_mw,afrr_price_eur,created_at
938376972383470,2026-08-28 21:46:26.538,2026-08-28 23:46:26.538,DK1,-11.95,112.21,2026-08-29 14:29:42.038366
585004351152834,2026-08-28 21:45:49.541,2026-08-28 23:45:49.541,DK1,-18.46,112.21,2026-08-29 14:29:42.038366
73983784076399,2026-08-28 21:45:44.541,2026-08-28 23:45:44.541,DK1,-19.25,112.21,2026-08-29 14:29:42.038366
522103504313064,2026-08-28 21:45:03.540,2026-08-28 23:45:03.540,DK1,-28.99,92.32,2026-08-29 14:29:42.038366
752238247255732,2026-08-28 21:44:47.539,2026-08-28 23:44:47.539,DK1,-28.74,85.38,2026-08-29 14:29:42.038366
563278109757629,2026-08-28 21:44:34.541,2026-08-28 23:44:34.541,DK1,-31.44,46.83,2026-08-29 14:29:42.038366
175508217469242,2026-08-28 21:44:21.535,2026-08-28 23:44:21.535,DK1,-30.72,46.83,2026-08-29 14:29:42.038366
512633544399958,2026-08-28 21:43:46.536,2026-08-28 23:43:46.536,DK1,-32.54,46.83,2026-08-29 14:29:42.038366
60458892434705,2026-08-28 21:43:29.536,2026-08-28 23:43:29.536,DK1,-33.06,46.83,2026-08-29 14:29:42.038366
97639456259524,2026-08-28 21:43:28.535,2026-08-28 23:43:28.535,DK1,-32.97,46.83,2026-08-29 14:29:42.038366
609251071972165,2026-08-28 21:43:21.536,2026-08-28 23:43:21.536,DK1,-32.45,46.83,2026-08-29 14:29:42.038366
592532239295183,2026-08-28 21:43:09.536,2026-08-28 23:43:09.536,DK1,-31.52,46.83,2026-08-29 14:29:42.038366
793071998080813,2026-08-28 21:42:53.534,2026-08-28 23:42:53.534,DK1,-31.1,46.83,2026-08-29 14:29:42.038366
337234084005694,2026-08-28 21:42:48.539,2026-08-28 23:42:48.539,DK1,-31.62,46.83,2026-08-29 14:29:42.038366
161464764805491,2026-08-28 21:42:35.539,2026-08-28 23:42:35.539,DK1,-31.34,46.83,2026-08-29 14:29:42.038366
43271322251136,2026-08-28 21:42:26.539,2026-08-28 23:42:26.539,DK1,-30.53,46.83,2026-08-29 14:29:42.038366
124651532996972,2026-08-28 21:42:19.540,2026-08-28 23:42:19.540,DK1,-28.86,87.22,2026-08-29 14:29:42.038366
