quarter_utc,batch_start_utc,deadline_utc,as_of_trade,label_known_at,spread,exp_spread,p_up,p_down,p_flat,q10,q50,q90,prov_exp_spread,prov_p_up,last_spread,spread_qod_mean7,action,mwh,edge,reason,gross_eur,cost_eur,net_eur,area,book
2025-12-12 12:00:00,2025-12-12 11:00:00,2025-12-12 08:45:00,2025-12-12 08:30:00,2025-12-12 13:00:00,-42.660003662109375,14.027307050401461,0.30970263592734126,0.5986626560314874,0.09163470804117123,-82.93416522221878,-57.4835857154847,106.15267549059239,12.397794866823979,0.3146545685207995,,,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-12 12:15:00,2025-12-12 11:00:00,2025-12-12 08:45:00,2025-12-12 08:30:00,2025-12-12 13:15:00,0.0,4.646913974260025,0.135710383917597,0.7307220029214966,0.13356761316090637,-79.12514865409257,-54.35271225663107,164.77777872466382,8.36764118720713,0.14649921247330316,,,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-12 12:30:00,2025-12-12 11:00:00,2025-12-12 08:45:00,2025-12-12 08:30:00,2025-12-12 13:30:00,0.0,6.686692969815073,0.09320949262372993,0.7190620098133618,0.18772849756290824,-80.395200455179,-58.57605218065787,280.6771574028296,9.290286377784977,0.1014157130564964,,,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-12 12:45:00,2025-12-12 11:00:00,2025-12-12 08:45:00,2025-12-12 08:30:00,2025-12-12 13:45:00,0.0,2.2785555405415785,0.07642276924728161,0.7604107465569402,0.16316648419577812,-88.87738123170944,-81.44889609619865,146.11145513513296,2.5109518889566145,0.08036522231244597,,,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-12 13:00:00,2025-12-12 13:00:00,2025-12-12 10:45:00,2025-12-12 10:30:00,2025-12-12 14:00:00,-36.209999084472656,36.76584307452712,0.18139110559871066,0.5729558191492715,0.24565307525201793,-73.63121707837564,-37.7822364838485,99.19695159105589,28.95648350617435,0.2126449464600254,,,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-12 13:15:00,2025-12-12 13:00:00,2025-12-12 10:45:00,2025-12-12 10:30:00,2025-12-12 14:15:00,-44.56999969482422,20.247947628546818,0.11959203360323353,0.6703979295633858,0.21001003683338057,-81.36325442685974,-50.93092434758188,173.91593850324443,13.604146848706112,0.14195923874256347,,,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-12 13:30:00,2025-12-12 13:00:00,2025-12-12 10:45:00,2025-12-12 10:30:00,2025-12-12 14:30:00,-57.73999786376953,27.436506012277995,0.11094447562939211,0.7048822784477937,0.18417324592281406,-80.12150432185356,-56.47246327128318,72.38809284391209,10.449977405567877,0.11319000038483444,,,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-12 13:45:00,2025-12-12 13:00:00,2025-12-12 10:45:00,2025-12-12 10:30:00,2025-12-12 14:45:00,-62.290000915527344,16.1937855887561,0.10499283263177078,0.6772726537247259,0.21773451364350338,-87.08069010207687,-78.92976089031518,20.26301558969605,9.804994708352874,0.11345452164069648,,,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-12 14:00:00,2025-12-12 13:00:00,2025-12-12 10:45:00,2025-12-12 10:30:00,2025-12-12 15:00:00,-44.77000427246094,56.32721506316775,0.15804477887859966,0.6742722514312359,0.16768296969016433,-80.93056421597946,-47.84263289045638,110.94111644628698,23.705952682561065,0.1465295293593434,,,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-12 14:15:00,2025-12-12 13:00:00,2025-12-12 10:45:00,2025-12-12 10:30:00,2025-12-12 15:15:00,-50.55999755859375,46.16031467349419,0.13526534272425822,0.6233586964402565,0.2413759608354853,-78.97845456930321,-42.42715640627362,215.42733397477514,22.704882429520858,0.13501098479578474,,,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
