area,delivery_start_local,delivery_start_utc,action,mwh,exp_spread,p_up,p_down,q10,q90,reason
DK1,2026-09-17 12:00,2026-09-17T10:00Z,HOLD,0.000,6.781,0.220,0.478,-27.736,53.139,edge below threshold
DK1,2026-09-17 12:15,2026-09-17T10:15Z,HOLD,0.000,5.255,0.244,0.443,-18.809,55.487,edge below threshold
DK1,2026-09-17 12:30,2026-09-17T10:30Z,HOLD,0.000,5.093,0.232,0.449,-16.984,30.284,edge below threshold
DK1,2026-09-17 12:45,2026-09-17T10:45Z,HOLD,0.000,-5.400,0.219,0.490,-16.511,28.237,edge below threshold
DK1,2026-09-17 13:00,2026-09-17T11:00Z,HOLD,0.000,-0.326,0.194,0.518,-16.632,36.417,edge below threshold
DK1,2026-09-17 13:15,2026-09-17T11:15Z,HOLD,0.000,-5.910,0.205,0.492,-16.856,28.900,edge below threshold
DK1,2026-09-17 13:30,2026-09-17T11:30Z,HOLD,0.000,0.087,0.211,0.496,-17.429,35.690,edge below threshold
DK1,2026-09-17 13:45,2026-09-17T11:45Z,HOLD,0.000,-5.121,0.217,0.459,-17.561,36.135,edge below threshold
