area,delivery_start_local,delivery_start_utc,action,mwh,exp_spread,p_up,p_down,q10,q90,reason
DK2,2026-09-17 08:00,2026-09-17T06:00Z,HOLD,0.000,-9.002,0.157,0.377,-144.448,123.381,edge below threshold
DK2,2026-09-17 08:15,2026-09-17T06:15Z,HOLD,0.000,20.798,0.185,0.385,-125.394,138.827,edge below threshold
DK2,2026-09-17 08:30,2026-09-17T06:30Z,HOLD,0.000,34.278,0.233,0.358,-132.950,141.358,edge below threshold
DK2,2026-09-17 08:45,2026-09-17T06:45Z,HOLD,0.000,3.942,0.213,0.400,-115.582,92.963,edge below threshold
DK2,2026-09-17 09:00,2026-09-17T07:00Z,HOLD,0.000,-4.212,0.143,0.500,-140.486,102.964,edge below threshold
DK2,2026-09-17 09:15,2026-09-17T07:15Z,HOLD,0.000,-2.633,0.148,0.475,-136.678,32.021,edge below threshold
DK2,2026-09-17 09:30,2026-09-17T07:30Z,HOLD,0.000,-4.265,0.181,0.438,-109.677,100.079,edge below threshold
DK2,2026-09-17 09:45,2026-09-17T07:45Z,HOLD,0.000,3.652,0.232,0.393,-102.022,134.695,edge below threshold
