area,delivery_start_local,delivery_start_utc,action,mwh,exp_spread,p_up,p_down,q10,q90,reason
DK2,2026-09-17 12:00,2026-09-17T10:00Z,HOLD,0.000,10.589,0.240,0.445,-37.032,61.282,edge below threshold
DK2,2026-09-17 12:15,2026-09-17T10:15Z,HOLD,0.000,10.552,0.224,0.476,-25.067,62.015,edge below threshold
DK2,2026-09-17 12:30,2026-09-17T10:30Z,HOLD,0.000,7.625,0.208,0.475,-22.939,58.517,edge below threshold
DK2,2026-09-17 12:45,2026-09-17T10:45Z,HOLD,0.000,8.335,0.226,0.462,-22.621,71.020,edge below threshold
DK2,2026-09-17 13:00,2026-09-17T11:00Z,HOLD,0.000,3.881,0.200,0.506,-22.227,57.123,edge below threshold
DK2,2026-09-17 13:15,2026-09-17T11:15Z,HOLD,0.000,-2.687,0.180,0.519,-23.566,45.223,edge below threshold
DK2,2026-09-17 13:30,2026-09-17T11:30Z,HOLD,0.000,4.613,0.202,0.455,-23.753,66.889,edge below threshold
DK2,2026-09-17 13:45,2026-09-17T11:45Z,HOLD,0.000,0.016,0.199,0.480,-25.377,63.358,edge below threshold
